Rank,Club,Country,Level,Elo,From,To
None,Orleans,FRA,2,1362.41027832,2014-07-01,2014-07-30
None,Orleans,FRA,2,1365.11083984,2014-07-31,2014-07-31
None,Orleans,FRA,2,1367.94042969,2014-08-01,2014-08-02
None,Orleans,FRA,2,1381.7755127,2014-08-03,2014-08-05
None,Orleans,FRA,2,1381.58190918,2014-08-06,2014-08-07
None,Orleans,FRA,2,1381.36047363,2014-08-08,2014-08-08
None,Orleans,FRA,2,1375.16564941,2014-08-09,2014-08-15
None,Orleans,FRA,2,1386.39123535,2014-08-16,2014-08-20
None,Orleans,FRA,2,1383.61047363,2014-08-21,2014-08-21
None,Orleans,FRA,2,1376.37695312,2014-08-22,2014-08-22
None,Orleans,FRA,2,1385.65722656,2014-08-23,2014-08-26
None,Orleans,FRA,2,1382.65979004,2014-08-27,2014-08-28
None,Orleans,FRA,2,1383.30432129,2014-08-29,2014-08-29
None,Orleans,FRA,2,1384.38586426,2014-08-30,2014-09-12
None,Orleans,FRA,2,1382.64367676,2014-09-13,2014-09-16
None,Orleans,FRA,2,1386.53234863,2014-09-17,2014-09-17
None,Orleans,FRA,2,1385.03222656,2014-09-18,2014-09-18
None,Orleans,FRA,2,1378.96789551,2014-09-19,2014-09-19
None,Orleans,FRA,2,1373.65966797,2014-09-20,2014-09-23
None,Orleans,FRA,2,1363.53527832,2014-09-24,2014-09-26
None,Orleans,FRA,2,1356.53320312,2014-09-27,2014-09-30
None,Orleans,FRA,2,1360.89733887,2014-10-01,2014-10-01
None,Orleans,FRA,2,1362.78857422,2014-10-02,2014-10-02
None,Orleans,FRA,2,1367.72680664,2014-10-03,2014-10-03
None,Orleans,FRA,2,1368.36608887,2014-10-04,2014-10-17
None,Orleans,FRA,2,1372.5871582,2014-10-18,2014-10-21
None,Orleans,FRA,2,1373.93041992,2014-10-22,2014-10-22
None,Orleans,FRA,2,1374.55480957,2014-10-23,2014-10-23
None,Orleans,FRA,2,1376.14245605,2014-10-24,2014-10-24
None,Orleans,FRA,2,1375.43676758,2014-10-25,2014-10-31
None,Orleans,FRA,2,1371.61193848,2014-11-01,2014-11-04
None,Orleans,FRA,2,1370.13122559,2014-11-05,2014-11-05
None,Orleans,FRA,2,1370.68481445,2014-11-06,2014-11-06
None,Orleans,FRA,2,1370.17773438,2014-11-07,2014-11-07
None,Orleans,FRA,2,1377.08618164,2014-11-08,2014-11-21
None,Orleans,FRA,2,1373.58947754,2014-11-22,2014-11-25
None,Orleans,FRA,2,1374.80651855,2014-11-26,2014-11-26
None,Orleans,FRA,2,1379.62817383,2014-11-27,2014-11-27
None,Orleans,FRA,2,1375.39941406,2014-11-28,2014-11-28
None,Orleans,FRA,2,1375.30603027,2014-11-29,2014-12-09
None,Orleans,FRA,2,1379.29724121,2014-12-10,2014-12-10
None,Orleans,FRA,2,1377.58520508,2014-12-11,2014-12-11
None,Orleans,FRA,2,1374.2010498,2014-12-12,2014-12-12
None,Orleans,FRA,2,1366.12634277,2014-12-13,2014-12-19
None,Orleans,FRA,2,1377.23046875,2014-12-20,2015-01-09
None,Orleans,FRA,2,1373.9675293,2015-01-10,2015-01-19
None,Orleans,FRA,2,1378.99499512,2015-01-20,2015-01-23
None,Orleans,FRA,2,1378.52526855,2015-01-24,2015-01-30
None,Orleans,FRA,2,1384.11889648,2015-01-31,2015-02-06
None,Orleans,FRA,2,1389.42919922,2015-02-07,2015-02-13
None,Orleans,FRA,2,1393.1583252,2015-02-14,2015-02-17
None,Orleans,FRA,2,1392.70446777,2015-02-18,2015-02-19
None,Orleans,FRA,2,1394.64306641,2015-02-20,2015-02-20
None,Orleans,FRA,2,1401.30749512,2015-02-21,2015-02-25
None,Orleans,FRA,2,1408.78881836,2015-02-26,2015-02-26
None,Orleans,FRA,2,1404.31298828,2015-02-27,2015-02-27
None,Orleans,FRA,2,1399.10473633,2015-02-28,2015-03-06
None,Orleans,FRA,2,1389.17956543,2015-03-07,2015-03-11
None,Orleans,FRA,2,1393.74780273,2015-03-12,2015-03-13
None,Orleans,FRA,2,1387.22338867,2015-03-14,2015-03-17
None,Orleans,FRA,2,1383.82409668,2015-03-18,2015-03-20
None,Orleans,FRA,2,1383.88098145,2015-03-21,2015-04-03
None,Orleans,FRA,2,1378.35949707,2015-04-04,2015-04-10
None,Orleans,FRA,2,1372.99658203,2015-04-11,2015-04-14
None,Orleans,FRA,2,1371.65319824,2015-04-15,2015-04-15
None,Orleans,FRA,2,1369.69909668,2015-04-16,2015-04-17
None,Orleans,FRA,2,1364.35388184,2015-04-18,2015-04-21
None,Orleans,FRA,2,1363.88500977,2015-04-22,2015-04-22
None,Orleans,FRA,2,1363.16906738,2015-04-23,2015-04-25
None,Orleans,FRA,2,1356.26452637,2015-04-26,2015-04-28
None,Orleans,FRA,2,1367.52282715,2015-04-29,2015-05-01
None,Orleans,FRA,2,1363.63952637,2015-05-02,2015-05-08
None,Orleans,FRA,2,1362.92163086,2015-05-09,2015-05-15
None,Orleans,FRA,2,1350.57470703,2015-05-16,2015-05-22
None,Orleans,FRA,2,1360.48828125,2015-05-23,2015-07-01
None,Orleans,FRA,2,1328.8671875,2016-07-01,2016-07-27
None,Orleans,FRA,2,1327.41540527,2016-07-28,2016-07-28
None,Orleans,FRA,2,1324.34448242,2016-07-29,2016-07-29
None,Orleans,FRA,2,1318.82751465,2016-07-30,2016-08-03
None,Orleans,FRA,2,1324.08752441,2016-08-04,2016-08-04
None,Orleans,FRA,2,1319.94592285,2016-08-05,2016-08-05
None,Orleans,FRA,2,1315.11914062,2016-08-06,2016-08-12
None,Orleans,FRA,2,1326.90515137,2016-08-13,2016-08-17
None,Orleans,FRA,2,1333.21765137,2016-08-18,2016-08-19
None,Orleans,FRA,2,1337.80102539,2016-08-20,2016-08-23
None,Orleans,FRA,2,1341.32165527,2016-08-24,2016-08-25
None,Orleans,FRA,2,1341.06958008,2016-08-26,2016-08-26
None,Orleans,FRA,2,1342.28173828,2016-08-27,2016-09-09
None,Orleans,FRA,2,1334.2923584,2016-09-10,2016-09-13
None,Orleans,FRA,2,1332.94824219,2016-09-14,2016-09-14
None,Orleans,FRA,2,1340.78369141,2016-09-15,2016-09-15
None,Orleans,FRA,2,1338.39379883,2016-09-16,2016-09-16
None,Orleans,FRA,2,1349.3269043,2016-09-17,2016-09-20
None,Orleans,FRA,2,1343.22521973,2016-09-21,2016-09-23
None,Orleans,FRA,2,1334.77575684,2016-09-24,2016-09-27
None,Orleans,FRA,2,1333.0111084,2016-09-28,2016-09-28
None,Orleans,FRA,2,1334.23278809,2016-09-29,2016-09-29
None,Orleans,FRA,2,1329.22143555,2016-09-30,2016-09-30
None,Orleans,FRA,2,1323.9979248,2016-10-01,2016-10-14
None,Orleans,FRA,2,1322.92785645,2016-10-15,2016-10-18
None,Orleans,FRA,2,1322.22705078,2016-10-19,2016-10-19
None,Orleans,FRA,2,1323.90234375,2016-10-20,2016-10-20
None,Orleans,FRA,2,1327.79589844,2016-10-21,2016-10-21
None,Orleans,FRA,2,1322.94836426,2016-10-22,2016-10-28
None,Orleans,FRA,2,1324.80163574,2016-10-29,2016-11-01
None,Orleans,FRA,2,1326.9107666,2016-11-02,2016-11-02
None,Orleans,FRA,2,1332.80993652,2016-11-03,2016-11-03
None,Orleans,FRA,2,1327.86181641,2016-11-04,2016-11-04
None,Orleans,FRA,2,1330.67224121,2016-11-05,2016-11-18
None,Orleans,FRA,2,1339.87268066,2016-11-19,2016-11-22
None,Orleans,FRA,2,1345.19714355,2016-11-23,2016-11-23
None,Orleans,FRA,2,1345.8013916,2016-11-24,2016-11-24
None,Orleans,FRA,2,1342.64916992,2016-11-25,2016-11-25
None,Orleans,FRA,2,1331.52722168,2016-11-26,2016-11-29
None,Orleans,FRA,2,1326.4901123,2016-11-30,2016-12-06
None,Orleans,FRA,2,1323.36767578,2016-12-07,2016-12-07
None,Orleans,FRA,2,1319.77880859,2016-12-08,2016-12-08
None,Orleans,FRA,2,1325.68896484,2016-12-09,2016-12-12
None,Orleans,FRA,2,1328.94726562,2016-12-13,2016-12-16
None,Orleans,FRA,2,1321.98291016,2016-12-17,2017-01-13
