Rank,Club,Country,Level,Elo,From,To
None,PSV,NED,0,1378.0,1955-07-01,1955-09-21
None,PSV,NED,0,1376.56872559,1955-09-22,1955-11-01
None,PSV,NED,0,1376.32470703,1955-11-02,1956-07-01
None,PSV,NED,1,1376.32470703,1956-07-02,1956-09-02
None,PSV,NED,1,1353.66870117,1956-09-03,1956-09-09
None,PSV,NED,1,1335.50561523,1956-09-10,1956-09-23
None,PSV,NED,1,1308.60498047,1956-09-24,1956-09-30
None,PSV,NED,1,1292.97473145,1956-10-01,1956-10-07
None,PSV,NED,1,1296.18151855,1956-10-08,1956-10-21
None,PSV,NED,1,1303.23693848,1956-10-22,1956-10-28
None,PSV,NED,1,1275.06750488,1956-10-29,1956-11-01
None,PSV,NED,1,1275.04577637,1956-11-02,1956-11-11
None,PSV,NED,1,1281.54492188,1956-11-12,1956-11-14
None,PSV,NED,1,1281.49731445,1956-11-15,1956-11-18
None,PSV,NED,1,1287.04138184,1956-11-19,1956-11-25
None,PSV,NED,1,1272.84289551,1956-11-26,1956-12-02
None,PSV,NED,1,1286.36730957,1956-12-03,1956-12-09
None,PSV,NED,1,1272.56799316,1956-12-10,1956-12-16
None,PSV,NED,1,1277.57116699,1956-12-17,1956-12-23
None,PSV,NED,1,1253.49365234,1956-12-24,1956-12-30
None,PSV,NED,1,1258.30371094,1956-12-31,1957-01-06
None,PSV,NED,1,1261.3302002,1957-01-07,1957-01-13
None,PSV,NED,1,1265.55041504,1957-01-14,1957-01-20
None,PSV,NED,1,1243.10595703,1957-01-21,1957-01-27
None,PSV,NED,1,1248.42028809,1957-01-28,1957-02-03
None,PSV,NED,1,1258.16345215,1957-02-04,1957-02-10
None,PSV,NED,1,1262.59143066,1957-02-11,1957-02-17
None,PSV,NED,1,1272.08728027,1957-02-18,1957-02-24
None,PSV,NED,1,1248.10900879,1957-02-25,1957-03-10
None,PSV,NED,1,1247.3046875,1957-03-11,1957-03-17
None,PSV,NED,1,1241.07788086,1957-03-18,1957-03-24
None,PSV,NED,1,1229.17651367,1957-03-25,1957-03-31
None,PSV,NED,1,1241.58679199,1957-04-01,1957-04-07
None,PSV,NED,1,1244.0736084,1957-04-08,1957-04-14
None,PSV,NED,1,1235.73217773,1957-04-15,1957-04-22
None,PSV,NED,1,1229.4050293,1957-04-23,1957-05-05
None,PSV,NED,1,1213.02453613,1957-05-06,1957-05-12
None,PSV,NED,1,1218.17053223,1957-05-13,1957-05-19
None,PSV,NED,1,1227.33947754,1957-05-20,1957-06-02
None,PSV,NED,1,1230.31762695,1957-06-03,1957-08-25
None,PSV,NED,1,1222.50610352,1957-08-26,1957-09-01
None,PSV,NED,1,1209.62927246,1957-09-02,1957-09-08
None,PSV,NED,1,1218.85852051,1957-09-09,1957-09-15
None,PSV,NED,1,1220.53125,1957-09-16,1957-09-22
None,PSV,NED,1,1204.13537598,1957-09-23,1957-09-29
None,PSV,NED,1,1197.81384277,1957-09-30,1957-10-06
None,PSV,NED,1,1189.71362305,1957-10-07,1957-10-13
None,PSV,NED,1,1178.92749023,1957-10-14,1957-10-20
None,PSV,NED,1,1186.55651855,1957-10-21,1957-10-27
None,PSV,NED,1,1190.13952637,1957-10-28,1957-11-03
None,PSV,NED,1,1203.41052246,1957-11-04,1957-11-10
None,PSV,NED,1,1206.32373047,1957-11-11,1957-11-20
None,PSV,NED,1,1258.05371094,1957-11-21,1957-11-24
None,PSV,NED,1,1257.60192871,1957-11-25,1957-11-27
None,PSV,NED,1,1277.72399902,1957-11-28,1957-12-01
None,PSV,NED,1,1272.81811523,1957-12-02,1957-12-08
None,PSV,NED,1,1254.0411377,1957-12-09,1957-12-15
None,PSV,NED,1,1249.34057617,1957-12-16,1957-12-25
None,PSV,NED,1,1256.88000488,1957-12-26,1958-01-05
None,PSV,NED,1,1254.79418945,1958-01-06,1958-01-12
None,PSV,NED,1,1260.52099609,1958-01-13,1958-01-19
