Rank,Club,Country,Level,Elo,From,To
None,Partick,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Partick,SCO,1,1602.43322754,1946-08-11,1946-08-14
None,Partick,SCO,1,1619.75695801,1946-08-15,1946-08-17
None,Partick,SCO,1,1629.71008301,1946-08-18,1946-08-21
None,Partick,SCO,1,1639.12927246,1946-08-22,1946-08-28
None,Partick,SCO,1,1640.08215332,1946-08-29,1946-08-31
None,Partick,SCO,1,1625.56311035,1946-09-01,1946-09-04
None,Partick,SCO,1,1633.28918457,1946-09-05,1946-09-07
None,Partick,SCO,1,1618.16943359,1946-09-08,1946-09-14
None,Partick,SCO,1,1620.98596191,1946-09-15,1946-09-30
None,Partick,SCO,1,1627.29492188,1946-10-01,1946-10-20
None,Partick,SCO,1,1595.29492188,1946-10-21,1946-11-02
None,Partick,SCO,1,1584.52148438,1946-11-03,1946-11-09
None,Partick,SCO,1,1569.65527344,1946-11-10,1946-11-16
None,Partick,SCO,1,1578.02160645,1946-11-17,1946-11-23
None,Partick,SCO,1,1568.03601074,1946-11-24,1946-11-30
None,Partick,SCO,1,1558.84594727,1946-12-01,1946-12-07
None,Partick,SCO,1,1569.08276367,1946-12-08,1946-12-14
None,Partick,SCO,1,1559.20715332,1946-12-15,1946-12-21
None,Partick,SCO,1,1576.51464844,1946-12-22,1946-12-28
None,Partick,SCO,1,1565.41723633,1946-12-29,1947-01-01
None,Partick,SCO,1,1578.4675293,1947-01-02,1947-01-02
None,Partick,SCO,1,1586.37060547,1947-01-03,1947-01-04
None,Partick,SCO,1,1598.08850098,1947-01-05,1947-01-11
None,Partick,SCO,1,1589.49377441,1947-01-12,1947-01-18
None,Partick,SCO,1,1603.43444824,1947-01-19,1947-03-08
None,Partick,SCO,1,1609.84692383,1947-03-09,1947-03-22
None,Partick,SCO,1,1599.68322754,1947-03-23,1947-04-12
None,Partick,SCO,1,1605.55847168,1947-04-13,1947-04-13
None,Partick,SCO,1,1615.55847168,1947-04-14,1947-04-19
None,Partick,SCO,1,1598.05334473,1947-04-20,1947-04-26
None,Partick,SCO,1,1599.30456543,1947-04-27,1947-05-03
None,Partick,SCO,1,1586.96594238,1947-05-04,1947-05-20
None,Partick,SCO,1,1569.96594238,1947-05-21,1947-05-25
None,Partick,SCO,1,1571.96594238,1947-05-26,1947-08-13
None,Partick,SCO,1,1578.85705566,1947-08-14,1947-08-27
None,Partick,SCO,1,1571.68164062,1947-08-28,1947-09-20
None,Partick,SCO,1,1581.99633789,1947-09-21,1947-09-27
None,Partick,SCO,1,1588.4107666,1947-09-28,1947-10-04
None,Partick,SCO,1,1600.49890137,1947-10-05,1947-10-05
None,Partick,SCO,1,1557.49890137,1947-10-06,1947-10-11
None,Partick,SCO,1,1563.17248535,1947-10-12,1947-10-18
None,Partick,SCO,1,1571.6472168,1947-10-19,1947-10-25
None,Partick,SCO,1,1576.02062988,1947-10-26,1947-11-01
None,Partick,SCO,1,1563.66992188,1947-11-02,1947-11-08
None,Partick,SCO,1,1568.45043945,1947-11-09,1947-11-15
None,Partick,SCO,1,1522.80712891,1947-11-16,1947-11-22
None,Partick,SCO,1,1530.18237305,1947-11-23,1947-11-29
None,Partick,SCO,1,1516.97143555,1947-11-30,1947-12-06
None,Partick,SCO,1,1517.20263672,1947-12-07,1947-12-13
None,Partick,SCO,1,1517.65637207,1947-12-14,1947-12-20
None,Partick,SCO,1,1523.7409668,1947-12-21,1947-12-27
None,Partick,SCO,1,1520.57250977,1947-12-28,1948-01-01
None,Partick,SCO,1,1508.54223633,1948-01-02,1948-01-03
None,Partick,SCO,1,1515.65979004,1948-01-04,1948-01-10
None,Partick,SCO,1,1505.57446289,1948-01-11,1948-01-17
None,Partick,SCO,1,1495.51745605,1948-01-18,1948-01-24
None,Partick,SCO,1,1503.95703125,1948-01-25,1948-01-31
None,Partick,SCO,1,1500.05603027,1948-02-01,1948-02-14
None,Partick,SCO,1,1508.953125,1948-02-15,1948-02-28
None,Partick,SCO,1,1499.7677002,1948-02-29,1948-03-13
None,Partick,SCO,1,1495.62854004,1948-03-14,1948-03-20
None,Partick,SCO,1,1504.54125977,1948-03-21,1948-04-03
None,Partick,SCO,1,1514.23291016,1948-04-04,1948-04-09
None,Partick,SCO,1,1520.2668457,1948-04-10,1948-04-11
None,Partick,SCO,1,1497.2668457,1948-04-12,1948-04-17
None,Partick,SCO,1,1494.3503418,1948-04-18,1948-05-01
None,Partick,SCO,1,1497.3503418,1948-05-02,1948-05-22
None,Partick,SCO,1,1488.3503418,1948-05-23,1948-05-26
None,Partick,SCO,1,1473.3503418,1948-05-27,1948-08-14
None,Partick,SCO,1,1478.18432617,1948-08-15,1948-08-18
None,Partick,SCO,1,1470.97155762,1948-08-19,1948-08-21
None,Partick,SCO,1,1474.9284668,1948-08-22,1948-08-28
None,Partick,SCO,1,1452.78308105,1948-08-29,1948-09-01
None,Partick,SCO,1,1454.10351562,1948-09-02,1948-09-04
None,Partick,SCO,1,1442.52819824,1948-09-05,1948-10-23
None,Partick,SCO,1,1431.87817383,1948-10-24,1948-10-24
None,Partick,SCO,1,1474.87817383,1948-10-25,1948-10-30
None,Partick,SCO,1,1460.32226562,1948-10-31,1948-11-06
None,Partick,SCO,1,1473.71716309,1948-11-07,1948-11-13
None,Partick,SCO,1,1470.79992676,1948-11-14,1948-11-20
None,Partick,SCO,1,1470.19140625,1948-11-21,1948-11-27
None,Partick,SCO,1,1468.18786621,1948-11-28,1948-12-04
None,Partick,SCO,1,1458.56347656,1948-12-05,1948-12-11
None,Partick,SCO,1,1467.27026367,1948-12-12,1948-12-18
None,Partick,SCO,1,1466.14074707,1948-12-19,1948-12-25
None,Partick,SCO,1,1471.65344238,1948-12-26,1949-01-01
None,Partick,SCO,1,1479.22680664,1949-01-02,1949-01-03
None,Partick,SCO,1,1476.53393555,1949-01-04,1949-01-08
None,Partick,SCO,1,1481.75476074,1949-01-09,1949-01-15
None,Partick,SCO,1,1478.48071289,1949-01-16,1949-01-29
None,Partick,SCO,1,1483.84667969,1949-01-30,1949-02-12
None,Partick,SCO,1,1483.51367188,1949-02-13,1949-02-26
None,Partick,SCO,1,1472.69482422,1949-02-27,1949-03-12
None,Partick,SCO,1,1462.75244141,1949-03-13,1949-03-19
None,Partick,SCO,1,1453.0958252,1949-03-20,1949-04-02
None,Partick,SCO,1,1468.28894043,1949-04-03,1949-04-09
None,Partick,SCO,1,1465.46716309,1949-04-10,1949-04-10
None,Partick,SCO,1,1518.46716309,1949-04-11,1949-04-13
None,Partick,SCO,1,1529.14733887,1949-04-14,1949-04-20
