Rank,Club,Country,Level,Elo,From,To
None,Porto,POR,1,1424.7598877,1939-01-08,1939-01-08
None,Porto,POR,1,1430.17236328,1939-01-09,1939-01-22
None,Porto,POR,1,1445.98010254,1939-01-23,1939-01-29
None,Porto,POR,1,1456.39550781,1939-01-30,1939-02-05
None,Porto,POR,1,1468.07067871,1939-02-06,1939-02-19
None,Porto,POR,1,1458.72314453,1939-02-20,1939-02-26
None,Porto,POR,1,1466.57434082,1939-02-27,1939-03-05
None,Porto,POR,1,1456.1229248,1939-03-06,1939-03-12
None,Porto,POR,1,1458.92773438,1939-03-13,1939-03-19
None,Porto,POR,1,1464.37536621,1939-03-20,1939-03-26
None,Porto,POR,1,1471.56408691,1939-03-27,1939-04-02
None,Porto,POR,1,1471.74609375,1939-04-03,1939-04-09
None,Porto,POR,1,1478.0958252,1939-04-10,1939-04-16
None,Porto,POR,1,1503.25622559,1939-04-17,1939-04-23
None,Porto,POR,1,1499.40820312,1939-04-24,1940-01-14
None,Porto,POR,1,1505.24963379,1940-01-15,1940-01-21
None,Porto,POR,1,1513.23754883,1940-01-22,1940-02-04
None,Porto,POR,1,1511.7076416,1940-02-05,1940-02-11
None,Porto,POR,1,1520.30029297,1940-02-12,1940-02-18
None,Porto,POR,1,1527.33398438,1940-02-19,1940-02-25
None,Porto,POR,1,1533.97265625,1940-02-26,1940-03-03
None,Porto,POR,1,1538.13269043,1940-03-04,1940-03-10
None,Porto,POR,1,1545.18566895,1940-03-11,1940-03-17
None,Porto,POR,1,1550.51794434,1940-03-18,1940-03-24
None,Porto,POR,1,1555.91320801,1940-03-25,1940-03-31
None,Porto,POR,1,1557.86303711,1940-04-01,1940-04-07
None,Porto,POR,1,1562.57641602,1940-04-08,1940-04-14
None,Porto,POR,1,1567.12634277,1940-04-15,1940-04-21
None,Porto,POR,1,1561.84606934,1940-04-22,1940-04-28
None,Porto,POR,1,1565.91711426,1940-04-29,1940-05-05
None,Porto,POR,1,1568.45166016,1940-05-06,1940-05-12
None,Porto,POR,1,1571.46887207,1940-05-13,1940-05-19
None,Porto,POR,1,1578.92919922,1940-05-20,1940-12-29
None,Porto,POR,1,1568.94799805,1940-12-30,1941-01-01
None,Porto,POR,1,1572.05834961,1941-01-02,1941-01-05
None,Porto,POR,1,1566.68640137,1941-01-06,1941-01-19
None,Porto,POR,1,1578.64294434,1941-01-20,1941-01-26
None,Porto,POR,1,1571.546875,1941-01-27,1941-02-02
None,Porto,POR,1,1576.7088623,1941-02-03,1941-02-09
None,Porto,POR,1,1577.95605469,1941-02-10,1941-02-23
None,Porto,POR,1,1575.66223145,1941-02-24,1941-03-02
None,Porto,POR,1,1572.24084473,1941-03-03,1941-03-09
None,Porto,POR,1,1580.22509766,1941-03-10,1941-03-23
None,Porto,POR,1,1579.6192627,1941-03-24,1941-03-30
None,Porto,POR,1,1584.77050781,1941-03-31,1941-04-02
None,Porto,POR,1,1586.50280762,1941-04-03,1941-04-06
None,Porto,POR,1,1580.60620117,1941-04-07,1942-01-04
None,Porto,POR,1,1597.60620117,1942-01-05,1942-01-18
None,Porto,POR,1,1588.04052734,1942-01-19,1942-01-25
None,Porto,POR,1,1588.94604492,1942-01-26,1942-02-01
None,Porto,POR,1,1573.45532227,1942-02-02,1942-02-08
None,Porto,POR,1,1575.66394043,1942-02-09,1942-02-15
None,Porto,POR,1,1569.86328125,1942-02-16,1942-02-22
None,Porto,POR,1,1575.6776123,1942-02-23,1942-03-01
None,Porto,POR,1,1557.50073242,1942-03-02,1942-03-08
None,Porto,POR,1,1559.51428223,1942-03-09,1942-03-15
None,Porto,POR,1,1563.57910156,1942-03-16,1942-03-22
None,Porto,POR,1,1568.22302246,1942-03-23,1942-03-29
None,Porto,POR,1,1556.39892578,1942-03-30,1942-04-05
None,Porto,POR,1,1567.46728516,1942-04-06,1942-04-12
None,Porto,POR,1,1572.04943848,1942-04-13,1942-04-19
None,Porto,POR,1,1575.28088379,1942-04-20,1942-04-26
None,Porto,POR,1,1579.51330566,1942-04-27,1942-05-03
None,Porto,POR,1,1581.83862305,1942-05-04,1942-05-10
None,Porto,POR,1,1571.78674316,1942-05-11,1942-05-17
None,Porto,POR,1,1563.79992676,1942-05-18,1942-05-24
None,Porto,POR,1,1555.58886719,1942-05-25,1942-05-31
None,Porto,POR,1,1557.9140625,1942-06-01,1942-06-07
None,Porto,POR,1,1559.06054688,1942-06-08,1942-06-14
None,Porto,POR,1,1549.16906738,1942-06-15,1943-01-10
None,Porto,POR,1,1540.27575684,1943-01-11,1943-01-17
None,Porto,POR,1,1538.94592285,1943-01-18,1943-01-24
None,Porto,POR,1,1545.79858398,1943-01-25,1943-01-31
None,Porto,POR,1,1546.70385742,1943-02-01,1943-02-07
None,Porto,POR,1,1535.4864502,1943-02-08,1943-02-14
None,Porto,POR,1,1505.6673584,1943-02-15,1943-02-21
None,Porto,POR,1,1489.36425781,1943-02-22,1943-02-28
None,Porto,POR,1,1484.06726074,1943-03-01,1943-03-07
None,Porto,POR,1,1473.28295898,1943-03-08,1943-03-14
None,Porto,POR,1,1483.19213867,1943-03-15,1943-03-21
None,Porto,POR,1,1479.19714355,1943-03-22,1943-03-28
None,Porto,POR,1,1480.9666748,1943-03-29,1943-04-04
None,Porto,POR,1,1464.67358398,1943-04-05,1943-04-11
None,Porto,POR,1,1454.24291992,1943-04-12,1943-04-25
None,Porto,POR,1,1454.8458252,1943-04-26,1943-05-02
None,Porto,POR,1,1452.48095703,1943-05-03,1943-05-09
None,Porto,POR,1,1440.67114258,1943-05-10,1943-05-16
None,Porto,POR,1,1444.29272461,1943-05-17,1943-11-28
None,Porto,POR,1,1446.90393066,1943-11-29,1943-12-05
None,Porto,POR,1,1445.49645996,1943-12-06,1943-12-12
None,Porto,POR,1,1447.89953613,1943-12-13,1943-12-19
None,Porto,POR,1,1456.69445801,1943-12-20,1943-12-26
None,Porto,POR,1,1457.18713379,1943-12-27,1944-01-02
None,Porto,POR,1,1446.76074219,1944-01-03,1944-01-09
None,Porto,POR,1,1444.47314453,1944-01-10,1944-01-16
None,Porto,POR,1,1440.56982422,1944-01-17,1944-01-23
None,Porto,POR,1,1434.75964355,1944-01-24,1944-01-30
None,Porto,POR,1,1444.03674316,1944-01-31,1944-02-06
None,Porto,POR,1,1447.0793457,1944-02-07,1944-02-13
None,Porto,POR,1,1458.18273926,1944-02-14,1944-02-20
None,Porto,POR,1,1461.07836914,1944-02-21,1944-02-27
None,Porto,POR,1,1457.31604004,1944-02-28,1944-03-05
None,Porto,POR,1,1461.81860352,1944-03-06,1944-03-12
None,Porto,POR,1,1453.40136719,1944-03-13,1944-03-19
None,Porto,POR,1,1459.81848145,1944-03-20,1944-03-26
None,Porto,POR,1,1468.79675293,1944-03-27,1944-11-26
None,Porto,POR,1,1465.41784668,1944-11-27,1944-12-03
None,Porto,POR,1,1477.60290527,1944-12-04,1944-12-10
None,Porto,POR,1,1486.84680176,1944-12-11,1944-12-17
None,Porto,POR,1,1489.93237305,1944-12-18,1944-12-24
None,Porto,POR,1,1462.50366211,1944-12-25,1944-12-31
None,Porto,POR,1,1470.45031738,1945-01-01,1945-01-07
None,Porto,POR,1,1450.60046387,1945-01-08,1945-01-14
None,Porto,POR,1,1457.5090332,1945-01-15,1945-01-21
None,Porto,POR,1,1465.14648438,1945-01-22,1945-01-28
None,Porto,POR,1,1446.74511719,1945-01-29,1945-02-04
None,Porto,POR,1,1445.04077148,1945-02-05,1945-02-11
None,Porto,POR,1,1447.53027344,1945-02-12,1945-02-18
None,Porto,POR,1,1428.87243652,1945-02-19,1945-02-25
None,Porto,POR,1,1422.78393555,1945-02-26,1945-03-18
None,Porto,POR,1,1423.36071777,1945-03-19,1945-03-25
None,Porto,POR,1,1431.74230957,1945-03-26,1945-04-01
None,Porto,POR,1,1434.12207031,1945-04-02,1945-04-08
None,Porto,POR,1,1439.43713379,1945-04-09,1945-05-10
None,Porto,POR,1,1436.43713379,1945-05-11,1945-05-27
None,Porto,POR,1,1431.43713379,1945-05-28,1945-12-09
None,Porto,POR,1,1432.80493164,1945-12-10,1945-12-16
None,Porto,POR,1,1447.67016602,1945-12-17,1945-12-23
None,Porto,POR,1,1455.41394043,1945-12-24,1945-12-30
None,Porto,POR,1,1451.51831055,1945-12-31,1946-01-06
None,Porto,POR,1,1441.60339355,1946-01-07,1946-01-13
None,Porto,POR,1,1430.20947266,1946-01-14,1946-01-20
None,Porto,POR,1,1429.8034668,1946-01-21,1946-01-27
None,Porto,POR,1,1423.96643066,1946-01-28,1946-02-03
None,Porto,POR,1,1421.89123535,1946-02-04,1946-02-10
None,Porto,POR,1,1425.29370117,1946-02-11,1946-02-24
None,Porto,POR,1,1434.12817383,1946-02-25,1946-03-03
None,Porto,POR,1,1439.20935059,1946-03-04,1946-03-10
None,Porto,POR,1,1433.95202637,1946-03-11,1946-03-17
None,Porto,POR,1,1426.50305176,1946-03-18,1946-03-31
None,Porto,POR,1,1419.40844727,1946-04-01,1946-04-07
None,Porto,POR,1,1423.44555664,1946-04-08,1946-04-16
None,Porto,POR,1,1430.44555664,1946-04-17,1946-04-21
None,Porto,POR,1,1425.1472168,1946-04-22,1946-04-28
None,Porto,POR,1,1430.81591797,1946-04-29,1946-05-05
None,Porto,POR,1,1429.20617676,1946-05-06,1946-05-12
None,Porto,POR,1,1423.15466309,1946-05-13,1946-05-19
None,Porto,POR,1,1414.15722656,1946-05-20,1946-05-26
None,Porto,POR,1,1417.23413086,1946-05-27,1946-06-23
None,Porto,POR,1,1428.23413086,1946-06-24,1946-11-24
None,Porto,POR,1,1438.89880371,1946-11-25,1946-12-01
None,Porto,POR,1,1459.23718262,1946-12-02,1946-12-08
None,Porto,POR,1,1460.95141602,1946-12-09,1946-12-22
None,Porto,POR,1,1459.30651855,1946-12-23,1946-12-29
None,Porto,POR,1,1460.84313965,1946-12-30,1947-01-07
None,Porto,POR,1,1459.84313965,1947-01-08,1947-01-12
None,Porto,POR,1,1451.53515625,1947-01-13,1947-01-27
None,Porto,POR,1,1475.53515625,1947-01-28,1947-02-02
None,Porto,POR,1,1484.98754883,1947-02-03,1947-02-09
None,Porto,POR,1,1473.0513916,1947-02-10,1947-02-16
None,Porto,POR,1,1475.69238281,1947-02-17,1947-02-23
None,Porto,POR,1,1462.83410645,1947-02-24,1947-03-02
None,Porto,POR,1,1455.44677734,1947-03-03,1947-03-09
None,Porto,POR,1,1460.07446289,1947-03-10,1947-03-16
None,Porto,POR,1,1472.30566406,1947-03-17,1947-03-26
None,Porto,POR,1,1464.30566406,1947-03-27,1947-03-30
None,Porto,POR,1,1461.46374512,1947-03-31,1947-04-06
None,Porto,POR,1,1461.64807129,1947-04-07,1947-04-13
None,Porto,POR,1,1452.10217285,1947-04-14,1947-04-20
None,Porto,POR,1,1445.47387695,1947-04-21,1947-04-27
None,Porto,POR,1,1458.08764648,1947-04-28,1947-05-05
None,Porto,POR,1,1477.08764648,1947-05-06,1947-05-11
None,Porto,POR,1,1479.32983398,1947-05-12,1947-05-18
None,Porto,POR,1,1491.95446777,1947-05-19,1947-05-26
None,Porto,POR,1,1474.95446777,1947-05-27,1947-06-01
None,Porto,POR,1,1477.32092285,1947-06-02,1947-06-08
None,Porto,POR,1,1483.96350098,1947-06-09,1947-06-15
None,Porto,POR,1,1488.87890625,1947-06-16,1947-06-22
None,Porto,POR,1,1479.01281738,1947-06-23,1947-06-29
None,Porto,POR,1,1477.7199707,1947-06-30,1947-07-02
None,Porto,POR,1,1480.00439453,1947-07-03,1947-11-16
None,Porto,POR,1,1482.64697266,1947-11-17,1947-11-29
None,Porto,POR,1,1464.64697266,1947-11-30,1947-11-30
None,Porto,POR,1,1475.81713867,1947-12-01,1947-12-07
None,Porto,POR,1,1481.2713623,1947-12-08,1947-12-14
None,Porto,POR,1,1490.75134277,1947-12-15,1947-12-21
None,Porto,POR,1,1478.85388184,1947-12-22,1947-12-28
None,Porto,POR,1,1476.16833496,1947-12-29,1948-01-01
None,Porto,POR,1,1478.57019043,1948-01-02,1948-01-04
None,Porto,POR,1,1469.9407959,1948-01-05,1948-01-11
None,Porto,POR,1,1481.72229004,1948-01-12,1948-01-18
None,Porto,POR,1,1483.72961426,1948-01-19,1948-02-01
None,Porto,POR,1,1494.62475586,1948-02-02,1948-02-08
None,Porto,POR,1,1509.28918457,1948-02-09,1948-02-15
None,Porto,POR,1,1500.79553223,1948-02-16,1948-02-22
None,Porto,POR,1,1508.85546875,1948-02-23,1948-02-29
None,Porto,POR,1,1511.04455566,1948-03-01,1948-03-07
None,Porto,POR,1,1523.03979492,1948-03-08,1948-03-14
None,Porto,POR,1,1523.83947754,1948-03-15,1948-03-22
None,Porto,POR,1,1518.83947754,1948-03-23,1948-03-28
None,Porto,POR,1,1514.29577637,1948-03-29,1948-04-04
None,Porto,POR,1,1504.32189941,1948-04-05,1948-04-11
None,Porto,POR,1,1508.13964844,1948-04-12,1948-04-18
None,Porto,POR,1,1510.10229492,1948-04-19,1948-04-25
None,Porto,POR,1,1511.92834473,1948-04-26,1948-05-02
None,Porto,POR,1,1516.69921875,1948-05-03,1948-05-09
None,Porto,POR,1,1509.6496582,1948-05-10,1948-05-16
None,Porto,POR,1,1506.80078125,1948-05-17,1948-05-26
None,Porto,POR,1,1517.80078125,1948-05-27,1948-05-30
None,Porto,POR,1,1512.79321289,1948-05-31,1948-09-19
None,Porto,POR,1,1514.62634277,1948-09-20,1948-09-26
None,Porto,POR,1,1525.16711426,1948-09-27,1948-10-03
None,Porto,POR,1,1508.69360352,1948-10-04,1948-10-10
None,Porto,POR,1,1515.49084473,1948-10-11,1948-10-17
None,Porto,POR,1,1522.2989502,1948-10-18,1948-10-24
None,Porto,POR,1,1529.08337402,1948-10-25,1948-10-31
None,Porto,POR,1,1531.65380859,1948-11-01,1948-11-07
None,Porto,POR,1,1536.27575684,1948-11-08,1948-11-14
None,Porto,POR,1,1524.36950684,1948-11-15,1948-11-21
None,Porto,POR,1,1526.55456543,1948-11-22,1948-11-28
None,Porto,POR,1,1518.8692627,1948-11-29,1948-12-05
None,Porto,POR,1,1527.2791748,1948-12-06,1948-12-12
None,Porto,POR,1,1519.53173828,1948-12-13,1948-12-25
None,Porto,POR,1,1506.00109863,1948-12-26,1949-01-02
None,Porto,POR,1,1507.35046387,1949-01-03,1949-01-09
None,Porto,POR,1,1493.16931152,1949-01-10,1949-01-16
None,Porto,POR,1,1495.61181641,1949-01-17,1949-01-23
None,Porto,POR,1,1492.06884766,1949-01-24,1949-01-30
None,Porto,POR,1,1498.60144043,1949-01-31,1949-02-06
None,Porto,POR,1,1485.39587402,1949-02-07,1949-02-13
None,Porto,POR,1,1487.26342773,1949-02-14,1949-02-21
None,Porto,POR,1,1489.08325195,1949-02-22,1949-03-05
None,Porto,POR,1,1487.08325195,1949-03-06,1949-03-06
None,Porto,POR,1,1480.03234863,1949-03-07,1949-03-26
None,Porto,POR,1,1483.03234863,1949-03-27,1949-03-27
None,Porto,POR,1,1485.83825684,1949-03-28,1949-04-03
None,Porto,POR,1,1501.82446289,1949-04-04,1949-04-10
None,Porto,POR,1,1504.59887695,1949-04-11,1949-05-20
None,Porto,POR,1,1514.59887695,1949-05-21,1949-05-25
