Rank,Club,Country,Level,Elo,From,To
None,Portogruaro,ITA,2,1411.88146973,2010-07-01,2010-07-29
None,Portogruaro,ITA,2,1411.97583008,2010-07-30,2010-08-05
None,Portogruaro,ITA,2,1411.9979248,2010-08-06,2010-08-18
None,Portogruaro,ITA,2,1409.70239258,2010-08-19,2010-08-19
None,Portogruaro,ITA,2,1411.85070801,2010-08-20,2010-08-22
None,Portogruaro,ITA,2,1424.93688965,2010-08-23,2010-08-24
None,Portogruaro,ITA,2,1424.76367188,2010-08-25,2010-08-26
None,Portogruaro,ITA,2,1426.23339844,2010-08-27,2010-08-28
None,Portogruaro,ITA,2,1415.98608398,2010-08-29,2010-09-05
None,Portogruaro,ITA,2,1425.23974609,2010-09-06,2010-09-11
None,Portogruaro,ITA,2,1418.92614746,2010-09-12,2010-09-14
None,Portogruaro,ITA,2,1417.60131836,2010-09-15,2010-09-15
None,Portogruaro,ITA,2,1418.08569336,2010-09-16,2010-09-16
None,Portogruaro,ITA,2,1410.91894531,2010-09-17,2010-09-18
None,Portogruaro,ITA,2,1415.80993652,2010-09-19,2010-09-25
None,Portogruaro,ITA,2,1423.80493164,2010-09-26,2010-09-28
None,Portogruaro,ITA,2,1425.01013184,2010-09-29,2010-09-29
None,Portogruaro,ITA,2,1427.26757812,2010-09-30,2010-09-30
None,Portogruaro,ITA,2,1428.5703125,2010-10-01,2010-10-02
None,Portogruaro,ITA,2,1424.5559082,2010-10-03,2010-10-10
None,Portogruaro,ITA,2,1405.23156738,2010-10-11,2010-10-13
None,Portogruaro,ITA,2,1398.36572266,2010-10-14,2010-10-16
None,Portogruaro,ITA,2,1396.52770996,2010-10-17,2010-10-19
None,Portogruaro,ITA,2,1388.80859375,2010-10-20,2010-10-20
None,Portogruaro,ITA,2,1390.02453613,2010-10-21,2010-10-21
None,Portogruaro,ITA,2,1381.1809082,2010-10-22,2010-10-23
None,Portogruaro,ITA,2,1376.23193359,2010-10-24,2010-10-30
None,Portogruaro,ITA,2,1375.39233398,2010-10-31,2010-11-02
None,Portogruaro,ITA,2,1371.3717041,2010-11-03,2010-11-03
None,Portogruaro,ITA,2,1375.06054688,2010-11-04,2010-11-04
None,Portogruaro,ITA,2,1368.38330078,2010-11-05,2010-11-05
None,Portogruaro,ITA,2,1364.94567871,2010-11-06,2010-11-09
None,Portogruaro,ITA,2,1364.91503906,2010-11-10,2010-11-13
None,Portogruaro,ITA,2,1368.37329102,2010-11-14,2010-11-20
None,Portogruaro,ITA,2,1359.16772461,2010-11-21,2010-11-23
None,Portogruaro,ITA,2,1366.03344727,2010-11-24,2010-11-24
None,Portogruaro,ITA,2,1366.99731445,2010-11-25,2010-11-27
None,Portogruaro,ITA,2,1359.75854492,2010-11-28,2010-12-01
None,Portogruaro,ITA,2,1355.234375,2010-12-02,2010-12-02
None,Portogruaro,ITA,2,1353.06164551,2010-12-03,2010-12-04
None,Portogruaro,ITA,2,1348.00720215,2010-12-05,2010-12-07
None,Portogruaro,ITA,2,1343.33129883,2010-12-08,2010-12-08
None,Portogruaro,ITA,2,1336.17041016,2010-12-09,2010-12-11
None,Portogruaro,ITA,2,1349.41589355,2010-12-12,2010-12-15
None,Portogruaro,ITA,2,1351.14660645,2010-12-16,2010-12-16
None,Portogruaro,ITA,2,1345.23168945,2010-12-17,2010-12-18
None,Portogruaro,ITA,2,1343.92590332,2010-12-19,2011-01-08
None,Portogruaro,ITA,2,1338.01330566,2011-01-09,2011-01-15
None,Portogruaro,ITA,2,1343.14001465,2011-01-16,2011-01-22
None,Portogruaro,ITA,2,1351.22363281,2011-01-23,2011-01-29
None,Portogruaro,ITA,2,1363.76098633,2011-01-30,2011-02-05
None,Portogruaro,ITA,2,1352.98059082,2011-02-06,2011-02-12
None,Portogruaro,ITA,2,1365.81884766,2011-02-13,2011-02-15
None,Portogruaro,ITA,2,1363.39233398,2011-02-16,2011-02-16
None,Portogruaro,ITA,2,1361.16308594,2011-02-17,2011-02-17
None,Portogruaro,ITA,2,1360.78137207,2011-02-18,2011-02-19
None,Portogruaro,ITA,2,1355.7734375,2011-02-20,2011-02-23
None,Portogruaro,ITA,2,1353.53613281,2011-02-24,2011-02-24
None,Portogruaro,ITA,2,1351.03710938,2011-02-25,2011-02-26
None,Portogruaro,ITA,2,1343.83312988,2011-02-27,2011-03-01
None,Portogruaro,ITA,2,1349.20849609,2011-03-02,2011-03-05
None,Portogruaro,ITA,2,1348.8548584,2011-03-06,2011-03-08
None,Portogruaro,ITA,2,1347.1204834,2011-03-09,2011-03-09
None,Portogruaro,ITA,2,1346.68786621,2011-03-10,2011-03-12
None,Portogruaro,ITA,2,1342.81420898,2011-03-13,2011-03-15
None,Portogruaro,ITA,2,1348.1932373,2011-03-16,2011-03-19
None,Portogruaro,ITA,2,1355.4597168,2011-03-20,2011-03-27
None,Portogruaro,ITA,2,1367.46850586,2011-03-28,2011-04-02
None,Portogruaro,ITA,2,1367.52172852,2011-04-03,2011-04-05
None,Portogruaro,ITA,2,1360.68798828,2011-04-06,2011-04-09
None,Portogruaro,ITA,2,1353.61242676,2011-04-10,2011-04-13
None,Portogruaro,ITA,2,1352.74084473,2011-04-14,2011-04-16
None,Portogruaro,ITA,2,1342.43395996,2011-04-17,2011-04-22
None,Portogruaro,ITA,2,1357.4239502,2011-04-23,2011-04-30
None,Portogruaro,ITA,2,1348.19250488,2011-05-01,2011-05-07
None,Portogruaro,ITA,2,1343.70715332,2011-05-08,2011-05-14
None,Portogruaro,ITA,2,1336.03210449,2011-05-15,2011-05-21
None,Portogruaro,ITA,2,1329.29870605,2011-05-22,2011-05-29
