Rank,Club,Country,Level,Elo,From,To
None,Reims,FRA,1,1341.29150391,1945-07-01,1945-08-26
None,Reims,FRA,1,1351.75280762,1945-08-27,1945-09-02
None,Reims,FRA,1,1341.44665527,1945-09-03,1945-09-09
None,Reims,FRA,1,1329.95483398,1945-09-10,1945-09-16
None,Reims,FRA,1,1343.04736328,1945-09-17,1945-09-23
None,Reims,FRA,1,1337.03405762,1945-09-24,1945-09-30
None,Reims,FRA,1,1322.36791992,1945-10-01,1945-10-07
None,Reims,FRA,1,1325.55212402,1945-10-08,1945-10-14
None,Reims,FRA,1,1324.05419922,1945-10-15,1945-10-21
None,Reims,FRA,1,1340.15783691,1945-10-22,1945-10-28
None,Reims,FRA,1,1349.43237305,1945-10-29,1945-11-04
None,Reims,FRA,1,1341.17590332,1945-11-05,1945-11-11
None,Reims,FRA,1,1346.68713379,1945-11-12,1945-11-18
None,Reims,FRA,1,1357.86694336,1945-11-19,1945-12-02
None,Reims,FRA,1,1374.93652344,1945-12-03,1945-12-09
None,Reims,FRA,1,1351.42248535,1945-12-10,1945-12-16
None,Reims,FRA,1,1339.42248535,1945-12-17,1945-12-23
None,Reims,FRA,1,1332.02087402,1945-12-24,1945-12-30
None,Reims,FRA,1,1327.94763184,1945-12-31,1946-01-13
None,Reims,FRA,1,1336.16357422,1946-01-14,1946-01-20
None,Reims,FRA,1,1339.94482422,1946-01-21,1946-01-27
None,Reims,FRA,1,1336.95397949,1946-01-28,1946-02-10
None,Reims,FRA,1,1339.06140137,1946-02-11,1946-02-17
None,Reims,FRA,1,1343.79797363,1946-02-18,1946-02-24
None,Reims,FRA,1,1355.19714355,1946-02-25,1946-03-10
None,Reims,FRA,1,1358.28039551,1946-03-11,1946-03-24
None,Reims,FRA,1,1368.29541016,1946-03-25,1946-04-07
None,Reims,FRA,1,1375.09887695,1946-04-08,1946-04-11
None,Reims,FRA,1,1397.09887695,1946-04-12,1946-04-14
None,Reims,FRA,1,1390.77819824,1946-04-15,1946-04-16
None,Reims,FRA,1,1383.77819824,1946-04-17,1946-04-21
None,Reims,FRA,1,1371.80371094,1946-04-22,1946-04-28
None,Reims,FRA,1,1373.89355469,1946-04-29,1946-05-05
None,Reims,FRA,1,1382.4251709,1946-05-06,1946-05-08
None,Reims,FRA,1,1400.4251709,1946-05-09,1946-05-12
None,Reims,FRA,1,1409.57397461,1946-05-13,1946-05-19
None,Reims,FRA,1,1410.89013672,1946-05-20,1946-05-26
None,Reims,FRA,1,1408.61108398,1946-05-27,1946-06-02
None,Reims,FRA,1,1407.63342285,1946-06-03,1946-08-18
None,Reims,FRA,1,1396.03369141,1946-08-19,1946-08-25
None,Reims,FRA,1,1399.83874512,1946-08-26,1946-09-01
None,Reims,FRA,1,1390.13012695,1946-09-02,1946-09-08
None,Reims,FRA,1,1398.60998535,1946-09-09,1946-09-12
None,Reims,FRA,1,1407.83874512,1946-09-13,1946-09-15
None,Reims,FRA,1,1418.61608887,1946-09-16,1946-09-22
None,Reims,FRA,1,1420.69799805,1946-09-23,1946-09-26
None,Reims,FRA,1,1429.5032959,1946-09-27,1946-09-29
None,Reims,FRA,1,1433.15722656,1946-09-30,1946-10-06
None,Reims,FRA,1,1446.2310791,1946-10-07,1946-10-13
None,Reims,FRA,1,1449.32214355,1946-10-14,1946-10-17
None,Reims,FRA,1,1453.14123535,1946-10-18,1946-10-20
None,Reims,FRA,1,1450.41113281,1946-10-21,1946-10-27
None,Reims,FRA,1,1440.45446777,1946-10-28,1946-11-03
None,Reims,FRA,1,1445.98791504,1946-11-04,1946-11-10
None,Reims,FRA,1,1453.17932129,1946-11-11,1946-11-17
None,Reims,FRA,1,1438.75927734,1946-11-18,1946-11-24
None,Reims,FRA,1,1442.56628418,1946-11-25,1946-12-01
None,Reims,FRA,1,1434.2689209,1946-12-02,1946-12-08
None,Reims,FRA,1,1436.85705566,1946-12-09,1946-12-22
None,Reims,FRA,1,1428.10107422,1946-12-23,1946-12-29
None,Reims,FRA,1,1431.04663086,1946-12-30,1947-01-12
None,Reims,FRA,1,1438.00927734,1947-01-13,1947-01-19
None,Reims,FRA,1,1438.16052246,1947-01-20,1947-01-26
None,Reims,FRA,1,1431.15612793,1947-01-27,1947-02-09
None,Reims,FRA,1,1435.77307129,1947-02-10,1947-02-16
None,Reims,FRA,1,1440.78833008,1947-02-17,1947-02-23
None,Reims,FRA,1,1440.68798828,1947-02-24,1947-03-09
None,Reims,FRA,1,1448.86987305,1947-03-10,1947-03-18
None,Reims,FRA,1,1441.2355957,1947-03-19,1947-03-20
None,Reims,FRA,1,1444.63574219,1947-03-21,1947-03-26
None,Reims,FRA,1,1456.20629883,1947-03-27,1947-04-03
None,Reims,FRA,1,1456.37463379,1947-04-04,1947-04-06
None,Reims,FRA,1,1440.74731445,1947-04-07,1947-04-17
None,Reims,FRA,1,1429.77868652,1947-04-18,1947-04-20
None,Reims,FRA,1,1436.45678711,1947-04-21,1947-05-04
None,Reims,FRA,1,1432.45678711,1947-05-05,1947-05-08
None,Reims,FRA,1,1426.56445312,1947-05-09,1947-05-15
None,Reims,FRA,1,1429.72338867,1947-05-16,1947-05-27
None,Reims,FRA,1,1441.72338867,1947-05-28,1947-06-04
None,Reims,FRA,1,1446.72338867,1947-06-05,1947-06-11
None,Reims,FRA,1,1460.72338867,1947-06-12,1947-08-24
None,Reims,FRA,1,1466.39465332,1947-08-25,1947-08-31
None,Reims,FRA,1,1469.22875977,1947-09-01,1947-09-07
None,Reims,FRA,1,1475.60778809,1947-09-08,1947-09-14
None,Reims,FRA,1,1481.99401855,1947-09-15,1947-09-18
None,Reims,FRA,1,1473.22009277,1947-09-19,1947-09-21
None,Reims,FRA,1,1477.43615723,1947-09-22,1947-09-28
None,Reims,FRA,1,1483.69750977,1947-09-29,1947-10-05
None,Reims,FRA,1,1476.4263916,1947-10-06,1947-10-12
None,Reims,FRA,1,1481.62744141,1947-10-13,1947-10-26
None,Reims,FRA,1,1478.4732666,1947-10-27,1947-11-02
None,Reims,FRA,1,1481.84460449,1947-11-03,1947-11-09
None,Reims,FRA,1,1492.16064453,1947-11-10,1947-11-16
None,Reims,FRA,1,1494.31286621,1947-11-17,1947-11-29
None,Reims,FRA,1,1512.31286621,1947-11-30,1947-11-30
None,Reims,FRA,1,1513.74829102,1947-12-01,1947-12-07
None,Reims,FRA,1,1518.76928711,1947-12-08,1947-12-21
None,Reims,FRA,1,1526.64172363,1947-12-22,1947-12-25
None,Reims,FRA,1,1534.87036133,1947-12-26,1947-12-28
None,Reims,FRA,1,1540.71362305,1947-12-29,1948-01-11
None,Reims,FRA,1,1530.58886719,1948-01-12,1948-01-18
None,Reims,FRA,1,1532.13916016,1948-01-19,1948-01-25
None,Reims,FRA,1,1525.87084961,1948-01-26,1948-02-08
None,Reims,FRA,1,1520.74975586,1948-02-09,1948-02-15
None,Reims,FRA,1,1522.44799805,1948-02-16,1948-02-22
None,Reims,FRA,1,1508.54650879,1948-02-23,1948-03-04
None,Reims,FRA,1,1485.27978516,1948-03-05,1948-03-07
None,Reims,FRA,1,1500.67175293,1948-03-08,1948-03-14
None,Reims,FRA,1,1494.47680664,1948-03-15,1948-03-26
None,Reims,FRA,1,1491.92053223,1948-03-27,1948-03-28
None,Reims,FRA,1,1495.69885254,1948-03-29,1948-04-05
None,Reims,FRA,1,1489.69885254,1948-04-06,1948-04-11
None,Reims,FRA,1,1497.81994629,1948-04-12,1948-04-25
None,Reims,FRA,1,1493.45202637,1948-04-26,1948-05-02
None,Reims,FRA,1,1507.28723145,1948-05-03,1948-05-16
None,Reims,FRA,1,1511.28710938,1948-05-17,1948-05-26
None,Reims,FRA,1,1526.28710938,1948-05-27,1948-05-30
None,Reims,FRA,1,1519.5480957,1948-05-31,1948-06-13
None,Reims,FRA,1,1525.5480957,1948-06-14,1948-08-22
None,Reims,FRA,1,1534.37890625,1948-08-23,1948-08-29
None,Reims,FRA,1,1532.10974121,1948-08-30,1948-09-04
None,Reims,FRA,1,1516.58044434,1948-09-05,1948-09-09
None,Reims,FRA,1,1523.1595459,1948-09-10,1948-09-12
None,Reims,FRA,1,1527.61193848,1948-09-13,1948-09-18
None,Reims,FRA,1,1533.57470703,1948-09-19,1948-09-23
None,Reims,FRA,1,1519.60351562,1948-09-24,1948-09-26
None,Reims,FRA,1,1527.85510254,1948-09-27,1948-10-03
None,Reims,FRA,1,1530.30200195,1948-10-04,1948-10-07
None,Reims,FRA,1,1516.72631836,1948-10-08,1948-10-10
None,Reims,FRA,1,1521.68066406,1948-10-11,1948-10-23
None,Reims,FRA,1,1514.68066406,1948-10-24,1948-10-24
None,Reims,FRA,1,1517.70922852,1948-10-25,1948-10-31
None,Reims,FRA,1,1528.52758789,1948-11-01,1948-11-07
None,Reims,FRA,1,1520.99291992,1948-11-08,1948-11-11
None,Reims,FRA,1,1520.09619141,1948-11-12,1948-11-14
None,Reims,FRA,1,1512.13769531,1948-11-15,1948-11-28
None,Reims,FRA,1,1514.86743164,1948-11-29,1948-12-05
None,Reims,FRA,1,1503.07409668,1948-12-06,1948-12-19
None,Reims,FRA,1,1488.69775391,1948-12-20,1948-12-25
None,Reims,FRA,1,1485.21472168,1948-12-26,1949-01-02
None,Reims,FRA,1,1488.44091797,1949-01-03,1949-01-16
None,Reims,FRA,1,1494.921875,1949-01-17,1949-01-23
None,Reims,FRA,1,1498.6138916,1949-01-24,1949-02-06
None,Reims,FRA,1,1512.42724609,1949-02-07,1949-02-13
None,Reims,FRA,1,1515.49658203,1949-02-14,1949-02-20
None,Reims,FRA,1,1522.64196777,1949-02-21,1949-03-06
None,Reims,FRA,1,1528.75915527,1949-03-07,1949-03-13
None,Reims,FRA,1,1541.64013672,1949-03-14,1949-03-27
None,Reims,FRA,1,1544.04772949,1949-03-28,1949-04-10
None,Reims,FRA,1,1550.3717041,1949-04-11,1949-04-17
None,Reims,FRA,1,1544.26171875,1949-04-18,1949-04-24
None,Reims,FRA,1,1528.26171875,1949-04-25,1949-04-28
None,Reims,FRA,1,1522.26171875,1949-04-29,1949-05-01
None,Reims,FRA,1,1515.50073242,1949-05-02,1949-05-14
None,Reims,FRA,1,1520.35522461,1949-05-15,1949-05-25
None,Reims,FRA,1,1512.35522461,1949-05-26,1949-05-29
None,Reims,FRA,1,1518.55517578,1949-05-30,1949-06-05
None,Reims,FRA,1,1529.55517578,1949-06-06,1949-06-26
None,Reims,FRA,1,1513.55517578,1949-06-27,1949-06-30
None,Reims,FRA,1,1478.14099121,1949-07-01,1949-07-02
None,Reims,FRA,1,1469.8026123,1949-07-03,1949-08-21
None,Reims,FRA,1,1460.74963379,1949-08-22,1949-08-28
None,Reims,FRA,1,1461.75048828,1949-08-29,1949-09-03
None,Reims,FRA,1,1441.02246094,1949-09-04,1949-09-11
None,Reims,FRA,1,1453.63916016,1949-09-12,1949-09-18
None,Reims,FRA,1,1457.63781738,1949-09-19,1949-09-22
None,Reims,FRA,1,1444.35583496,1949-09-23,1949-09-24
None,Reims,FRA,1,1447.10473633,1949-09-25,1949-10-02
None,Reims,FRA,1,1446.73449707,1949-10-03,1949-10-16
None,Reims,FRA,1,1449.35986328,1949-10-17,1949-10-23
None,Reims,FRA,1,1448.63220215,1949-10-24,1949-11-06
None,Reims,FRA,1,1452.90332031,1949-11-07,1949-11-20
None,Reims,FRA,1,1446.44348145,1949-11-21,1949-11-27
None,Reims,FRA,1,1433.49987793,1949-11-28,1949-12-04
None,Reims,FRA,1,1438.0546875,1949-12-05,1949-12-18
None,Reims,FRA,1,1444.50378418,1949-12-19,1949-12-25
None,Reims,FRA,1,1455.00549316,1949-12-26,1950-01-01
None,Reims,FRA,1,1461.09179688,1950-01-02,1950-01-14
None,Reims,FRA,1,1464.6315918,1950-01-15,1950-01-22
None,Reims,FRA,1,1450.97387695,1950-01-23,1950-01-29
None,Reims,FRA,1,1453.95898438,1950-01-30,1950-02-12
None,Reims,FRA,1,1452.52026367,1950-02-13,1950-02-16
None,Reims,FRA,1,1453.85449219,1950-02-17,1950-02-19
None,Reims,FRA,1,1455.9642334,1950-02-20,1950-03-05
