Rank,Club,Country,Level,Elo,From,To
None,Rizespor,TUR,1,1170.1784668,1979-07-01,1979-08-26
None,Rizespor,TUR,1,1167.10253906,1979-08-27,1979-09-02
None,Rizespor,TUR,1,1172.99389648,1979-09-03,1979-09-08
None,Rizespor,TUR,1,1188.78637695,1979-09-09,1979-09-16
None,Rizespor,TUR,1,1184.38378906,1979-09-17,1979-09-19
None,Rizespor,TUR,1,1190.82104492,1979-09-20,1979-09-23
None,Rizespor,TUR,1,1192.8145752,1979-09-24,1979-10-03
None,Rizespor,TUR,1,1179.98596191,1979-10-04,1979-10-06
None,Rizespor,TUR,1,1175.05175781,1979-10-07,1979-10-14
None,Rizespor,TUR,1,1171.41174316,1979-10-15,1979-11-03
None,Rizespor,TUR,1,1176.9041748,1979-11-04,1979-11-11
None,Rizespor,TUR,1,1184.85803223,1979-11-12,1979-11-25
None,Rizespor,TUR,1,1198.9041748,1979-11-26,1979-12-02
None,Rizespor,TUR,1,1203.86865234,1979-12-03,1979-12-09
None,Rizespor,TUR,1,1199.87060547,1979-12-10,1979-12-16
None,Rizespor,TUR,1,1195.89404297,1979-12-17,1979-12-30
None,Rizespor,TUR,1,1203.59558105,1979-12-31,1980-01-06
None,Rizespor,TUR,1,1200.16711426,1980-01-07,1980-02-10
None,Rizespor,TUR,1,1205.53381348,1980-02-11,1980-02-16
None,Rizespor,TUR,1,1218.83959961,1980-02-17,1980-02-24
None,Rizespor,TUR,1,1217.61572266,1980-02-25,1980-03-02
None,Rizespor,TUR,1,1224.28149414,1980-03-03,1980-03-09
None,Rizespor,TUR,1,1222.20373535,1980-03-10,1980-03-16
None,Rizespor,TUR,1,1226.20910645,1980-03-17,1980-03-23
None,Rizespor,TUR,1,1220.74023438,1980-03-24,1980-03-30
None,Rizespor,TUR,1,1224.53051758,1980-03-31,1980-04-06
None,Rizespor,TUR,1,1220.64831543,1980-04-07,1980-04-13
None,Rizespor,TUR,1,1217.09692383,1980-04-14,1980-04-27
None,Rizespor,TUR,1,1213.3380127,1980-04-28,1980-05-04
None,Rizespor,TUR,1,1218.33300781,1980-05-05,1980-05-11
None,Rizespor,TUR,1,1214.10656738,1980-05-12,1980-05-19
None,Rizespor,TUR,1,1218.06835938,1980-05-20,1980-05-25
None,Rizespor,TUR,1,1213.00354004,1980-05-26,1980-08-20
None,Rizespor,TUR,1,1213.27856445,1980-08-21,1980-08-24
None,Rizespor,TUR,1,1218.10241699,1980-08-25,1980-08-31
None,Rizespor,TUR,1,1216.1920166,1980-09-01,1980-09-03
None,Rizespor,TUR,1,1214.65112305,1980-09-04,1980-09-08
None,Rizespor,TUR,1,1217.69091797,1980-09-09,1980-09-17
None,Rizespor,TUR,1,1213.25720215,1980-09-18,1980-10-01
None,Rizespor,TUR,1,1202.88952637,1980-10-02,1980-10-19
None,Rizespor,TUR,1,1198.2755127,1980-10-20,1980-10-26
None,Rizespor,TUR,1,1193.59460449,1980-10-27,1980-11-02
None,Rizespor,TUR,1,1199.1953125,1980-11-03,1980-11-09
None,Rizespor,TUR,1,1202.32568359,1980-11-10,1980-11-16
None,Rizespor,TUR,1,1196.08642578,1980-11-17,1980-11-24
None,Rizespor,TUR,1,1201.64733887,1980-11-25,1980-12-07
None,Rizespor,TUR,1,1208.98657227,1980-12-08,1980-12-14
None,Rizespor,TUR,1,1204.36938477,1980-12-15,1980-12-21
None,Rizespor,TUR,1,1194.00036621,1980-12-22,1980-12-27
None,Rizespor,TUR,1,1189.8659668,1980-12-28,1981-01-04
None,Rizespor,TUR,1,1193.91394043,1981-01-05,1981-01-11
None,Rizespor,TUR,1,1183.7364502,1981-01-12,1981-02-01
None,Rizespor,TUR,1,1189.17712402,1981-02-02,1981-02-08
None,Rizespor,TUR,1,1198.47241211,1981-02-09,1981-02-15
None,Rizespor,TUR,1,1190.43554688,1981-02-16,1981-02-22
None,Rizespor,TUR,1,1172.78161621,1981-02-23,1981-02-28
None,Rizespor,TUR,1,1179.85412598,1981-03-01,1981-03-08
None,Rizespor,TUR,1,1175.3470459,1981-03-09,1981-03-15
None,Rizespor,TUR,1,1171.09472656,1981-03-16,1981-03-29
None,Rizespor,TUR,1,1181.83703613,1981-03-30,1981-04-05
