Rank,Club,Country,Level,Elo,From,To
None,Roda,NED,1,1069.13220215,1956-07-01,1956-09-02
None,Roda,NED,1,1060.19689941,1956-09-03,1956-09-09
None,Roda,NED,1,1078.35986328,1956-09-10,1956-09-23
None,Roda,NED,1,1066.26623535,1956-09-24,1956-09-30
None,Roda,NED,1,1074.02453613,1956-10-01,1956-10-07
None,Roda,NED,1,1068.48242188,1956-10-08,1956-10-21
None,Roda,NED,1,1077.51159668,1956-10-22,1956-10-28
None,Roda,NED,1,1071.7833252,1956-10-29,1956-11-01
None,Roda,NED,1,1071.75402832,1956-11-02,1956-11-11
None,Roda,NED,1,1083.50463867,1956-11-12,1956-11-14
None,Roda,NED,1,1083.4375,1956-11-15,1956-11-18
None,Roda,NED,1,1077.46313477,1956-11-19,1956-12-02
None,Roda,NED,1,1088.8614502,1956-12-03,1956-12-09
None,Roda,NED,1,1086.83789062,1956-12-10,1956-12-16
None,Roda,NED,1,1083.3572998,1956-12-17,1956-12-23
None,Roda,NED,1,1098.00622559,1956-12-24,1956-12-30
None,Roda,NED,1,1108.98205566,1956-12-31,1957-01-06
None,Roda,NED,1,1116.41625977,1957-01-07,1957-01-13
None,Roda,NED,1,1120.96398926,1957-01-14,1957-01-27
None,Roda,NED,1,1115.6496582,1957-01-28,1957-02-03
None,Roda,NED,1,1106.2734375,1957-02-04,1957-02-10
None,Roda,NED,1,1100.58557129,1957-02-11,1957-02-17
None,Roda,NED,1,1083.88037109,1957-02-18,1957-02-24
None,Roda,NED,1,1078.78393555,1957-02-25,1957-03-03
None,Roda,NED,1,1075.45703125,1957-03-04,1957-03-10
None,Roda,NED,1,1061.10083008,1957-03-11,1957-03-17
None,Roda,NED,1,1063.78771973,1957-03-18,1957-03-24
None,Roda,NED,1,1061.75512695,1957-03-25,1957-03-31
None,Roda,NED,1,1074.2557373,1957-04-01,1957-04-07
None,Roda,NED,1,1062.0423584,1957-04-08,1957-04-14
None,Roda,NED,1,1055.52661133,1957-04-15,1957-04-17
None,Roda,NED,1,1055.40283203,1957-04-18,1957-04-22
None,Roda,NED,1,1077.61779785,1957-04-23,1957-05-05
None,Roda,NED,1,1081.46264648,1957-05-06,1957-05-12
None,Roda,NED,1,1092.11523438,1957-05-13,1957-05-19
None,Roda,NED,1,1087.97875977,1957-05-20,1957-06-02
None,Roda,NED,1,1078.44995117,1957-06-03,1957-08-25
None,Roda,NED,1,1079.77038574,1957-08-26,1957-09-01
None,Roda,NED,1,1092.6472168,1957-09-02,1957-09-08
None,Roda,NED,1,1109.04003906,1957-09-09,1957-09-15
None,Roda,NED,1,1117.02868652,1957-09-16,1957-09-22
None,Roda,NED,1,1124.6048584,1957-09-23,1957-09-29
None,Roda,NED,1,1127.39624023,1957-09-30,1957-10-06
None,Roda,NED,1,1121.13952637,1957-10-07,1957-10-13
None,Roda,NED,1,1126.07849121,1957-10-14,1957-10-20
None,Roda,NED,1,1119.49743652,1957-10-21,1957-10-27
None,Roda,NED,1,1125.0916748,1957-10-28,1957-11-03
None,Roda,NED,1,1116.57946777,1957-11-04,1957-11-10
None,Roda,NED,1,1121.91918945,1957-11-11,1957-11-20
None,Roda,NED,1,1173.64904785,1957-11-21,1957-11-24
None,Roda,NED,1,1167.19604492,1957-11-25,1957-11-27
None,Roda,NED,1,1187.31811523,1957-11-28,1957-12-01
None,Roda,NED,1,1178.15979004,1957-12-02,1957-12-08
None,Roda,NED,1,1180.43725586,1957-12-09,1957-12-15
None,Roda,NED,1,1187.61254883,1957-12-16,1957-12-22
None,Roda,NED,1,1179.66320801,1957-12-23,1958-01-05
None,Roda,NED,1,1186.06176758,1958-01-06,1958-01-12
None,Roda,NED,1,1180.33496094,1958-01-13,1958-01-19
None,Roda,NED,1,1169.48327637,1958-01-20,1958-02-02
None,Roda,NED,1,1174.57299805,1958-02-03,1958-02-05
None,Roda,NED,1,1174.69042969,1958-02-06,1958-02-16
None,Roda,NED,1,1178.66455078,1958-02-17,1958-02-26
None,Roda,NED,1,1178.33239746,1958-02-27,1958-03-16
None,Roda,NED,1,1184.87133789,1958-03-17,1958-03-23
None,Roda,NED,1,1175.8338623,1958-03-24,1958-03-30
None,Roda,NED,1,1166.12597656,1958-03-31,1958-04-07
None,Roda,NED,1,1163.97265625,1958-04-08,1958-04-20
None,Roda,NED,1,1154.24060059,1958-04-21,1958-04-27
None,Roda,NED,1,1160.4921875,1958-04-28,1958-05-11
None,Roda,NED,1,1148.8203125,1958-05-12,1958-05-15
None,Roda,NED,1,1128.33825684,1958-05-16,1958-05-18
None,Roda,NED,1,1122.09777832,1958-05-19,1958-05-26
None,Roda,NED,1,1121.39746094,1958-05-27,1958-06-01
None,Roda,NED,1,1111.80419922,1958-06-02,1958-06-04
None,Roda,NED,1,1105.73120117,1958-06-05,1958-08-24
None,Roda,NED,1,1109.59411621,1958-08-25,1958-08-31
None,Roda,NED,1,1108.80334473,1958-09-01,1958-09-07
None,Roda,NED,1,1106.12414551,1958-09-08,1958-09-14
None,Roda,NED,1,1114.91259766,1958-09-15,1958-09-21
None,Roda,NED,1,1111.94177246,1958-09-22,1958-10-01
None,Roda,NED,1,1109.99804688,1958-10-02,1958-10-05
