Rank,Club,Country,Level,Elo,From,To
None,Rostock,GDR,1,1289.64074707,1965-07-01,1965-08-14
None,Rostock,GDR,1,1304.81079102,1965-08-15,1965-08-18
None,Rostock,GDR,1,1294.76586914,1965-08-19,1965-08-21
None,Rostock,GDR,1,1298.75378418,1965-08-22,1965-08-25
None,Rostock,GDR,1,1298.99182129,1965-08-26,1965-09-11
None,Rostock,GDR,1,1294.72241211,1965-09-12,1965-09-15
None,Rostock,GDR,1,1293.93261719,1965-09-16,1965-09-18
None,Rostock,GDR,1,1290.55664062,1965-09-19,1965-09-22
None,Rostock,GDR,1,1288.9017334,1965-09-23,1965-10-13
None,Rostock,GDR,1,1297.89221191,1965-10-14,1965-10-22
None,Rostock,GDR,1,1307.38793945,1965-10-23,1965-11-03
None,Rostock,GDR,1,1335.125,1965-11-04,1965-11-06
None,Rostock,GDR,1,1326.89562988,1965-11-07,1965-11-13
None,Rostock,GDR,1,1338.47314453,1965-11-14,1965-11-17
None,Rostock,GDR,1,1367.1574707,1965-11-18,1965-11-20
None,Rostock,GDR,1,1371.63842773,1965-11-21,1965-11-24
None,Rostock,GDR,1,1372.10192871,1965-11-25,1965-11-27
None,Rostock,GDR,1,1365.86853027,1965-11-28,1965-12-01
None,Rostock,GDR,1,1365.25854492,1965-12-02,1965-12-04
None,Rostock,GDR,1,1369.88110352,1965-12-05,1965-12-11
None,Rostock,GDR,1,1380.31286621,1965-12-12,1966-02-12
None,Rostock,GDR,1,1384.81396484,1966-02-13,1966-02-19
None,Rostock,GDR,1,1375.41259766,1966-02-20,1966-02-26
None,Rostock,GDR,1,1363.80419922,1966-02-27,1966-03-02
None,Rostock,GDR,1,1365.33764648,1966-03-03,1966-03-05
None,Rostock,GDR,1,1389.79589844,1966-03-06,1966-03-12
None,Rostock,GDR,1,1386.92687988,1966-03-13,1966-03-16
None,Rostock,GDR,1,1384.80993652,1966-03-17,1966-03-19
None,Rostock,GDR,1,1376.32958984,1966-03-20,1966-04-02
None,Rostock,GDR,1,1385.57165527,1966-04-03,1966-04-08
None,Rostock,GDR,1,1378.43432617,1966-04-09,1966-04-11
None,Rostock,GDR,1,1384.74316406,1966-04-12,1966-04-16
None,Rostock,GDR,1,1375.67456055,1966-04-17,1966-05-04
None,Rostock,GDR,1,1383.33227539,1966-05-05,1966-05-07
None,Rostock,GDR,1,1380.86560059,1966-05-08,1966-05-14
None,Rostock,GDR,1,1400.47509766,1966-05-15,1966-08-06
None,Rostock,GDR,1,1395.90332031,1966-08-07,1966-08-10
None,Rostock,GDR,1,1405.3001709,1966-08-11,1966-08-13
