Rank,Club,Country,Level,Elo,From,To
None,Sandhausen,GER,2,1397.33789062,2012-07-01,2012-08-02
None,Sandhausen,GER,2,1397.45214844,2012-08-03,2012-08-05
None,Sandhausen,GER,2,1396.86376953,2012-08-06,2012-08-09
None,Sandhausen,GER,2,1396.89086914,2012-08-10,2012-08-10
None,Sandhausen,GER,2,1403.31689453,2012-08-11,2012-08-21
None,Sandhausen,GER,2,1397.87097168,2012-08-22,2012-08-22
None,Sandhausen,GER,2,1399.46374512,2012-08-23,2012-08-23
None,Sandhausen,GER,2,1400.09814453,2012-08-24,2012-08-24
None,Sandhausen,GER,2,1411.27954102,2012-08-25,2012-08-28
None,Sandhausen,GER,2,1411.85388184,2012-08-29,2012-08-29
None,Sandhausen,GER,2,1413.41833496,2012-08-30,2012-08-30
None,Sandhausen,GER,2,1413.72375488,2012-08-31,2012-09-01
None,Sandhausen,GER,2,1410.61950684,2012-09-02,2012-09-15
None,Sandhausen,GER,2,1410.48999023,2012-09-16,2012-09-18
None,Sandhausen,GER,2,1414.18286133,2012-09-19,2012-09-19
None,Sandhausen,GER,2,1415.29968262,2012-09-20,2012-09-20
None,Sandhausen,GER,2,1409.39990234,2012-09-21,2012-09-22
None,Sandhausen,GER,2,1402.83508301,2012-09-23,2012-09-25
None,Sandhausen,GER,2,1392.36181641,2012-09-26,2012-09-29
None,Sandhausen,GER,2,1386.85168457,2012-09-30,2012-10-02
None,Sandhausen,GER,2,1379.59301758,2012-10-03,2012-10-03
None,Sandhausen,GER,2,1378.88806152,2012-10-04,2012-10-04
None,Sandhausen,GER,2,1371.23132324,2012-10-05,2012-10-07
None,Sandhausen,GER,2,1378.90026855,2012-10-08,2012-10-19
None,Sandhausen,GER,2,1375.42956543,2012-10-20,2012-10-23
None,Sandhausen,GER,2,1377.14550781,2012-10-24,2012-10-24
None,Sandhausen,GER,2,1385.86950684,2012-10-25,2012-10-25
None,Sandhausen,GER,2,1390.73181152,2012-10-26,2012-10-27
None,Sandhausen,GER,2,1378.65490723,2012-10-28,2012-11-02
None,Sandhausen,GER,2,1375.66711426,2012-11-03,2012-11-06
None,Sandhausen,GER,2,1376.70983887,2012-11-07,2012-11-07
None,Sandhausen,GER,2,1378.09777832,2012-11-08,2012-11-08
None,Sandhausen,GER,2,1382.99755859,2012-11-09,2012-11-09
None,Sandhausen,GER,2,1374.50219727,2012-11-10,2012-11-18
None,Sandhausen,GER,2,1366.2767334,2012-11-19,2012-11-20
None,Sandhausen,GER,2,1365.9901123,2012-11-21,2012-11-21
None,Sandhausen,GER,2,1370.32568359,2012-11-22,2012-11-22
None,Sandhausen,GER,2,1370.5369873,2012-11-23,2012-11-25
None,Sandhausen,GER,2,1375.81677246,2012-11-26,2012-11-28
None,Sandhausen,GER,2,1389.98510742,2012-11-29,2012-12-01
None,Sandhausen,GER,2,1393.38635254,2012-12-02,2012-12-04
None,Sandhausen,GER,2,1394.5032959,2012-12-05,2012-12-05
None,Sandhausen,GER,2,1394.86755371,2012-12-06,2012-12-06
None,Sandhausen,GER,2,1396.37805176,2012-12-07,2012-12-07
None,Sandhausen,GER,2,1389.99121094,2012-12-08,2012-12-14
None,Sandhausen,GER,2,1393.51208496,2012-12-15,2013-02-01
None,Sandhausen,GER,2,1388.33081055,2013-02-02,2013-02-10
None,Sandhausen,GER,2,1406.30285645,2013-02-11,2013-02-13
None,Sandhausen,GER,2,1407.37927246,2013-02-14,2013-02-14
None,Sandhausen,GER,2,1397.54589844,2013-02-15,2013-02-17
None,Sandhausen,GER,2,1389.29516602,2013-02-18,2013-02-19
None,Sandhausen,GER,2,1391.26647949,2013-02-20,2013-02-20
None,Sandhausen,GER,2,1391.85571289,2013-02-21,2013-02-21
None,Sandhausen,GER,2,1388.22375488,2013-02-22,2013-02-24
None,Sandhausen,GER,2,1379.14941406,2013-02-25,2013-03-01
None,Sandhausen,GER,2,1392.54516602,2013-03-02,2013-03-05
None,Sandhausen,GER,2,1395.6015625,2013-03-06,2013-03-07
None,Sandhausen,GER,2,1390.75085449,2013-03-08,2013-03-08
None,Sandhausen,GER,2,1385.12011719,2013-03-09,2013-03-12
None,Sandhausen,GER,2,1379.4387207,2013-03-13,2013-03-13
None,Sandhausen,GER,2,1378.33215332,2013-03-14,2013-03-14
None,Sandhausen,GER,2,1376.09985352,2013-03-15,2013-03-17
None,Sandhausen,GER,2,1379.07507324,2013-03-18,2013-03-31
None,Sandhausen,GER,2,1383.0390625,2013-04-01,2013-04-02
None,Sandhausen,GER,2,1384.94042969,2013-04-03,2013-04-03
None,Sandhausen,GER,2,1385.06311035,2013-04-04,2013-04-07
None,Sandhausen,GER,2,1380.51574707,2013-04-08,2013-04-09
None,Sandhausen,GER,2,1382.3046875,2013-04-10,2013-04-10
None,Sandhausen,GER,2,1383.61743164,2013-04-11,2013-04-12
None,Sandhausen,GER,2,1376.48840332,2013-04-13,2013-04-21
None,Sandhausen,GER,2,1374.87231445,2013-04-22,2013-04-23
None,Sandhausen,GER,2,1381.8269043,2013-04-24,2013-04-24
None,Sandhausen,GER,2,1387.17492676,2013-04-25,2013-04-26
None,Sandhausen,GER,2,1379.80053711,2013-04-27,2013-04-30
None,Sandhausen,GER,2,1378.7578125,2013-05-01,2013-05-01
None,Sandhausen,GER,2,1382.1373291,2013-05-02,2013-05-04
None,Sandhausen,GER,2,1394.86120605,2013-05-05,2013-05-12
None,Sandhausen,GER,2,1387.05126953,2013-05-13,2013-05-19
None,Sandhausen,GER,2,1379.33410645,2013-05-20,2013-07-19
None,Sandhausen,GER,2,1380.33044434,2013-07-20,2013-07-27
None,Sandhausen,GER,2,1375.7824707,2013-07-28,2013-08-01
None,Sandhausen,GER,2,1375.57763672,2013-08-02,2013-08-08
None,Sandhausen,GER,2,1375.92358398,2013-08-09,2013-08-11
None,Sandhausen,GER,2,1378.07946777,2013-08-12,2013-08-17
None,Sandhausen,GER,2,1374.56115723,2013-08-18,2013-08-21
None,Sandhausen,GER,2,1373.1048584,2013-08-22,2013-08-22
None,Sandhausen,GER,2,1372.01464844,2013-08-23,2013-08-23
None,Sandhausen,GER,2,1372.49182129,2013-08-24,2013-08-27
None,Sandhausen,GER,2,1374.82775879,2013-08-28,2013-08-29
None,Sandhausen,GER,2,1368.25524902,2013-08-30,2013-08-30
None,Sandhausen,GER,2,1388.08984375,2013-08-31,2013-09-14
None,Sandhausen,GER,2,1398.92749023,2013-09-15,2013-09-17
None,Sandhausen,GER,2,1397.45153809,2013-09-18,2013-09-18
None,Sandhausen,GER,2,1395.74890137,2013-09-19,2013-09-19
None,Sandhausen,GER,2,1396.94006348,2013-09-20,2013-09-21
None,Sandhausen,GER,2,1391.78137207,2013-09-22,2013-09-29
None,Sandhausen,GER,2,1400.33740234,2013-09-30,2013-10-01
None,Sandhausen,GER,2,1404.1015625,2013-10-02,2013-10-02
None,Sandhausen,GER,2,1408.07250977,2013-10-03,2013-10-03
None,Sandhausen,GER,2,1408.5871582,2013-10-04,2013-10-04
None,Sandhausen,GER,2,1402.42333984,2013-10-05,2013-10-19
None,Sandhausen,GER,2,1401.66992188,2013-10-20,2013-10-22
None,Sandhausen,GER,2,1400.61804199,2013-10-23,2013-10-23
None,Sandhausen,GER,2,1404.43017578,2013-10-24,2013-10-24
None,Sandhausen,GER,2,1404.15258789,2013-10-25,2013-10-25
None,Sandhausen,GER,2,1409.45861816,2013-10-26,2013-11-03
None,Sandhausen,GER,2,1423.15441895,2013-11-04,2013-11-05
None,Sandhausen,GER,2,1423.30334473,2013-11-06,2013-11-06
None,Sandhausen,GER,2,1417.57727051,2013-11-07,2013-11-07
None,Sandhausen,GER,2,1412.19165039,2013-11-08,2013-11-10
None,Sandhausen,GER,2,1408.42004395,2013-11-11,2013-11-22
None,Sandhausen,GER,2,1417.24743652,2013-11-23,2013-11-26
None,Sandhausen,GER,2,1418.05932617,2013-11-27,2013-11-27
None,Sandhausen,GER,2,1412.71069336,2013-11-28,2013-11-28
None,Sandhausen,GER,2,1417.56152344,2013-11-29,2013-11-30
None,Sandhausen,GER,2,1432.60241699,2013-12-01,2013-12-08
None,Sandhausen,GER,2,1424.65380859,2013-12-09,2013-12-10
None,Sandhausen,GER,2,1422.60314941,2013-12-11,2013-12-11
None,Sandhausen,GER,2,1425.6463623,2013-12-12,2013-12-12
None,Sandhausen,GER,2,1423.81140137,2013-12-13,2013-12-13
None,Sandhausen,GER,2,1426.43493652,2013-12-14,2013-12-20
None,Sandhausen,GER,2,1433.53015137,2013-12-21,2014-02-07
None,Sandhausen,GER,2,1442.44360352,2014-02-08,2014-02-16
None,Sandhausen,GER,2,1437.53857422,2014-02-17,2014-02-18
None,Sandhausen,GER,2,1430.9329834,2014-02-19,2014-02-19
None,Sandhausen,GER,2,1432.47888184,2014-02-20,2014-02-20
None,Sandhausen,GER,2,1434.20068359,2014-02-21,2014-02-22
None,Sandhausen,GER,2,1428.60229492,2014-02-23,2014-02-25
None,Sandhausen,GER,2,1431.08972168,2014-02-26,2014-02-26
None,Sandhausen,GER,2,1429.41137695,2014-02-27,2014-02-27
None,Sandhausen,GER,2,1426.02392578,2014-02-28,2014-03-01
None,Sandhausen,GER,2,1426.69873047,2014-03-02,2014-03-07
None,Sandhausen,GER,2,1422.46606445,2014-03-08,2014-03-11
None,Sandhausen,GER,2,1422.20471191,2014-03-12,2014-03-12
None,Sandhausen,GER,2,1422.2767334,2014-03-13,2014-03-16
None,Sandhausen,GER,2,1428.52783203,2014-03-17,2014-03-18
None,Sandhausen,GER,2,1428.47924805,2014-03-19,2014-03-19
None,Sandhausen,GER,2,1427.56359863,2014-03-20,2014-03-21
None,Sandhausen,GER,2,1437.4979248,2014-03-22,2014-03-25
None,Sandhausen,GER,2,1446.46154785,2014-03-26,2014-03-28
