Rank,Club,Country,Level,Elo,From,To
None,Sassuolo,ITA,2,1429.55773926,2008-07-01,2008-08-12
None,Sassuolo,ITA,2,1431.23571777,2008-08-13,2008-08-13
None,Sassuolo,ITA,2,1431.7355957,2008-08-14,2008-08-14
None,Sassuolo,ITA,2,1431.90637207,2008-08-15,2008-08-26
None,Sassuolo,ITA,2,1431.92883301,2008-08-27,2008-08-27
None,Sassuolo,ITA,2,1432.09472656,2008-08-28,2008-08-28
None,Sassuolo,ITA,2,1432.18603516,2008-08-29,2008-08-30
None,Sassuolo,ITA,2,1426.11608887,2008-08-31,2008-09-13
None,Sassuolo,ITA,2,1441.59436035,2008-09-14,2008-09-16
None,Sassuolo,ITA,2,1448.90405273,2008-09-17,2008-09-17
None,Sassuolo,ITA,2,1451.48498535,2008-09-18,2008-09-18
None,Sassuolo,ITA,2,1457.97680664,2008-09-19,2008-09-20
None,Sassuolo,ITA,2,1460.8137207,2008-09-21,2008-09-23
None,Sassuolo,ITA,2,1469.22143555,2008-09-24,2008-09-27
None,Sassuolo,ITA,2,1481.8840332,2008-09-28,2008-09-30
None,Sassuolo,ITA,2,1477.2701416,2008-10-01,2008-10-01
None,Sassuolo,ITA,2,1479.40393066,2008-10-02,2008-10-02
None,Sassuolo,ITA,2,1470.15478516,2008-10-03,2008-10-04
None,Sassuolo,ITA,2,1478.0793457,2008-10-05,2008-10-18
None,Sassuolo,ITA,2,1468.48547363,2008-10-19,2008-10-21
None,Sassuolo,ITA,2,1488.52563477,2008-10-22,2008-10-22
None,Sassuolo,ITA,2,1488.18786621,2008-10-23,2008-10-23
None,Sassuolo,ITA,2,1495.79199219,2008-10-24,2008-10-25
None,Sassuolo,ITA,2,1490.0378418,2008-10-26,2008-10-28
None,Sassuolo,ITA,2,1473.97668457,2008-10-29,2008-11-01
None,Sassuolo,ITA,2,1473.85314941,2008-11-02,2008-11-04
None,Sassuolo,ITA,2,1477.11254883,2008-11-05,2008-11-05
None,Sassuolo,ITA,2,1482.51647949,2008-11-06,2008-11-06
None,Sassuolo,ITA,2,1485.80566406,2008-11-07,2008-11-08
None,Sassuolo,ITA,2,1492.56811523,2008-11-09,2008-11-15
None,Sassuolo,ITA,2,1494.67114258,2008-11-16,2008-11-24
None,Sassuolo,ITA,2,1502.76220703,2008-11-25,2008-11-25
None,Sassuolo,ITA,2,1498.99829102,2008-11-26,2008-11-26
None,Sassuolo,ITA,2,1495.56384277,2008-11-27,2008-11-27
None,Sassuolo,ITA,2,1494.09020996,2008-11-28,2008-11-29
None,Sassuolo,ITA,2,1496.37548828,2008-11-30,2008-12-03
None,Sassuolo,ITA,2,1493.17785645,2008-12-04,2008-12-06
None,Sassuolo,ITA,2,1495.01818848,2008-12-07,2008-12-09
None,Sassuolo,ITA,2,1493.48278809,2008-12-10,2008-12-10
None,Sassuolo,ITA,2,1492.31665039,2008-12-11,2008-12-15
None,Sassuolo,ITA,2,1497.2142334,2008-12-16,2008-12-17
None,Sassuolo,ITA,2,1495.62011719,2008-12-18,2008-12-18
None,Sassuolo,ITA,2,1494.8873291,2008-12-19,2008-12-20
None,Sassuolo,ITA,2,1490.74975586,2008-12-21,2009-01-17
None,Sassuolo,ITA,2,1495.81469727,2009-01-18,2009-01-24
None,Sassuolo,ITA,2,1499.88049316,2009-01-25,2009-01-27
None,Sassuolo,ITA,2,1499.27648926,2009-01-28,2009-01-31
None,Sassuolo,ITA,2,1500.86083984,2009-02-01,2009-02-07
None,Sassuolo,ITA,2,1510.96252441,2009-02-08,2009-02-13
None,Sassuolo,ITA,2,1507.8079834,2009-02-14,2009-02-17
None,Sassuolo,ITA,2,1501.56689453,2009-02-18,2009-02-18
None,Sassuolo,ITA,2,1498.84570312,2009-02-19,2009-02-19
None,Sassuolo,ITA,2,1495.61999512,2009-02-20,2009-02-21
None,Sassuolo,ITA,2,1501.81945801,2009-02-22,2009-02-24
None,Sassuolo,ITA,2,1500.23193359,2009-02-25,2009-02-25
None,Sassuolo,ITA,2,1499.04455566,2009-02-26,2009-02-26
None,Sassuolo,ITA,2,1490.78393555,2009-02-27,2009-02-28
None,Sassuolo,ITA,2,1499.37084961,2009-03-01,2009-03-08
None,Sassuolo,ITA,2,1486.55847168,2009-03-09,2009-03-10
None,Sassuolo,ITA,2,1485.43286133,2009-03-11,2009-03-11
None,Sassuolo,ITA,2,1484.68908691,2009-03-12,2009-03-12
None,Sassuolo,ITA,2,1488.77001953,2009-03-13,2009-03-14
None,Sassuolo,ITA,2,1489.72485352,2009-03-15,2009-03-17
None,Sassuolo,ITA,2,1486.67541504,2009-03-18,2009-03-19
None,Sassuolo,ITA,2,1487.06640625,2009-03-20,2009-03-21
None,Sassuolo,ITA,2,1480.82434082,2009-03-22,2009-04-04
None,Sassuolo,ITA,2,1482.10693359,2009-04-05,2009-04-09
None,Sassuolo,ITA,2,1479.92626953,2009-04-10,2009-04-14
None,Sassuolo,ITA,2,1475.36633301,2009-04-15,2009-04-16
None,Sassuolo,ITA,2,1474.38098145,2009-04-17,2009-04-18
None,Sassuolo,ITA,2,1463.87939453,2009-04-19,2009-04-21
None,Sassuolo,ITA,2,1470.0637207,2009-04-22,2009-04-25
None,Sassuolo,ITA,2,1477.15197754,2009-04-26,2009-05-02
None,Sassuolo,ITA,2,1473.78442383,2009-05-03,2009-05-09
None,Sassuolo,ITA,2,1465.58227539,2009-05-10,2009-05-16
None,Sassuolo,ITA,2,1457.45178223,2009-05-17,2009-05-23
None,Sassuolo,ITA,2,1450.71618652,2009-05-24,2009-05-30
None,Sassuolo,ITA,2,1453.11535645,2009-05-31,2009-07-30
None,Sassuolo,ITA,2,1453.71057129,2009-07-31,2009-08-06
None,Sassuolo,ITA,2,1454.9453125,2009-08-07,2009-08-18
None,Sassuolo,ITA,2,1456.41577148,2009-08-19,2009-08-20
None,Sassuolo,ITA,2,1461.58703613,2009-08-21,2009-08-21
None,Sassuolo,ITA,2,1468.06726074,2009-08-22,2009-08-26
None,Sassuolo,ITA,2,1468.96325684,2009-08-27,2009-08-27
None,Sassuolo,ITA,2,1470.08459473,2009-08-28,2009-08-29
None,Sassuolo,ITA,2,1471.96887207,2009-08-30,2009-09-12
None,Sassuolo,ITA,2,1471.96435547,2009-09-13,2009-09-15
None,Sassuolo,ITA,2,1480.64221191,2009-09-16,2009-09-16
None,Sassuolo,ITA,2,1479.13818359,2009-09-17,2009-09-17
None,Sassuolo,ITA,2,1470.14526367,2009-09-18,2009-09-19
