Rank,Club,Country,Level,Elo,From,To
None,Setubal,POR,1,1284.29052734,1940-01-14,1940-01-14
None,Setubal,POR,1,1278.44909668,1940-01-15,1940-01-28
None,Setubal,POR,1,1263.66931152,1940-01-29,1940-02-04
None,Setubal,POR,1,1257.66931152,1940-02-05,1940-02-06
None,Setubal,POR,1,1250.06506348,1940-02-07,1940-02-11
None,Setubal,POR,1,1246.33886719,1940-02-12,1940-02-18
None,Setubal,POR,1,1238.0670166,1940-02-19,1940-02-25
None,Setubal,POR,1,1233.6385498,1940-02-26,1940-03-03
None,Setubal,POR,1,1231.41235352,1940-03-04,1940-03-10
None,Setubal,POR,1,1224.17736816,1940-03-11,1940-03-17
None,Setubal,POR,1,1218.77368164,1940-03-18,1940-03-24
None,Setubal,POR,1,1213.37841797,1940-03-25,1940-03-31
None,Setubal,POR,1,1217.54589844,1940-04-01,1940-04-07
None,Setubal,POR,1,1214.00415039,1940-04-08,1940-04-14
None,Setubal,POR,1,1223.64160156,1940-04-15,1940-04-21
None,Setubal,POR,1,1219.48278809,1940-04-22,1940-04-28
None,Setubal,POR,1,1215.10595703,1940-04-29,1940-05-05
None,Setubal,POR,1,1217.96887207,1940-05-06,1940-05-12
None,Setubal,POR,1,1211.60437012,1940-05-13,1940-05-19
None,Setubal,POR,1,1207.35925293,1940-05-20,1940-07-06
None,Setubal,POR,1,1272.39123535,1943-09-05,1943-11-28
None,Setubal,POR,1,1277.63232422,1943-11-29,1943-12-05
None,Setubal,POR,1,1272.85070801,1943-12-06,1943-12-12
None,Setubal,POR,1,1272.21520996,1943-12-13,1943-12-19
None,Setubal,POR,1,1263.42028809,1943-12-20,1943-12-26
None,Setubal,POR,1,1253.69177246,1943-12-27,1944-01-02
None,Setubal,POR,1,1267.39575195,1944-01-03,1944-01-09
None,Setubal,POR,1,1262.93151855,1944-01-10,1944-01-16
None,Setubal,POR,1,1270.5222168,1944-01-17,1944-01-23
None,Setubal,POR,1,1274.53735352,1944-01-24,1944-01-30
None,Setubal,POR,1,1273.3626709,1944-01-31,1944-02-06
None,Setubal,POR,1,1272.15075684,1944-02-07,1944-02-13
None,Setubal,POR,1,1269.58569336,1944-02-14,1944-02-20
None,Setubal,POR,1,1266.69018555,1944-02-21,1944-02-27
None,Setubal,POR,1,1267.05651855,1944-02-28,1944-03-05
None,Setubal,POR,1,1280.88989258,1944-03-06,1944-03-12
None,Setubal,POR,1,1297.03613281,1944-03-13,1944-03-19
None,Setubal,POR,1,1321.94189453,1944-03-20,1944-03-26
None,Setubal,POR,1,1332.16247559,1944-03-27,1944-11-26
None,Setubal,POR,1,1354.33398438,1944-11-27,1944-12-03
None,Setubal,POR,1,1351.69677734,1944-12-04,1944-12-10
None,Setubal,POR,1,1341.6463623,1944-12-11,1944-12-17
None,Setubal,POR,1,1344.92028809,1944-12-18,1944-12-24
None,Setubal,POR,1,1352.78881836,1944-12-25,1944-12-31
None,Setubal,POR,1,1357.9197998,1945-01-01,1945-01-07
None,Setubal,POR,1,1347.66906738,1945-01-08,1945-01-14
None,Setubal,POR,1,1351.03686523,1945-01-15,1945-01-21
None,Setubal,POR,1,1343.39929199,1945-01-22,1945-01-28
None,Setubal,POR,1,1341.67199707,1945-01-29,1945-02-04
None,Setubal,POR,1,1335.95898438,1945-02-05,1945-02-11
None,Setubal,POR,1,1341.6986084,1945-02-12,1945-02-18
None,Setubal,POR,1,1349.38293457,1945-02-19,1945-02-25
None,Setubal,POR,1,1353.2557373,1945-02-26,1945-03-18
None,Setubal,POR,1,1362.80651855,1945-03-19,1945-03-25
None,Setubal,POR,1,1360.42260742,1945-03-26,1945-04-01
None,Setubal,POR,1,1367.40930176,1945-04-02,1945-04-08
None,Setubal,POR,1,1362.09423828,1945-04-09,1945-05-10
None,Setubal,POR,1,1359.09423828,1945-05-11,1945-05-27
None,Setubal,POR,1,1354.09423828,1945-05-28,1945-12-09
None,Setubal,POR,1,1362.13000488,1945-12-10,1945-12-16
None,Setubal,POR,1,1347.26477051,1945-12-17,1945-12-23
None,Setubal,POR,1,1342.16479492,1945-12-24,1945-12-30
None,Setubal,POR,1,1351.57189941,1945-12-31,1946-01-06
None,Setubal,POR,1,1367.52758789,1946-01-07,1946-01-13
None,Setubal,POR,1,1357.95324707,1946-01-14,1946-01-20
None,Setubal,POR,1,1345.94348145,1946-01-21,1946-01-27
None,Setubal,POR,1,1350.38293457,1946-01-28,1946-02-03
None,Setubal,POR,1,1342.57641602,1946-02-04,1946-02-10
None,Setubal,POR,1,1353.4979248,1946-02-11,1946-02-24
None,Setubal,POR,1,1359.22302246,1946-02-25,1946-03-03
None,Setubal,POR,1,1352.31298828,1946-03-04,1946-03-10
None,Setubal,POR,1,1357.5703125,1946-03-11,1946-03-17
None,Setubal,POR,1,1364.34765625,1946-03-18,1946-03-31
None,Setubal,POR,1,1352.44897461,1946-04-01,1946-04-07
None,Setubal,POR,1,1341.02941895,1946-04-08,1946-04-16
None,Setubal,POR,1,1348.02941895,1946-04-17,1946-04-21
None,Setubal,POR,1,1346.77954102,1946-04-22,1946-04-28
None,Setubal,POR,1,1352.94165039,1946-04-29,1946-05-05
None,Setubal,POR,1,1341.73425293,1946-05-06,1946-05-12
None,Setubal,POR,1,1345.8404541,1946-05-13,1946-05-19
None,Setubal,POR,1,1332.87976074,1946-05-20,1946-05-26
None,Setubal,POR,1,1325.95532227,1946-05-27,1946-06-23
None,Setubal,POR,1,1336.95532227,1946-06-24,1946-11-24
None,Setubal,POR,1,1338.70898438,1946-11-25,1946-12-01
None,Setubal,POR,1,1348.62011719,1946-12-02,1946-12-08
