Rank,Club,Country,Level,Elo,From,To
None,Siena,ITA,2,1465.5333252,2000-07-02,2000-08-09
None,Siena,ITA,2,1464.97216797,2000-08-10,2000-08-22
None,Siena,ITA,2,1466.8572998,2000-08-23,2000-08-23
None,Siena,ITA,2,1460.40551758,2000-08-24,2000-09-03
None,Siena,ITA,2,1470.62854004,2000-09-04,2000-09-10
None,Siena,ITA,2,1476.37036133,2000-09-11,2000-09-12
None,Siena,ITA,2,1479.04956055,2000-09-13,2000-09-13
None,Siena,ITA,2,1480.24780273,2000-09-14,2000-09-14
None,Siena,ITA,2,1479.39672852,2000-09-15,2000-09-17
None,Siena,ITA,2,1488.94775391,2000-09-18,2000-09-19
None,Siena,ITA,2,1487.4473877,2000-09-20,2000-09-20
None,Siena,ITA,2,1489.00842285,2000-09-21,2000-09-26
None,Siena,ITA,2,1494.3972168,2000-09-27,2000-09-27
None,Siena,ITA,2,1505.52880859,2000-09-28,2000-09-28
None,Siena,ITA,2,1499.81311035,2000-09-29,2000-10-01
None,Siena,ITA,2,1497.58898926,2000-10-02,2000-10-08
None,Siena,ITA,2,1491.15063477,2000-10-09,2000-10-17
None,Siena,ITA,2,1489.81286621,2000-10-18,2000-10-18
None,Siena,ITA,2,1490.07885742,2000-10-19,2000-10-20
None,Siena,ITA,2,1487.79589844,2000-10-21,2000-10-24
None,Siena,ITA,2,1483.96435547,2000-10-25,2000-10-25
None,Siena,ITA,2,1484.73669434,2000-10-26,2000-10-26
None,Siena,ITA,2,1485.69543457,2000-10-27,2000-10-29
None,Siena,ITA,2,1479.76611328,2000-10-30,2000-11-01
None,Siena,ITA,2,1469.39306641,2000-11-02,2000-11-05
None,Siena,ITA,2,1475.2857666,2000-11-06,2000-11-07
None,Siena,ITA,2,1477.86352539,2000-11-08,2000-11-08
None,Siena,ITA,2,1472.61608887,2000-11-09,2000-11-09
None,Siena,ITA,2,1465.32873535,2000-11-10,2000-11-12
None,Siena,ITA,2,1476.36901855,2000-11-13,2000-11-17
None,Siena,ITA,2,1470.79309082,2000-11-18,2000-11-21
None,Siena,ITA,2,1469.7286377,2000-11-22,2000-11-22
None,Siena,ITA,2,1467.0513916,2000-11-23,2000-11-23
None,Siena,ITA,2,1464.80444336,2000-11-24,2000-11-26
None,Siena,ITA,2,1472.6373291,2000-11-27,2000-12-03
None,Siena,ITA,2,1478.7557373,2000-12-04,2000-12-05
None,Siena,ITA,2,1479.56518555,2000-12-06,2000-12-06
None,Siena,ITA,2,1483.78845215,2000-12-07,2000-12-07
None,Siena,ITA,2,1489.29467773,2000-12-08,2000-12-10
None,Siena,ITA,2,1492.34216309,2000-12-11,2000-12-17
None,Siena,ITA,2,1497.64880371,2000-12-18,2000-12-23
