Rank,Club,Country,Level,Elo,From,To
None,Tondela,POR,1,1399.60656738,2015-07-01,2015-07-30
None,Tondela,POR,1,1399.37353516,2015-07-31,2015-08-06
None,Tondela,POR,1,1392.28295898,2015-08-07,2015-08-14
None,Tondela,POR,1,1389.56945801,2015-08-15,2015-08-18
None,Tondela,POR,1,1391.29785156,2015-08-19,2015-08-20
None,Tondela,POR,1,1394.34375,2015-08-21,2015-08-23
None,Tondela,POR,1,1388.14929199,2015-08-24,2015-08-26
None,Tondela,POR,1,1383.29931641,2015-08-27,2015-08-27
None,Tondela,POR,1,1383.7322998,2015-08-28,2015-08-30
None,Tondela,POR,1,1393.875,2015-08-31,2015-09-13
None,Tondela,POR,1,1389.8380127,2015-09-14,2015-09-15
None,Tondela,POR,1,1390.19506836,2015-09-16,2015-09-16
None,Tondela,POR,1,1390.49316406,2015-09-17,2015-09-17
None,Tondela,POR,1,1387.71618652,2015-09-18,2015-09-19
None,Tondela,POR,1,1381.0201416,2015-09-20,2015-09-27
None,Tondela,POR,1,1377.47875977,2015-09-28,2015-09-29
None,Tondela,POR,1,1380.01855469,2015-09-30,2015-09-30
None,Tondela,POR,1,1385.2644043,2015-10-01,2015-10-01
None,Tondela,POR,1,1383.97558594,2015-10-02,2015-10-03
None,Tondela,POR,1,1382.88842773,2015-10-04,2015-10-20
None,Tondela,POR,1,1383.57397461,2015-10-21,2015-10-21
None,Tondela,POR,1,1379.29345703,2015-10-22,2015-10-22
None,Tondela,POR,1,1388.0435791,2015-10-23,2015-10-25
None,Tondela,POR,1,1391.26733398,2015-10-26,2015-10-30
None,Tondela,POR,1,1388.03210449,2015-10-31,2015-11-03
None,Tondela,POR,1,1389.19506836,2015-11-04,2015-11-04
None,Tondela,POR,1,1390.62304688,2015-11-05,2015-11-05
None,Tondela,POR,1,1374.83740234,2015-11-06,2015-11-09
None,Tondela,POR,1,1370.86364746,2015-11-10,2015-11-24
None,Tondela,POR,1,1364.57421875,2015-11-25,2015-11-25
None,Tondela,POR,1,1361.98144531,2015-11-26,2015-11-26
None,Tondela,POR,1,1367.14367676,2015-11-27,2015-11-28
None,Tondela,POR,1,1365.7253418,2015-11-29,2015-12-06
None,Tondela,POR,1,1357.04125977,2015-12-07,2015-12-08
None,Tondela,POR,1,1354.58813477,2015-12-09,2015-12-09
None,Tondela,POR,1,1351.22021484,2015-12-10,2015-12-10
None,Tondela,POR,1,1352.48034668,2015-12-11,2015-12-13
None,Tondela,POR,1,1348.41064453,2015-12-14,2015-12-20
None,Tondela,POR,1,1337.98254395,2015-12-21,2016-01-03
None,Tondela,POR,1,1351.27819824,2016-01-04,2016-01-06
None,Tondela,POR,1,1342.21142578,2016-01-07,2016-01-10
None,Tondela,POR,1,1336.92358398,2016-01-11,2016-01-15
None,Tondela,POR,1,1345.53601074,2016-01-16,2016-01-25
None,Tondela,POR,1,1336.23693848,2016-01-26,2016-01-31
None,Tondela,POR,1,1330.99536133,2016-02-01,2016-02-06
None,Tondela,POR,1,1334.13183594,2016-02-07,2016-02-14
None,Tondela,POR,1,1330.60144043,2016-02-15,2016-02-16
None,Tondela,POR,1,1332.22314453,2016-02-17,2016-02-18
None,Tondela,POR,1,1329.15344238,2016-02-19,2016-02-21
None,Tondela,POR,1,1322.65283203,2016-02-22,2016-02-24
None,Tondela,POR,1,1322.59240723,2016-02-25,2016-02-25
None,Tondela,POR,1,1318.62231445,2016-02-26,2016-02-28
None,Tondela,POR,1,1330.37792969,2016-02-29,2016-03-06
None,Tondela,POR,1,1324.15991211,2016-03-07,2016-03-09
None,Tondela,POR,1,1327.08984375,2016-03-10,2016-03-10
None,Tondela,POR,1,1325.49865723,2016-03-11,2016-03-14
None,Tondela,POR,1,1324.65161133,2016-03-15,2016-03-17
