Rank,Club,Country,Level,Elo,From,To
None,Toulouse,FRA,1,1197.45983887,1946-07-07,1946-08-18
None,Toulouse,FRA,1,1218.00158691,1946-08-19,1946-08-25
None,Toulouse,FRA,1,1225.36584473,1946-08-26,1946-09-01
None,Toulouse,FRA,1,1224.45092773,1946-09-02,1946-09-08
None,Toulouse,FRA,1,1234.12097168,1946-09-09,1946-09-12
None,Toulouse,FRA,1,1226.79626465,1946-09-13,1946-09-15
None,Toulouse,FRA,1,1220.05761719,1946-09-16,1946-09-22
None,Toulouse,FRA,1,1217.50085449,1946-09-23,1946-09-26
None,Toulouse,FRA,1,1207.66015625,1946-09-27,1946-09-29
None,Toulouse,FRA,1,1203.31860352,1946-09-30,1946-10-06
None,Toulouse,FRA,1,1199.34265137,1946-10-07,1946-10-13
None,Toulouse,FRA,1,1205.26806641,1946-10-14,1946-10-17
None,Toulouse,FRA,1,1200.50817871,1946-10-18,1946-10-20
None,Toulouse,FRA,1,1206.01782227,1946-10-21,1946-10-27
None,Toulouse,FRA,1,1220.99023438,1946-10-28,1946-11-03
None,Toulouse,FRA,1,1218.41259766,1946-11-04,1946-11-10
None,Toulouse,FRA,1,1211.22131348,1946-11-11,1946-11-17
None,Toulouse,FRA,1,1207.57897949,1946-11-18,1946-11-24
None,Toulouse,FRA,1,1222.07043457,1946-11-25,1946-12-01
None,Toulouse,FRA,1,1249.6307373,1946-12-02,1946-12-08
None,Toulouse,FRA,1,1247.04260254,1946-12-09,1946-12-22
None,Toulouse,FRA,1,1229.6307373,1946-12-23,1946-12-29
None,Toulouse,FRA,1,1226.73901367,1946-12-30,1947-01-12
None,Toulouse,FRA,1,1243.00292969,1947-01-13,1947-01-19
None,Toulouse,FRA,1,1253.59106445,1947-01-20,1947-01-26
None,Toulouse,FRA,1,1247.38427734,1947-01-27,1947-02-09
None,Toulouse,FRA,1,1253.35131836,1947-02-10,1947-02-16
None,Toulouse,FRA,1,1274.5357666,1947-02-17,1947-02-23
None,Toulouse,FRA,1,1294.14941406,1947-02-24,1947-03-09
None,Toulouse,FRA,1,1300.46691895,1947-03-10,1947-03-18
None,Toulouse,FRA,1,1294.79321289,1947-03-19,1947-03-20
None,Toulouse,FRA,1,1298.72143555,1947-03-21,1947-03-26
None,Toulouse,FRA,1,1314.20727539,1947-03-27,1947-04-03
None,Toulouse,FRA,1,1306.33874512,1947-04-04,1947-04-06
None,Toulouse,FRA,1,1303.77587891,1947-04-07,1947-04-17
None,Toulouse,FRA,1,1310.5,1947-04-18,1947-04-20
None,Toulouse,FRA,1,1291.39208984,1947-04-21,1947-05-04
None,Toulouse,FRA,1,1287.39208984,1947-05-05,1947-05-08
None,Toulouse,FRA,1,1279.61352539,1947-05-09,1947-05-15
None,Toulouse,FRA,1,1279.55151367,1947-05-16,1947-05-27
None,Toulouse,FRA,1,1291.55151367,1947-05-28,1947-06-04
None,Toulouse,FRA,1,1296.55151367,1947-06-05,1947-06-11
None,Toulouse,FRA,1,1310.55151367,1947-06-12,1947-08-24
None,Toulouse,FRA,1,1307.80212402,1947-08-25,1947-08-31
None,Toulouse,FRA,1,1320.86560059,1947-09-01,1947-09-07
None,Toulouse,FRA,1,1318.50317383,1947-09-08,1947-09-14
None,Toulouse,FRA,1,1332.84765625,1947-09-15,1947-09-18
None,Toulouse,FRA,1,1322.08935547,1947-09-19,1947-09-21
None,Toulouse,FRA,1,1333.7010498,1947-09-22,1947-09-28
None,Toulouse,FRA,1,1320.16711426,1947-09-29,1947-10-05
None,Toulouse,FRA,1,1316.06506348,1947-10-06,1947-10-12
None,Toulouse,FRA,1,1306.51184082,1947-10-13,1947-10-26
None,Toulouse,FRA,1,1300.98010254,1947-10-27,1947-11-02
None,Toulouse,FRA,1,1305.26123047,1947-11-03,1947-11-09
None,Toulouse,FRA,1,1300.87597656,1947-11-10,1947-11-16
None,Toulouse,FRA,1,1311.00976562,1947-11-17,1947-11-29
None,Toulouse,FRA,1,1329.00976562,1947-11-30,1947-11-30
None,Toulouse,FRA,1,1320.28625488,1947-12-01,1947-12-07
None,Toulouse,FRA,1,1326.27624512,1947-12-08,1947-12-21
None,Toulouse,FRA,1,1318.40380859,1947-12-22,1947-12-25
None,Toulouse,FRA,1,1322.14489746,1947-12-26,1947-12-28
None,Toulouse,FRA,1,1335.1496582,1947-12-29,1948-01-11
None,Toulouse,FRA,1,1331.78588867,1948-01-12,1948-01-18
None,Toulouse,FRA,1,1327.16967773,1948-01-19,1948-01-25
None,Toulouse,FRA,1,1334.0020752,1948-01-26,1948-02-08
None,Toulouse,FRA,1,1321.98962402,1948-02-09,1948-02-15
None,Toulouse,FRA,1,1318.69360352,1948-02-16,1948-02-22
None,Toulouse,FRA,1,1323.2878418,1948-02-23,1948-03-04
None,Toulouse,FRA,1,1320.09680176,1948-03-05,1948-03-07
None,Toulouse,FRA,1,1314.83044434,1948-03-08,1948-03-14
None,Toulouse,FRA,1,1321.36755371,1948-03-15,1948-03-26
None,Toulouse,FRA,1,1325.46716309,1948-03-27,1948-03-28
None,Toulouse,FRA,1,1332.78125,1948-03-29,1948-04-05
None,Toulouse,FRA,1,1326.78125,1948-04-06,1948-04-11
None,Toulouse,FRA,1,1345.42810059,1948-04-12,1948-04-25
None,Toulouse,FRA,1,1335.71362305,1948-04-26,1948-05-02
None,Toulouse,FRA,1,1331.87658691,1948-05-03,1948-05-16
None,Toulouse,FRA,1,1327.87683105,1948-05-17,1948-05-26
None,Toulouse,FRA,1,1342.87683105,1948-05-27,1948-05-30
None,Toulouse,FRA,1,1353.08605957,1948-05-31,1948-06-13
None,Toulouse,FRA,1,1359.08605957,1948-06-14,1948-08-22
None,Toulouse,FRA,1,1352.18457031,1948-08-23,1948-08-29
None,Toulouse,FRA,1,1358.96557617,1948-08-30,1948-09-04
