Rank,Club,Country,Level,Elo,From,To
None,Tours,FRA,1,1412.29650879,1980-07-01,1980-07-24
None,Tours,FRA,1,1418.50708008,1980-07-25,1980-07-29
None,Tours,FRA,1,1417.27294922,1980-07-30,1980-08-05
None,Tours,FRA,1,1415.72595215,1980-08-06,1980-08-12
None,Tours,FRA,1,1415.04199219,1980-08-13,1980-08-19
None,Tours,FRA,1,1421.55859375,1980-08-20,1980-08-22
None,Tours,FRA,1,1419.59191895,1980-08-23,1980-08-26
None,Tours,FRA,1,1427.13293457,1980-08-27,1980-08-29
None,Tours,FRA,1,1433.51574707,1980-08-30,1980-09-09
None,Tours,FRA,1,1453.72436523,1980-09-10,1980-09-12
None,Tours,FRA,1,1451.43395996,1980-09-13,1980-09-16
None,Tours,FRA,1,1451.49658203,1980-09-17,1980-09-17
None,Tours,FRA,1,1452.52355957,1980-09-18,1980-09-23
None,Tours,FRA,1,1465.42590332,1980-09-24,1980-09-26
None,Tours,FRA,1,1460.80566406,1980-09-27,1980-10-01
None,Tours,FRA,1,1460.06518555,1980-10-02,1980-10-03
None,Tours,FRA,1,1455.66943359,1980-10-04,1980-10-14
None,Tours,FRA,1,1443.26037598,1980-10-15,1980-10-17
None,Tours,FRA,1,1438.57983398,1980-10-18,1980-10-22
None,Tours,FRA,1,1423.50549316,1980-10-23,1980-10-31
None,Tours,FRA,1,1413.89123535,1980-11-01,1980-11-05
None,Tours,FRA,1,1425.67053223,1980-11-06,1980-11-07
None,Tours,FRA,1,1433.49804688,1980-11-08,1980-11-12
None,Tours,FRA,1,1430.88330078,1980-11-13,1980-11-22
None,Tours,FRA,1,1447.28442383,1980-11-23,1980-11-26
None,Tours,FRA,1,1474.15979004,1980-11-27,1980-11-28
None,Tours,FRA,1,1466.79541016,1980-11-29,1980-12-05
None,Tours,FRA,1,1461.42443848,1980-12-06,1980-12-10
None,Tours,FRA,1,1470.15820312,1980-12-11,1980-12-13
None,Tours,FRA,1,1465.77294922,1980-12-14,1980-12-20
None,Tours,FRA,1,1462.18737793,1980-12-21,1981-01-24
None,Tours,FRA,1,1468.01879883,1981-01-25,1981-01-30
None,Tours,FRA,1,1460.82788086,1981-01-31,1981-02-06
None,Tours,FRA,1,1466.59509277,1981-02-07,1981-02-21
None,Tours,FRA,1,1473.25854492,1981-02-22,1981-02-27
None,Tours,FRA,1,1487.29736328,1981-02-28,1981-03-04
None,Tours,FRA,1,1480.83837891,1981-03-05,1981-03-14
None,Tours,FRA,1,1477.76660156,1981-03-15,1981-03-18
None,Tours,FRA,1,1479.87963867,1981-03-19,1981-03-28
None,Tours,FRA,1,1483.59509277,1981-03-29,1981-04-07
None,Tours,FRA,1,1482.7265625,1981-04-08,1981-04-08
None,Tours,FRA,1,1481.4128418,1981-04-09,1981-04-15
None,Tours,FRA,1,1477.38623047,1981-04-16,1981-04-21
None,Tours,FRA,1,1458.28967285,1981-04-22,1981-04-22
None,Tours,FRA,1,1457.8190918,1981-04-23,1981-05-05
None,Tours,FRA,1,1463.66162109,1981-05-06,1981-05-12
None,Tours,FRA,1,1457.50244141,1981-05-13,1981-05-22
None,Tours,FRA,1,1471.46606445,1981-05-23,1981-05-29
None,Tours,FRA,1,1465.43383789,1981-05-30,1981-06-02
None,Tours,FRA,1,1460.50061035,1981-06-03,1981-07-24
None,Tours,FRA,1,1453.57861328,1981-07-25,1981-07-28
None,Tours,FRA,1,1448.65917969,1981-07-29,1981-08-04
None,Tours,FRA,1,1454.90393066,1981-08-05,1981-08-07
None,Tours,FRA,1,1452.51049805,1981-08-08,1981-08-11
None,Tours,FRA,1,1456.31994629,1981-08-12,1981-08-21
None,Tours,FRA,1,1453.15197754,1981-08-22,1981-08-25
None,Tours,FRA,1,1448.80114746,1981-08-26,1981-08-28
None,Tours,FRA,1,1454.95324707,1981-08-29,1981-09-01
None,Tours,FRA,1,1462.56518555,1981-09-02,1981-09-11
None,Tours,FRA,1,1469.9744873,1981-09-12,1981-09-16
None,Tours,FRA,1,1450.26208496,1981-09-17,1981-09-22
None,Tours,FRA,1,1448.51062012,1981-09-23,1981-09-25
None,Tours,FRA,1,1452.13391113,1981-09-26,1981-09-29
None,Tours,FRA,1,1446.99511719,1981-09-30,1981-09-30
None,Tours,FRA,1,1452.1192627,1981-10-01,1981-10-02
None,Tours,FRA,1,1447.21740723,1981-10-03,1981-10-06
None,Tours,FRA,1,1459.56726074,1981-10-07,1981-10-16
None,Tours,FRA,1,1456.13525391,1981-10-17,1981-10-21
None,Tours,FRA,1,1455.58764648,1981-10-22,1981-10-27
None,Tours,FRA,1,1461.2064209,1981-10-28,1981-10-30
None,Tours,FRA,1,1467.86462402,1981-10-31,1981-11-04
None,Tours,FRA,1,1463.94287109,1981-11-05,1981-11-06
None,Tours,FRA,1,1461.42797852,1981-11-07,1981-11-10
None,Tours,FRA,1,1456.55187988,1981-11-11,1981-11-21
None,Tours,FRA,1,1452.94250488,1981-11-22,1981-11-28
None,Tours,FRA,1,1463.83850098,1981-11-29,1981-12-12
None,Tours,FRA,1,1457.67907715,1981-12-13,1981-12-19
None,Tours,FRA,1,1467.61010742,1981-12-20,1982-01-16
None,Tours,FRA,1,1464.82653809,1982-01-17,1982-01-23
None,Tours,FRA,1,1463.05371094,1982-01-24,1982-01-30
None,Tours,FRA,1,1467.34216309,1982-01-31,1982-02-06
None,Tours,FRA,1,1471.0402832,1982-02-07,1982-02-19
None,Tours,FRA,1,1483.83483887,1982-02-20,1982-02-27
None,Tours,FRA,1,1476.13037109,1982-02-28,1982-03-03
None,Tours,FRA,1,1490.57739258,1982-03-04,1982-03-13
None,Tours,FRA,1,1498.35510254,1982-03-14,1982-03-20
None,Tours,FRA,1,1493.7800293,1982-03-21,1982-03-27
None,Tours,FRA,1,1486.97033691,1982-03-28,1982-04-02
None,Tours,FRA,1,1492.59313965,1982-04-03,1982-04-09
None,Tours,FRA,1,1498.36706543,1982-04-10,1982-04-13
None,Tours,FRA,1,1499.24658203,1982-04-14,1982-04-23
None,Tours,FRA,1,1497.79919434,1982-04-24,1982-05-04
None,Tours,FRA,1,1488.17333984,1982-05-05,1982-05-07
None,Tours,FRA,1,1485.52380371,1982-05-08,1982-08-10
None,Tours,FRA,1,1478.75024414,1982-08-11,1982-08-17
None,Tours,FRA,1,1483.51916504,1982-08-18,1982-08-24
None,Tours,FRA,1,1477.32275391,1982-08-25,1982-08-27
None,Tours,FRA,1,1482.62365723,1982-08-28,1982-09-03
None,Tours,FRA,1,1477.61303711,1982-09-04,1982-09-10
None,Tours,FRA,1,1485.21704102,1982-09-11,1982-09-15
None,Tours,FRA,1,1479.95031738,1982-09-16,1982-09-21
None,Tours,FRA,1,1472.89172363,1982-09-22,1982-09-24
None,Tours,FRA,1,1477.91174316,1982-09-25,1982-09-28
None,Tours,FRA,1,1487.33361816,1982-09-29,1982-09-29
None,Tours,FRA,1,1495.35058594,1982-09-30,1982-10-02
None,Tours,FRA,1,1501.47607422,1982-10-03,1982-10-12
None,Tours,FRA,1,1492.98059082,1982-10-13,1982-10-15
None,Tours,FRA,1,1483.64904785,1982-10-16,1982-10-20
None,Tours,FRA,1,1481.12976074,1982-10-21,1982-10-26
None,Tours,FRA,1,1478.23474121,1982-10-27,1982-10-29
None,Tours,FRA,1,1490.54663086,1982-10-30,1982-11-03
None,Tours,FRA,1,1494.5670166,1982-11-04,1982-11-06
None,Tours,FRA,1,1500.06359863,1982-11-07,1982-11-16
None,Tours,FRA,1,1487.01416016,1982-11-17,1982-11-20
None,Tours,FRA,1,1481.48022461,1982-11-21,1982-11-24
None,Tours,FRA,1,1481.89086914,1982-11-25,1982-11-27
None,Tours,FRA,1,1475.3828125,1982-11-28,1982-12-04
None,Tours,FRA,1,1468.19238281,1982-12-05,1982-12-08
None,Tours,FRA,1,1459.58398438,1982-12-09,1982-12-11
None,Tours,FRA,1,1470.76367188,1982-12-12,1982-12-18
None,Tours,FRA,1,1463.52075195,1982-12-19,1983-01-15
None,Tours,FRA,1,1470.76794434,1983-01-16,1983-01-22
None,Tours,FRA,1,1473.77478027,1983-01-23,1983-01-29
