Rank,Club,Country,Level,Elo,From,To
None,Trabzonspor,TUR,1,1176.92785645,1974-07-01,1974-09-08
None,Trabzonspor,TUR,1,1172.32495117,1974-09-09,1974-09-15
None,Trabzonspor,TUR,1,1176.10949707,1974-09-16,1974-09-18
None,Trabzonspor,TUR,1,1189.42993164,1974-09-19,1974-09-22
None,Trabzonspor,TUR,1,1194.23828125,1974-09-23,1974-09-29
None,Trabzonspor,TUR,1,1192.64660645,1974-09-30,1974-10-02
None,Trabzonspor,TUR,1,1180.78234863,1974-10-03,1974-10-06
None,Trabzonspor,TUR,1,1179.18725586,1974-10-07,1974-10-13
None,Trabzonspor,TUR,1,1176.57226562,1974-10-14,1974-10-20
None,Trabzonspor,TUR,1,1189.37036133,1974-10-21,1974-10-23
None,Trabzonspor,TUR,1,1196.55834961,1974-10-24,1974-10-27
None,Trabzonspor,TUR,1,1197.06005859,1974-10-28,1974-11-03
None,Trabzonspor,TUR,1,1215.09741211,1974-11-04,1974-11-06
None,Trabzonspor,TUR,1,1220.19958496,1974-11-07,1974-11-24
None,Trabzonspor,TUR,1,1228.85266113,1974-11-25,1974-12-08
None,Trabzonspor,TUR,1,1232.31091309,1974-12-09,1974-12-15
None,Trabzonspor,TUR,1,1228.36560059,1974-12-16,1974-12-22
None,Trabzonspor,TUR,1,1234.76928711,1974-12-23,1974-12-29
None,Trabzonspor,TUR,1,1233.11279297,1974-12-30,1975-01-05
None,Trabzonspor,TUR,1,1242.17260742,1975-01-06,1975-02-02
None,Trabzonspor,TUR,1,1240.46813965,1975-02-03,1975-02-09
None,Trabzonspor,TUR,1,1244.48876953,1975-02-10,1975-02-16
None,Trabzonspor,TUR,1,1241.3347168,1975-02-17,1975-02-23
None,Trabzonspor,TUR,1,1244.54077148,1975-02-24,1975-03-02
None,Trabzonspor,TUR,1,1240.35229492,1975-03-03,1975-03-05
None,Trabzonspor,TUR,1,1239.75610352,1975-03-06,1975-03-09
None,Trabzonspor,TUR,1,1230.17138672,1975-03-10,1975-03-16
None,Trabzonspor,TUR,1,1236.50610352,1975-03-17,1975-03-19
None,Trabzonspor,TUR,1,1236.25231934,1975-03-20,1975-03-23
None,Trabzonspor,TUR,1,1242.65576172,1975-03-24,1975-04-13
None,Trabzonspor,TUR,1,1230.52868652,1975-04-14,1975-04-19
None,Trabzonspor,TUR,1,1245.07617188,1975-04-20,1975-05-04
None,Trabzonspor,TUR,1,1241.58789062,1975-05-05,1975-05-11
None,Trabzonspor,TUR,1,1239.40808105,1975-05-12,1975-05-18
None,Trabzonspor,TUR,1,1234.24536133,1975-05-19,1975-05-25
None,Trabzonspor,TUR,1,1243.10400391,1975-05-26,1975-06-01
None,Trabzonspor,TUR,1,1247.46350098,1975-06-02,1975-09-07
None,Trabzonspor,TUR,1,1262.0657959,1975-09-08,1975-09-14
None,Trabzonspor,TUR,1,1263.77038574,1975-09-15,1975-09-17
None,Trabzonspor,TUR,1,1256.28198242,1975-09-18,1975-09-18
None,Trabzonspor,TUR,1,1251.39343262,1975-09-19,1975-09-21
None,Trabzonspor,TUR,1,1263.12475586,1975-09-22,1975-09-28
None,Trabzonspor,TUR,1,1270.59265137,1975-09-29,1975-10-01
None,Trabzonspor,TUR,1,1278.72045898,1975-10-02,1975-10-05
None,Trabzonspor,TUR,1,1283.58520508,1975-10-06,1975-10-19
None,Trabzonspor,TUR,1,1295.12207031,1975-10-20,1975-10-22
None,Trabzonspor,TUR,1,1293.21826172,1975-10-23,1975-11-02
None,Trabzonspor,TUR,1,1282.25,1975-11-03,1975-11-05
None,Trabzonspor,TUR,1,1281.9128418,1975-11-06,1975-11-08
None,Trabzonspor,TUR,1,1289.09277344,1975-11-09,1975-11-16
None,Trabzonspor,TUR,1,1282.54211426,1975-11-17,1975-11-30
None,Trabzonspor,TUR,1,1278.50927734,1975-12-01,1975-12-07
None,Trabzonspor,TUR,1,1282.74084473,1975-12-08,1975-12-14
None,Trabzonspor,TUR,1,1288.86474609,1975-12-15,1975-12-28
None,Trabzonspor,TUR,1,1284.03393555,1975-12-29,1976-01-04
None,Trabzonspor,TUR,1,1289.67114258,1976-01-05,1976-01-11
None,Trabzonspor,TUR,1,1301.74890137,1976-01-12,1976-02-15
None,Trabzonspor,TUR,1,1308.73486328,1976-02-16,1976-02-22
None,Trabzonspor,TUR,1,1313.41149902,1976-02-23,1976-02-29
None,Trabzonspor,TUR,1,1307.60583496,1976-03-01,1976-03-07
None,Trabzonspor,TUR,1,1302.33068848,1976-03-08,1976-03-14
None,Trabzonspor,TUR,1,1303.67663574,1976-03-15,1976-03-21
None,Trabzonspor,TUR,1,1307.55041504,1976-03-22,1976-03-28
None,Trabzonspor,TUR,1,1324.70007324,1976-03-29,1976-04-04
None,Trabzonspor,TUR,1,1332.53491211,1976-04-05,1976-04-11
None,Trabzonspor,TUR,1,1335.53356934,1976-04-12,1976-04-18
None,Trabzonspor,TUR,1,1345.88171387,1976-04-19,1976-04-25
None,Trabzonspor,TUR,1,1352.03723145,1976-04-26,1976-05-09
None,Trabzonspor,TUR,1,1352.66625977,1976-05-10,1976-05-16
None,Trabzonspor,TUR,1,1359.36682129,1976-05-17,1976-05-23
None,Trabzonspor,TUR,1,1359.78051758,1976-05-24,1976-05-30
None,Trabzonspor,TUR,1,1354.27539062,1976-05-31,1976-09-05
None,Trabzonspor,TUR,1,1357.2442627,1976-09-06,1976-09-11
None,Trabzonspor,TUR,1,1360.34655762,1976-09-12,1976-09-15
None,Trabzonspor,TUR,1,1362.7623291,1976-09-16,1976-09-26
None,Trabzonspor,TUR,1,1367.1340332,1976-09-27,1976-09-29
None,Trabzonspor,TUR,1,1360.73327637,1976-09-30,1976-10-03
None,Trabzonspor,TUR,1,1376.03356934,1976-10-04,1976-10-10
None,Trabzonspor,TUR,1,1379.36230469,1976-10-11,1976-10-20
None,Trabzonspor,TUR,1,1381.3046875,1976-10-21,1976-10-24
None,Trabzonspor,TUR,1,1386.5489502,1976-10-25,1976-11-03
None,Trabzonspor,TUR,1,1381.90637207,1976-11-04,1976-11-07
None,Trabzonspor,TUR,1,1394.32519531,1976-11-08,1976-11-21
None,Trabzonspor,TUR,1,1406.0682373,1976-11-22,1976-11-28
None,Trabzonspor,TUR,1,1408.14868164,1976-11-29,1976-12-05
None,Trabzonspor,TUR,1,1400.73156738,1976-12-06,1976-12-19
None,Trabzonspor,TUR,1,1388.02526855,1976-12-20,1976-12-26
None,Trabzonspor,TUR,1,1397.27880859,1976-12-27,1977-01-02
None,Trabzonspor,TUR,1,1404.48376465,1977-01-03,1977-01-09
None,Trabzonspor,TUR,1,1395.05175781,1977-01-10,1977-01-23
None,Trabzonspor,TUR,1,1399.09802246,1977-01-24,1977-02-13
None,Trabzonspor,TUR,1,1398.39404297,1977-02-14,1977-02-20
None,Trabzonspor,TUR,1,1397.04956055,1977-02-21,1977-02-27
None,Trabzonspor,TUR,1,1400.99353027,1977-02-28,1977-03-06
None,Trabzonspor,TUR,1,1403.01306152,1977-03-07,1977-03-12
None,Trabzonspor,TUR,1,1395.27319336,1977-03-13,1977-03-20
None,Trabzonspor,TUR,1,1399.1673584,1977-03-21,1977-03-27
None,Trabzonspor,TUR,1,1399.33740234,1977-03-28,1977-04-03
None,Trabzonspor,TUR,1,1401.48730469,1977-04-04,1977-04-24
None,Trabzonspor,TUR,1,1406.06726074,1977-04-25,1977-05-01
None,Trabzonspor,TUR,1,1404.91064453,1977-05-02,1977-05-08
None,Trabzonspor,TUR,1,1409.07971191,1977-05-09,1977-05-15
