Rank,Club,Country,Level,Elo,From,To
None,Trapani,ITA,2,1354.18786621,2013-07-01,2013-08-01
None,Trapani,ITA,2,1354.46728516,2013-08-02,2013-08-08
None,Trapani,ITA,2,1354.61413574,2013-08-09,2013-08-20
None,Trapani,ITA,2,1355.11462402,2013-08-21,2013-08-22
None,Trapani,ITA,2,1349.92724609,2013-08-23,2013-08-24
None,Trapani,ITA,2,1364.56640625,2013-08-25,2013-08-28
None,Trapani,ITA,2,1368.03222656,2013-08-29,2013-08-29
None,Trapani,ITA,2,1366.76745605,2013-08-30,2013-09-02
None,Trapani,ITA,2,1366.69189453,2013-09-03,2013-09-08
None,Trapani,ITA,2,1371.80554199,2013-09-09,2013-09-14
None,Trapani,ITA,2,1386.16540527,2013-09-15,2013-09-17
None,Trapani,ITA,2,1383.8963623,2013-09-18,2013-09-18
None,Trapani,ITA,2,1389.32543945,2013-09-19,2013-09-19
None,Trapani,ITA,2,1392.22009277,2013-09-20,2013-09-21
None,Trapani,ITA,2,1383.46472168,2013-09-22,2013-09-24
None,Trapani,ITA,2,1374.68933105,2013-09-25,2013-09-28
None,Trapani,ITA,2,1371.18444824,2013-09-29,2013-10-01
None,Trapani,ITA,2,1369.1262207,2013-10-02,2013-10-02
None,Trapani,ITA,2,1367.26147461,2013-10-03,2013-10-03
None,Trapani,ITA,2,1369.54406738,2013-10-04,2013-10-05
None,Trapani,ITA,2,1367.3338623,2013-10-06,2013-10-13
None,Trapani,ITA,2,1371.02905273,2013-10-14,2013-10-19
None,Trapani,ITA,2,1369.58886719,2013-10-20,2013-10-22
None,Trapani,ITA,2,1374.09240723,2013-10-23,2013-10-23
None,Trapani,ITA,2,1373.20800781,2013-10-24,2013-10-24
None,Trapani,ITA,2,1373.08837891,2013-10-25,2013-10-26
None,Trapani,ITA,2,1376.37060547,2013-10-27,2013-11-01
None,Trapani,ITA,2,1365.85339355,2013-11-02,2013-11-05
None,Trapani,ITA,2,1367.1048584,2013-11-06,2013-11-06
None,Trapani,ITA,2,1367.6270752,2013-11-07,2013-11-07
None,Trapani,ITA,2,1369.76525879,2013-11-08,2013-11-09
None,Trapani,ITA,2,1364.69897461,2013-11-10,2013-11-17
None,Trapani,ITA,2,1372.9609375,2013-11-18,2013-11-23
None,Trapani,ITA,2,1381.60900879,2013-11-24,2013-11-26
None,Trapani,ITA,2,1383.73022461,2013-11-27,2013-11-27
None,Trapani,ITA,2,1384.39672852,2013-11-28,2013-11-28
None,Trapani,ITA,2,1384.95324707,2013-11-29,2013-11-30
None,Trapani,ITA,2,1392.97424316,2013-12-01,2013-12-07
None,Trapani,ITA,2,1393.65710449,2013-12-08,2013-12-11
None,Trapani,ITA,2,1393.64697266,2013-12-12,2013-12-12
None,Trapani,ITA,2,1393.67138672,2013-12-13,2013-12-14
None,Trapani,ITA,2,1392.51123047,2013-12-15,2013-12-20
None,Trapani,ITA,2,1406.47973633,2013-12-21,2013-12-26
None,Trapani,ITA,2,1413.57421875,2013-12-27,2013-12-29
None,Trapani,ITA,2,1416.77514648,2013-12-30,2014-01-24
None,Trapani,ITA,2,1422.15185547,2014-01-25,2014-02-01
None,Trapani,ITA,2,1432.57678223,2014-02-02,2014-02-08
None,Trapani,ITA,2,1433.09936523,2014-02-09,2014-02-15
None,Trapani,ITA,2,1432.50500488,2014-02-16,2014-02-19
None,Trapani,ITA,2,1431.40527344,2014-02-20,2014-02-20
