Rank,Club,Country,Level,Elo,From,To
None,Triestina,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Triestina,ITA,1,1725.41442871,1946-09-23,1946-10-06
None,Triestina,ITA,1,1727.96716309,1946-10-07,1946-10-13
None,Triestina,ITA,1,1713.72497559,1946-10-14,1946-10-20
None,Triestina,ITA,1,1709.33789062,1946-10-21,1946-10-27
None,Triestina,ITA,1,1703.7479248,1946-10-28,1946-11-03
None,Triestina,ITA,1,1696.60388184,1946-11-04,1946-11-10
None,Triestina,ITA,1,1708.44006348,1946-11-11,1946-11-12
None,Triestina,ITA,1,1705.63220215,1946-11-13,1946-11-24
None,Triestina,ITA,1,1698.17504883,1946-11-25,1946-12-07
None,Triestina,ITA,1,1700.17504883,1946-12-08,1946-12-08
None,Triestina,ITA,1,1702.74035645,1946-12-09,1946-12-15
None,Triestina,ITA,1,1701.54162598,1946-12-16,1946-12-22
None,Triestina,ITA,1,1693.125,1946-12-23,1946-12-29
None,Triestina,ITA,1,1683.29675293,1946-12-30,1947-01-01
None,Triestina,ITA,1,1676.93859863,1947-01-02,1947-01-05
None,Triestina,ITA,1,1684.47766113,1947-01-06,1947-01-12
None,Triestina,ITA,1,1673.29016113,1947-01-13,1947-01-19
None,Triestina,ITA,1,1671.6036377,1947-01-20,1947-01-26
None,Triestina,ITA,1,1670.14013672,1947-01-27,1947-02-02
None,Triestina,ITA,1,1661.54968262,1947-02-03,1947-02-16
None,Triestina,ITA,1,1655.01220703,1947-02-17,1947-02-19
None,Triestina,ITA,1,1647.4486084,1947-02-20,1947-03-02
None,Triestina,ITA,1,1633.31274414,1947-03-03,1947-03-09
None,Triestina,ITA,1,1626.64807129,1947-03-10,1947-03-16
None,Triestina,ITA,1,1637.46447754,1947-03-17,1947-03-23
None,Triestina,ITA,1,1635.47705078,1947-03-24,1947-03-30
None,Triestina,ITA,1,1648.34765625,1947-03-31,1947-04-06
None,Triestina,ITA,1,1641.20324707,1947-04-07,1947-04-13
None,Triestina,ITA,1,1634.78820801,1947-04-14,1947-04-20
None,Triestina,ITA,1,1621.88696289,1947-04-21,1947-04-25
None,Triestina,ITA,1,1616.48681641,1947-04-26,1947-04-28
None,Triestina,ITA,1,1619.48681641,1947-04-29,1947-05-04
None,Triestina,ITA,1,1610.13256836,1947-05-05,1947-05-14
None,Triestina,ITA,1,1613.13256836,1947-05-15,1947-05-25
None,Triestina,ITA,1,1598.47631836,1947-05-26,1947-06-01
None,Triestina,ITA,1,1594.38696289,1947-06-02,1947-06-08
None,Triestina,ITA,1,1591.50622559,1947-06-09,1947-06-15
None,Triestina,ITA,1,1580.95983887,1947-06-16,1947-06-22
None,Triestina,ITA,1,1576.73901367,1947-06-23,1947-06-29
None,Triestina,ITA,1,1573.33422852,1947-06-30,1947-07-06
None,Triestina,ITA,1,1583.61682129,1947-07-07,1947-09-14
None,Triestina,ITA,1,1589.27709961,1947-09-15,1947-09-28
None,Triestina,ITA,1,1586.35375977,1947-09-29,1947-10-05
None,Triestina,ITA,1,1583.26049805,1947-10-06,1947-10-12
None,Triestina,ITA,1,1583.48571777,1947-10-13,1947-10-19
None,Triestina,ITA,1,1599.72216797,1947-10-20,1947-10-26
None,Triestina,ITA,1,1614.76696777,1947-10-27,1947-11-02
None,Triestina,ITA,1,1616.97094727,1947-11-03,1947-11-15
None,Triestina,ITA,1,1587.97094727,1947-11-16,1947-11-16
None,Triestina,ITA,1,1580.95373535,1947-11-17,1947-11-23
None,Triestina,ITA,1,1588.56555176,1947-11-24,1947-11-30
None,Triestina,ITA,1,1595.27880859,1947-12-01,1947-12-07
None,Triestina,ITA,1,1601.33483887,1947-12-08,1947-12-18
None,Triestina,ITA,1,1605.33483887,1947-12-19,1947-12-21
None,Triestina,ITA,1,1612.10437012,1947-12-22,1947-12-28
None,Triestina,ITA,1,1609.48352051,1947-12-29,1948-01-01
None,Triestina,ITA,1,1615.70849609,1948-01-02,1948-01-04
None,Triestina,ITA,1,1621.06274414,1948-01-05,1948-01-11
None,Triestina,ITA,1,1626.20593262,1948-01-12,1948-01-18
None,Triestina,ITA,1,1634.1574707,1948-01-19,1948-01-25
None,Triestina,ITA,1,1639.62219238,1948-01-26,1948-02-01
None,Triestina,ITA,1,1645.86645508,1948-02-02,1948-02-08
None,Triestina,ITA,1,1643.58911133,1948-02-09,1948-02-15
None,Triestina,ITA,1,1650.47607422,1948-02-16,1948-02-29
None,Triestina,ITA,1,1647.21411133,1948-03-01,1948-03-07
None,Triestina,ITA,1,1649.12841797,1948-03-08,1948-03-14
None,Triestina,ITA,1,1652.92126465,1948-03-15,1948-03-21
None,Triestina,ITA,1,1661.01843262,1948-03-22,1948-03-28
None,Triestina,ITA,1,1668.03869629,1948-03-29,1948-04-05
None,Triestina,ITA,1,1674.03869629,1948-04-06,1948-04-11
None,Triestina,ITA,1,1679.07910156,1948-04-12,1948-04-16
None,Triestina,ITA,1,1684.7253418,1948-04-17,1948-04-25
None,Triestina,ITA,1,1678.86254883,1948-04-26,1948-05-02
None,Triestina,ITA,1,1674.79846191,1948-05-03,1948-05-06
None,Triestina,ITA,1,1680.56860352,1948-05-07,1948-05-09
None,Triestina,ITA,1,1682.75195312,1948-05-10,1948-05-17
None,Triestina,ITA,1,1655.75195312,1948-05-18,1948-05-23
None,Triestina,ITA,1,1658.88513184,1948-05-24,1948-05-27
None,Triestina,ITA,1,1665.25598145,1948-05-28,1948-05-30
None,Triestina,ITA,1,1660.66479492,1948-05-31,1948-06-06
None,Triestina,ITA,1,1663.92858887,1948-06-07,1948-06-13
None,Triestina,ITA,1,1679.64685059,1948-06-14,1948-06-20
None,Triestina,ITA,1,1674.90539551,1948-06-21,1948-06-27
None,Triestina,ITA,1,1678.72595215,1948-06-28,1948-07-04
None,Triestina,ITA,1,1673.25292969,1948-07-05,1948-09-19
None,Triestina,ITA,1,1664.68579102,1948-09-20,1948-09-26
None,Triestina,ITA,1,1657.99499512,1948-09-27,1948-10-03
None,Triestina,ITA,1,1663.30224609,1948-10-04,1948-10-10
None,Triestina,ITA,1,1659.92736816,1948-10-11,1948-10-17
None,Triestina,ITA,1,1663.14794922,1948-10-18,1948-10-24
None,Triestina,ITA,1,1659.00158691,1948-10-25,1948-10-31
None,Triestina,ITA,1,1653.10290527,1948-11-01,1948-11-04
None,Triestina,ITA,1,1649.01806641,1948-11-05,1948-11-07
None,Triestina,ITA,1,1653.60266113,1948-11-08,1948-11-14
None,Triestina,ITA,1,1665.54138184,1948-11-15,1948-11-21
None,Triestina,ITA,1,1660.42700195,1948-11-22,1948-11-28
None,Triestina,ITA,1,1668.75073242,1948-11-29,1948-12-05
None,Triestina,ITA,1,1665.05297852,1948-12-06,1948-12-08
None,Triestina,ITA,1,1671.08300781,1948-12-09,1948-12-12
None,Triestina,ITA,1,1665.02770996,1948-12-13,1948-12-19
None,Triestina,ITA,1,1666.09533691,1948-12-20,1948-12-26
None,Triestina,ITA,1,1674.60449219,1948-12-27,1949-01-02
None,Triestina,ITA,1,1681.50073242,1949-01-03,1949-01-06
None,Triestina,ITA,1,1698.05981445,1949-01-07,1949-01-09
None,Triestina,ITA,1,1701.14697266,1949-01-10,1949-01-16
None,Triestina,ITA,1,1705.17858887,1949-01-17,1949-01-23
None,Triestina,ITA,1,1706.78894043,1949-01-24,1949-01-30
None,Triestina,ITA,1,1711.44787598,1949-01-31,1949-02-06
None,Triestina,ITA,1,1696.77819824,1949-02-07,1949-02-13
None,Triestina,ITA,1,1681.57019043,1949-02-14,1949-02-20
None,Triestina,ITA,1,1669.22998047,1949-02-21,1949-03-05
None,Triestina,ITA,1,1671.22998047,1949-03-06,1949-03-06
None,Triestina,ITA,1,1676.22290039,1949-03-07,1949-03-13
None,Triestina,ITA,1,1682.08544922,1949-03-14,1949-03-20
None,Triestina,ITA,1,1675.73132324,1949-03-21,1949-04-02
None,Triestina,ITA,1,1687.73132324,1949-04-03,1949-04-03
None,Triestina,ITA,1,1679.47741699,1949-04-04,1949-04-10
None,Triestina,ITA,1,1681.57995605,1949-04-11,1949-04-17
None,Triestina,ITA,1,1674.40783691,1949-04-18,1949-04-24
None,Triestina,ITA,1,1666.56481934,1949-04-25,1949-04-30
None,Triestina,ITA,1,1668.88037109,1949-05-01,1949-05-08
None,Triestina,ITA,1,1676.13720703,1949-05-09,1949-05-15
None,Triestina,ITA,1,1670.84863281,1949-05-16,1949-05-25
None,Triestina,ITA,1,1676.84863281,1949-05-26,1949-05-29
None,Triestina,ITA,1,1683.89709473,1949-05-30,1949-06-05
None,Triestina,ITA,1,1670.20581055,1949-06-06,1949-06-16
None,Triestina,ITA,1,1666.20581055,1949-06-17,1949-06-29
None,Triestina,ITA,1,1578.01330566,1949-06-30,1949-07-02
None,Triestina,ITA,1,1584.35070801,1949-07-03,1949-09-11
None,Triestina,ITA,1,1595.53149414,1949-09-12,1949-09-18
None,Triestina,ITA,1,1585.38415527,1949-09-19,1949-09-25
None,Triestina,ITA,1,1580.63879395,1949-09-26,1949-10-02
None,Triestina,ITA,1,1590.42944336,1949-10-03,1949-10-09
None,Triestina,ITA,1,1586.83374023,1949-10-10,1949-10-16
None,Triestina,ITA,1,1581.13830566,1949-10-17,1949-10-20
None,Triestina,ITA,1,1586.05859375,1949-10-21,1949-10-23
None,Triestina,ITA,1,1581.51464844,1949-10-24,1949-10-30
None,Triestina,ITA,1,1585.30432129,1949-10-31,1949-11-06
None,Triestina,ITA,1,1579.22814941,1949-11-07,1949-11-20
None,Triestina,ITA,1,1575.08752441,1949-11-21,1949-12-04
None,Triestina,ITA,1,1590.29162598,1949-12-05,1949-12-08
None,Triestina,ITA,1,1592.37683105,1949-12-09,1949-12-11
None,Triestina,ITA,1,1587.68249512,1949-12-12,1949-12-18
None,Triestina,ITA,1,1590.09106445,1949-12-19,1949-12-26
None,Triestina,ITA,1,1577.76501465,1949-12-27,1950-01-01
None,Triestina,ITA,1,1577.62255859,1950-01-02,1950-01-08
None,Triestina,ITA,1,1569.55554199,1950-01-09,1950-01-15
None,Triestina,ITA,1,1572.03601074,1950-01-16,1950-01-22
None,Triestina,ITA,1,1576.66796875,1950-01-23,1950-01-29
None,Triestina,ITA,1,1573.77734375,1950-01-30,1950-02-05
None,Triestina,ITA,1,1570.74682617,1950-02-06,1950-02-12
None,Triestina,ITA,1,1562.42504883,1950-02-13,1950-02-19
None,Triestina,ITA,1,1574.29785156,1950-02-20,1950-02-23
None,Triestina,ITA,1,1570.02990723,1950-02-24,1950-02-26
None,Triestina,ITA,1,1564.16491699,1950-02-27,1950-03-12
None,Triestina,ITA,1,1566.80175781,1950-03-13,1950-03-19
None,Triestina,ITA,1,1570.8918457,1950-03-20,1950-03-26
None,Triestina,ITA,1,1574.30578613,1950-03-27,1950-04-09
None,Triestina,ITA,1,1571.6340332,1950-04-10,1950-04-16
None,Triestina,ITA,1,1568.78625488,1950-04-17,1950-04-23
None,Triestina,ITA,1,1576.83764648,1950-04-24,1950-04-30
None,Triestina,ITA,1,1580.67333984,1950-05-01,1950-05-07
None,Triestina,ITA,1,1575.30505371,1950-05-08,1950-05-14
None,Triestina,ITA,1,1587.96850586,1950-05-15,1950-05-21
None,Triestina,ITA,1,1585.7088623,1950-05-22,1950-05-28
None,Triestina,ITA,1,1591.81921387,1950-05-29,1950-06-14
None,Triestina,ITA,1,1564.88085938,1950-06-15,1950-06-16
None,Triestina,ITA,1,1549.49755859,1950-06-17,1950-09-10
None,Triestina,ITA,1,1544.41357422,1950-09-11,1950-09-17
None,Triestina,ITA,1,1552.43847656,1950-09-18,1950-09-24
None,Triestina,ITA,1,1555.74963379,1950-09-25,1950-10-01
None,Triestina,ITA,1,1553.34265137,1950-10-02,1950-10-08
None,Triestina,ITA,1,1560.90539551,1950-10-09,1950-10-15
