Rank,Club,Country,Level,Elo,From,To
None,Vannes,FRA,2,1376.25268555,2008-07-01,2008-08-01
None,Vannes,FRA,2,1388.55822754,2008-08-02,2008-08-11
None,Vannes,FRA,2,1399.99743652,2008-08-12,2008-08-13
None,Vannes,FRA,2,1400.75927734,2008-08-14,2008-08-14
None,Vannes,FRA,2,1399.31628418,2008-08-15,2008-08-15
None,Vannes,FRA,2,1392.83837891,2008-08-16,2008-08-22
None,Vannes,FRA,2,1401.26989746,2008-08-23,2008-08-27
None,Vannes,FRA,2,1401.60388184,2008-08-28,2008-08-28
None,Vannes,FRA,2,1405.04467773,2008-08-29,2008-08-29
None,Vannes,FRA,2,1395.97631836,2008-08-30,2008-09-12
None,Vannes,FRA,2,1406.99279785,2008-09-13,2008-09-16
None,Vannes,FRA,2,1404.12902832,2008-09-17,2008-09-17
None,Vannes,FRA,2,1402.58947754,2008-09-18,2008-09-18
None,Vannes,FRA,2,1408.85498047,2008-09-19,2008-09-19
None,Vannes,FRA,2,1405.79455566,2008-09-20,2008-09-27
None,Vannes,FRA,2,1404.43371582,2008-09-28,2008-09-30
None,Vannes,FRA,2,1404.9486084,2008-10-01,2008-10-01
None,Vannes,FRA,2,1399.453125,2008-10-02,2008-10-02
None,Vannes,FRA,2,1398.28283691,2008-10-03,2008-10-03
None,Vannes,FRA,2,1415.77429199,2008-10-04,2008-10-10
None,Vannes,FRA,2,1414.36962891,2008-10-11,2008-10-17
None,Vannes,FRA,2,1408.55554199,2008-10-18,2008-10-21
None,Vannes,FRA,2,1411.59191895,2008-10-22,2008-10-22
None,Vannes,FRA,2,1408.85473633,2008-10-23,2008-10-23
None,Vannes,FRA,2,1414.14367676,2008-10-24,2008-10-24
None,Vannes,FRA,2,1419.77709961,2008-10-25,2008-10-31
None,Vannes,FRA,2,1414.32702637,2008-11-01,2008-11-04
None,Vannes,FRA,2,1419.52819824,2008-11-05,2008-11-05
None,Vannes,FRA,2,1420.41467285,2008-11-06,2008-11-06
None,Vannes,FRA,2,1421.63439941,2008-11-07,2008-11-07
None,Vannes,FRA,2,1419.56518555,2008-11-08,2008-11-14
None,Vannes,FRA,2,1413.63366699,2008-11-15,2008-11-25
None,Vannes,FRA,2,1416.99304199,2008-11-26,2008-11-26
None,Vannes,FRA,2,1417.72460938,2008-11-27,2008-11-27
None,Vannes,FRA,2,1417.95007324,2008-11-28,2008-11-28
None,Vannes,FRA,2,1408.27514648,2008-11-29,2008-12-03
None,Vannes,FRA,2,1409.8560791,2008-12-04,2008-12-04
None,Vannes,FRA,2,1406.69299316,2008-12-05,2008-12-05
None,Vannes,FRA,2,1418.71252441,2008-12-06,2008-12-09
None,Vannes,FRA,2,1417.0435791,2008-12-10,2008-12-10
None,Vannes,FRA,2,1413.60375977,2008-12-11,2008-12-17
None,Vannes,FRA,2,1413.01599121,2008-12-18,2008-12-18
None,Vannes,FRA,2,1416.12695312,2008-12-19,2008-12-19
None,Vannes,FRA,2,1416.4822998,2008-12-20,2009-01-09
None,Vannes,FRA,2,1421.80725098,2009-01-10,2009-01-17
None,Vannes,FRA,2,1418.83007812,2009-01-18,2009-01-30
None,Vannes,FRA,2,1425.10009766,2009-01-31,2009-02-07
None,Vannes,FRA,2,1416.41174316,2009-02-08,2009-02-13
None,Vannes,FRA,2,1414.11303711,2009-02-14,2009-02-18
None,Vannes,FRA,2,1423.80773926,2009-02-19,2009-02-19
None,Vannes,FRA,2,1419.68286133,2009-02-20,2009-02-20
None,Vannes,FRA,2,1432.6730957,2009-02-21,2009-02-24
None,Vannes,FRA,2,1432.05773926,2009-02-25,2009-02-26
None,Vannes,FRA,2,1435.98046875,2009-02-27,2009-02-27
None,Vannes,FRA,2,1436.23193359,2009-02-28,2009-03-06
None,Vannes,FRA,2,1440.39050293,2009-03-07,2009-03-11
None,Vannes,FRA,2,1437.29858398,2009-03-12,2009-03-12
None,Vannes,FRA,2,1435.76867676,2009-03-13,2009-03-13
None,Vannes,FRA,2,1443.31921387,2009-03-14,2009-03-18
None,Vannes,FRA,2,1443.76879883,2009-03-19,2009-03-19
None,Vannes,FRA,2,1447.27880859,2009-03-20,2009-03-20
None,Vannes,FRA,2,1437.68554688,2009-03-21,2009-03-27
None,Vannes,FRA,2,1446.81872559,2009-03-28,2009-04-03
None,Vannes,FRA,2,1437.46777344,2009-04-04,2009-04-09
None,Vannes,FRA,2,1433.33007812,2009-04-10,2009-04-10
None,Vannes,FRA,2,1434.5657959,2009-04-11,2009-04-16
None,Vannes,FRA,2,1427.35107422,2009-04-17,2009-04-17
None,Vannes,FRA,2,1417.42407227,2009-04-18,2009-05-01
None,Vannes,FRA,2,1408.5057373,2009-05-02,2009-05-05
None,Vannes,FRA,2,1420.94689941,2009-05-06,2009-05-08
None,Vannes,FRA,2,1403.64208984,2009-05-09,2009-05-15
None,Vannes,FRA,2,1415.79882812,2009-05-16,2009-05-22
None,Vannes,FRA,2,1409.1184082,2009-05-23,2009-05-29
None,Vannes,FRA,2,1408.4029541,2009-05-30,2009-07-30
None,Vannes,FRA,2,1408.81970215,2009-07-31,2009-08-06
None,Vannes,FRA,2,1408.94641113,2009-08-07,2009-08-07
None,Vannes,FRA,2,1424.59606934,2009-08-08,2009-08-14
None,Vannes,FRA,2,1426.83483887,2009-08-15,2009-08-18
None,Vannes,FRA,2,1428.20007324,2009-08-19,2009-08-19
None,Vannes,FRA,2,1432.11291504,2009-08-20,2009-08-20
None,Vannes,FRA,2,1434.07434082,2009-08-21,2009-08-23
None,Vannes,FRA,2,1425.2401123,2009-08-24,2009-08-25
None,Vannes,FRA,2,1426.06030273,2009-08-26,2009-08-27
None,Vannes,FRA,2,1425.03039551,2009-08-28,2009-08-30
None,Vannes,FRA,2,1425.19995117,2009-08-31,2009-09-11
None,Vannes,FRA,2,1436.75244141,2009-09-12,2009-09-15
None,Vannes,FRA,2,1434.43041992,2009-09-16,2009-09-16
None,Vannes,FRA,2,1436.25012207,2009-09-17,2009-09-17
None,Vannes,FRA,2,1438.22741699,2009-09-18,2009-09-18
None,Vannes,FRA,2,1445.47949219,2009-09-19,2009-09-25
None,Vannes,FRA,2,1447.01452637,2009-09-26,2009-09-29
None,Vannes,FRA,2,1448.84350586,2009-09-30,2009-09-30
None,Vannes,FRA,2,1447.32971191,2009-10-01,2009-10-01
None,Vannes,FRA,2,1449.74230957,2009-10-02,2009-10-02
None,Vannes,FRA,2,1431.02514648,2009-10-03,2009-10-16
None,Vannes,FRA,2,1426.28723145,2009-10-17,2009-10-20
None,Vannes,FRA,2,1430.73474121,2009-10-21,2009-10-21
None,Vannes,FRA,2,1434.5447998,2009-10-22,2009-10-22
None,Vannes,FRA,2,1435.3671875,2009-10-23,2009-10-23
None,Vannes,FRA,2,1425.73364258,2009-10-24,2009-10-27
None,Vannes,FRA,2,1422.6015625,2009-10-28,2009-10-30
None,Vannes,FRA,2,1429.78442383,2009-10-31,2009-11-03
None,Vannes,FRA,2,1436.19055176,2009-11-04,2009-11-04
None,Vannes,FRA,2,1436.01696777,2009-11-05,2009-11-05
None,Vannes,FRA,2,1429.80249023,2009-11-06,2009-11-06
None,Vannes,FRA,2,1441.56848145,2009-11-07,2009-11-24
None,Vannes,FRA,2,1438.94787598,2009-11-25,2009-11-25
None,Vannes,FRA,2,1443.50048828,2009-11-26,2009-11-27
None,Vannes,FRA,2,1444.41833496,2009-11-28,2009-12-01
None,Vannes,FRA,2,1436.62927246,2009-12-02,2009-12-02
None,Vannes,FRA,2,1434.24304199,2009-12-03,2009-12-03
None,Vannes,FRA,2,1434.88879395,2009-12-04,2009-12-04
None,Vannes,FRA,2,1438.39831543,2009-12-05,2009-12-08
None,Vannes,FRA,2,1436.04187012,2009-12-09,2009-12-09
None,Vannes,FRA,2,1436.7980957,2009-12-10,2009-12-16
None,Vannes,FRA,2,1433.41796875,2009-12-17,2009-12-17
None,Vannes,FRA,2,1434.51379395,2009-12-18,2009-12-18
None,Vannes,FRA,2,1443.45983887,2009-12-19,2009-12-22
None,Vannes,FRA,2,1437.60412598,2009-12-23,2010-01-15
None,Vannes,FRA,2,1423.54968262,2010-01-16,2010-01-19
None,Vannes,FRA,2,1427.91369629,2010-01-20,2010-01-30
None,Vannes,FRA,2,1426.57556152,2010-01-31,2010-02-05
None,Vannes,FRA,2,1438.81921387,2010-02-06,2010-02-13
None,Vannes,FRA,2,1426.57177734,2010-02-14,2010-02-16
None,Vannes,FRA,2,1428.93164062,2010-02-17,2010-02-18
None,Vannes,FRA,2,1432.44628906,2010-02-19,2010-02-19
None,Vannes,FRA,2,1434.97180176,2010-02-20,2010-02-23
None,Vannes,FRA,2,1436.17407227,2010-02-24,2010-02-25
None,Vannes,FRA,2,1438.08691406,2010-02-26,2010-02-26
None,Vannes,FRA,2,1436.01843262,2010-02-27,2010-03-05
None,Vannes,FRA,2,1439.75292969,2010-03-06,2010-03-10
None,Vannes,FRA,2,1442.87426758,2010-03-11,2010-03-11
None,Vannes,FRA,2,1445.81140137,2010-03-12,2010-03-12
None,Vannes,FRA,2,1445.85754395,2010-03-13,2010-03-17
None,Vannes,FRA,2,1446.5625,2010-03-18,2010-03-18
