Rank,Club,Country,Level,Elo,From,To
None,Varese,ITA,2,1529.72741699,1947-09-14,1947-09-14
None,Varese,ITA,2,1521.12524414,1947-09-15,1947-09-21
None,Varese,ITA,2,1518.51196289,1947-09-22,1947-09-28
None,Varese,ITA,2,1510.01293945,1947-09-29,1947-10-05
None,Varese,ITA,2,1515.38061523,1947-10-06,1947-10-12
None,Varese,ITA,2,1508.28466797,1947-10-13,1947-10-19
None,Varese,ITA,2,1498.2545166,1947-10-20,1947-10-26
None,Varese,ITA,2,1503.17883301,1947-10-27,1947-11-02
None,Varese,ITA,2,1493.41394043,1947-11-03,1947-11-15
None,Varese,ITA,2,1464.41394043,1947-11-16,1947-11-16
None,Varese,ITA,2,1461.2980957,1947-11-17,1947-11-23
None,Varese,ITA,2,1467.90405273,1947-11-24,1947-11-30
None,Varese,ITA,2,1487.90075684,1947-12-01,1947-12-07
None,Varese,ITA,2,1492.96203613,1947-12-08,1947-12-18
None,Varese,ITA,2,1496.96203613,1947-12-19,1947-12-21
None,Varese,ITA,2,1494.52209473,1947-12-22,1947-12-28
None,Varese,ITA,2,1504.04309082,1947-12-29,1948-01-04
None,Varese,ITA,2,1508.81774902,1948-01-05,1948-01-11
None,Varese,ITA,2,1506.68908691,1948-01-12,1948-01-18
None,Varese,ITA,2,1510.87756348,1948-01-19,1948-02-15
None,Varese,ITA,2,1522.26208496,1948-02-16,1948-02-22
None,Varese,ITA,2,1526.91992188,1948-02-23,1948-02-29
None,Varese,ITA,2,1533.31958008,1948-03-01,1948-03-07
None,Varese,ITA,2,1537.06237793,1948-03-08,1948-03-14
None,Varese,ITA,2,1533.30944824,1948-03-15,1948-03-21
None,Varese,ITA,2,1527.99938965,1948-03-22,1948-03-28
None,Varese,ITA,2,1523.69482422,1948-03-29,1948-04-05
None,Varese,ITA,2,1529.69482422,1948-04-06,1948-04-11
None,Varese,ITA,2,1522.76867676,1948-04-12,1948-04-17
None,Varese,ITA,2,1520.94714355,1948-04-18,1948-04-25
None,Varese,ITA,2,1514.07336426,1948-04-26,1948-05-02
None,Varese,ITA,2,1492.33337402,1948-05-03,1948-05-09
None,Varese,ITA,2,1488.2722168,1948-05-10,1948-05-17
None,Varese,ITA,2,1461.2722168,1948-05-18,1948-05-23
None,Varese,ITA,2,1458.06896973,1948-05-24,1948-05-30
None,Varese,ITA,2,1445.41882324,1948-05-31,1948-06-06
None,Varese,ITA,2,1441.3494873,1948-06-07,1948-06-13
None,Varese,ITA,2,1441.51306152,1948-06-14,1948-06-20
None,Varese,ITA,2,1433.39538574,1948-06-21,1948-07-24
None,Varese,ITA,2,1458.74316406,1963-07-03,1963-09-04
None,Varese,ITA,2,1463.24450684,1963-09-05,1963-09-15
None,Varese,ITA,2,1476.40490723,1963-09-16,1963-09-18
None,Varese,ITA,2,1479.76452637,1963-09-19,1963-09-22
None,Varese,ITA,2,1485.60839844,1963-09-23,1963-09-25
None,Varese,ITA,2,1488.5802002,1963-09-26,1963-09-29
None,Varese,ITA,2,1492.61816406,1963-09-30,1963-10-06
None,Varese,ITA,2,1497.84814453,1963-10-07,1963-10-09
None,Varese,ITA,2,1493.49597168,1963-10-10,1963-10-13
None,Varese,ITA,2,1496.43615723,1963-10-14,1963-10-14
None,Varese,ITA,2,1483.86364746,1963-10-15,1963-10-27
None,Varese,ITA,2,1493.16052246,1963-10-28,1963-11-03
None,Varese,ITA,2,1496.92895508,1963-11-04,1963-11-10
None,Varese,ITA,2,1501.78796387,1963-11-11,1963-11-17
None,Varese,ITA,2,1509.70214844,1963-11-18,1963-11-24
None,Varese,ITA,2,1514.35473633,1963-11-25,1963-11-27
None,Varese,ITA,2,1513.85449219,1963-11-28,1963-12-01
None,Varese,ITA,2,1509.54260254,1963-12-02,1963-12-04
None,Varese,ITA,2,1516.78442383,1963-12-05,1963-12-08
None,Varese,ITA,2,1512.56445312,1963-12-09,1963-12-15
None,Varese,ITA,2,1509.85766602,1963-12-16,1963-12-22
None,Varese,ITA,2,1515.26733398,1963-12-23,1963-12-29
None,Varese,ITA,2,1509.03918457,1963-12-30,1964-01-05
None,Varese,ITA,2,1504.38342285,1964-01-06,1964-01-12
None,Varese,ITA,2,1513.69372559,1964-01-13,1964-01-19
None,Varese,ITA,2,1509.72998047,1964-01-20,1964-01-26
None,Varese,ITA,2,1513.99584961,1964-01-27,1964-01-29
None,Varese,ITA,2,1509.13134766,1964-01-30,1964-02-02
None,Varese,ITA,2,1505.88513184,1964-02-03,1964-02-13
None,Varese,ITA,2,1506.17871094,1964-02-14,1964-02-16
None,Varese,ITA,2,1503.4342041,1964-02-17,1964-02-23
None,Varese,ITA,2,1508.4675293,1964-02-24,1964-02-26
None,Varese,ITA,2,1511.5045166,1964-02-27,1964-03-01
None,Varese,ITA,2,1514.44934082,1964-03-02,1964-03-04
None,Varese,ITA,2,1514.63427734,1964-03-05,1964-03-08
None,Varese,ITA,2,1518.76867676,1964-03-09,1964-03-15
None,Varese,ITA,2,1521.86755371,1964-03-16,1964-03-22
None,Varese,ITA,2,1518.87097168,1964-03-23,1964-03-29
None,Varese,ITA,2,1529.72155762,1964-03-30,1964-04-05
None,Varese,ITA,2,1538.63500977,1964-04-06,1964-04-12
None,Varese,ITA,2,1536.96179199,1964-04-13,1964-04-15
None,Varese,ITA,2,1539.08874512,1964-04-16,1964-04-26
None,Varese,ITA,2,1552.82885742,1964-04-27,1964-04-29
None,Varese,ITA,2,1554.69494629,1964-04-30,1964-05-03
None,Varese,ITA,2,1562.95373535,1964-05-04,1964-05-10
None,Varese,ITA,2,1565.66015625,1964-05-11,1964-05-17
None,Varese,ITA,2,1570.98071289,1964-05-18,1964-05-24
None,Varese,ITA,2,1576.1295166,1964-05-25,1964-05-27
None,Varese,ITA,2,1586.5994873,1964-05-28,1964-05-31
None,Varese,ITA,2,1587.39160156,1964-06-01,1964-06-07
None,Varese,ITA,2,1590.14770508,1964-06-08,1964-06-14
None,Varese,ITA,2,1595.47119141,1964-06-15,1964-06-21
None,Varese,ITA,2,1595.33251953,1964-06-22,1964-07-01
None,Varese,ITA,1,1595.33251953,1964-07-02,1964-09-09
None,Varese,ITA,1,1594.49755859,1964-09-10,1964-09-13
None,Varese,ITA,1,1600.13842773,1964-09-14,1964-09-20
100,Varese,ITA,1,1611.78869629,1964-09-21,1964-09-23
99,Varese,ITA,1,1612.18969727,1964-09-24,1964-09-26
98,Varese,ITA,1,1612.18969727,1964-09-27,1964-09-27
None,Varese,ITA,1,1606.44018555,1964-09-28,1964-10-04
None,Varese,ITA,1,1607.23376465,1964-10-05,1964-10-07
99,Varese,ITA,1,1608.91369629,1964-10-08,1964-10-10
100,Varese,ITA,1,1608.91369629,1964-10-11,1964-10-11
None,Varese,ITA,1,1605.13928223,1964-10-12,1964-10-14
