Rank,Club,Country,Level,Elo,From,To
None,Verona,ITA,2,1471.3972168,1948-07-04,1948-09-19
None,Verona,ITA,2,1467.31921387,1948-09-20,1948-09-26
None,Verona,ITA,2,1471.58850098,1948-09-27,1948-10-03
None,Verona,ITA,2,1466.30615234,1948-10-04,1948-10-10
None,Verona,ITA,2,1471.82080078,1948-10-11,1948-10-17
None,Verona,ITA,2,1467.61975098,1948-10-18,1948-10-24
None,Verona,ITA,2,1460.22460938,1948-10-25,1948-10-31
None,Verona,ITA,2,1456.08911133,1948-11-01,1948-11-04
None,Verona,ITA,2,1453.82910156,1948-11-05,1948-11-07
None,Verona,ITA,2,1458.92956543,1948-11-08,1948-11-14
None,Verona,ITA,2,1451.44946289,1948-11-15,1948-11-21
None,Verona,ITA,2,1450.74060059,1948-11-22,1948-11-28
None,Verona,ITA,2,1447.01672363,1948-11-29,1948-12-05
None,Verona,ITA,2,1452.53417969,1948-12-06,1948-12-12
None,Verona,ITA,2,1458.74755859,1948-12-13,1948-12-19
None,Verona,ITA,2,1463.02941895,1948-12-20,1948-12-26
None,Verona,ITA,2,1478.20874023,1948-12-27,1948-12-30
None,Verona,ITA,2,1474.77502441,1948-12-31,1949-01-02
None,Verona,ITA,2,1473.25341797,1949-01-03,1949-01-06
None,Verona,ITA,2,1469.65197754,1949-01-07,1949-01-09
None,Verona,ITA,2,1481.77185059,1949-01-10,1949-01-16
None,Verona,ITA,2,1494.10131836,1949-01-17,1949-01-23
None,Verona,ITA,2,1497.67980957,1949-01-24,1949-01-30
None,Verona,ITA,2,1502.36938477,1949-01-31,1949-02-06
None,Verona,ITA,2,1506.74353027,1949-02-07,1949-02-13
None,Verona,ITA,2,1501.93005371,1949-02-14,1949-02-20
None,Verona,ITA,2,1494.9609375,1949-02-21,1949-03-05
None,Verona,ITA,2,1496.9609375,1949-03-06,1949-03-06
None,Verona,ITA,2,1502.08959961,1949-03-07,1949-03-13
None,Verona,ITA,2,1497.25793457,1949-03-14,1949-03-20
None,Verona,ITA,2,1506.25634766,1949-03-21,1949-04-02
None,Verona,ITA,2,1518.25634766,1949-04-03,1949-04-03
None,Verona,ITA,2,1511.10717773,1949-04-04,1949-04-10
None,Verona,ITA,2,1514.3215332,1949-04-11,1949-04-17
None,Verona,ITA,2,1512.57800293,1949-04-18,1949-04-24
None,Verona,ITA,2,1517.46374512,1949-04-25,1949-05-01
None,Verona,ITA,2,1513.19140625,1949-05-02,1949-05-08
None,Verona,ITA,2,1501.27172852,1949-05-09,1949-05-15
None,Verona,ITA,2,1498.40783691,1949-05-16,1949-05-25
None,Verona,ITA,2,1504.40783691,1949-05-26,1949-05-29
None,Verona,ITA,2,1499.99597168,1949-05-30,1949-06-05
None,Verona,ITA,2,1509.11523438,1949-06-06,1949-06-12
None,Verona,ITA,2,1515.5793457,1949-06-13,1949-06-16
None,Verona,ITA,2,1511.5793457,1949-06-17,1949-06-19
None,Verona,ITA,2,1515.26831055,1949-06-20,1949-06-26
None,Verona,ITA,2,1493.72729492,1949-06-27,1949-06-29
None,Verona,ITA,2,1405.53479004,1949-06-30,1949-07-02
None,Verona,ITA,2,1411.87219238,1949-07-03,1949-07-03
None,Verona,ITA,2,1407.97521973,1949-07-04,1949-09-11
None,Verona,ITA,2,1403.90490723,1949-09-12,1949-09-18
None,Verona,ITA,2,1417.50891113,1949-09-19,1949-09-25
None,Verona,ITA,2,1426.98132324,1949-09-26,1949-10-02
None,Verona,ITA,2,1436.79467773,1949-10-03,1949-10-09
None,Verona,ITA,2,1432.43920898,1949-10-10,1949-10-16
None,Verona,ITA,2,1419.80432129,1949-10-17,1949-10-23
None,Verona,ITA,2,1424.75585938,1949-10-24,1949-10-30
None,Verona,ITA,2,1420.59936523,1949-10-31,1949-11-06
None,Verona,ITA,2,1409.78564453,1949-11-07,1949-11-13
None,Verona,ITA,2,1416.03527832,1949-11-14,1949-11-20
None,Verona,ITA,2,1426.13708496,1949-11-21,1949-11-27
None,Verona,ITA,2,1418.89306641,1949-11-28,1949-12-04
None,Verona,ITA,2,1416.49072266,1949-12-05,1949-12-08
None,Verona,ITA,2,1415.32824707,1949-12-09,1949-12-11
None,Verona,ITA,2,1408.81030273,1949-12-12,1949-12-18
None,Verona,ITA,2,1415.44030762,1949-12-19,1949-12-26
None,Verona,ITA,2,1405.79077148,1949-12-27,1950-01-01
None,Verona,ITA,2,1401.82873535,1950-01-02,1950-01-08
None,Verona,ITA,2,1397.34680176,1950-01-09,1950-01-15
None,Verona,ITA,2,1386.3104248,1950-01-16,1950-01-22
None,Verona,ITA,2,1399.72241211,1950-01-23,1950-01-29
None,Verona,ITA,2,1405.71691895,1950-01-30,1950-02-05
None,Verona,ITA,2,1408.3704834,1950-02-06,1950-02-12
None,Verona,ITA,2,1406.15698242,1950-02-13,1950-02-19
None,Verona,ITA,2,1393.24255371,1950-02-20,1950-02-26
None,Verona,ITA,2,1400.18225098,1950-02-27,1950-03-12
None,Verona,ITA,2,1396.34204102,1950-03-13,1950-03-19
None,Verona,ITA,2,1391.75061035,1950-03-20,1950-03-26
None,Verona,ITA,2,1397.45507812,1950-03-27,1950-04-02
None,Verona,ITA,2,1393.92089844,1950-04-03,1950-04-09
None,Verona,ITA,2,1405.88830566,1950-04-10,1950-04-16
None,Verona,ITA,2,1401.95739746,1950-04-17,1950-04-23
None,Verona,ITA,2,1406.29882812,1950-04-24,1950-04-30
None,Verona,ITA,2,1411.80407715,1950-05-01,1950-05-07
None,Verona,ITA,2,1426.27685547,1950-05-08,1950-05-14
None,Verona,ITA,2,1429.59326172,1950-05-15,1950-05-21
None,Verona,ITA,2,1423.32336426,1950-05-22,1950-05-28
None,Verona,ITA,2,1430.77941895,1950-05-29,1950-06-04
None,Verona,ITA,2,1435.90393066,1950-06-05,1950-06-11
None,Verona,ITA,2,1439.64465332,1950-06-12,1950-06-14
None,Verona,ITA,2,1412.70617676,1950-06-15,1950-06-16
None,Verona,ITA,2,1397.32287598,1950-06-17,1950-06-18
None,Verona,ITA,2,1395.07275391,1950-06-19,1950-06-25
None,Verona,ITA,2,1398.8704834,1950-06-26,1950-09-10
None,Verona,ITA,2,1403.58361816,1950-09-11,1950-09-17
None,Verona,ITA,2,1401.14282227,1950-09-18,1950-09-24
None,Verona,ITA,2,1395.63537598,1950-09-25,1950-10-01
None,Verona,ITA,2,1400.21289062,1950-10-02,1950-10-08
None,Verona,ITA,2,1396.70739746,1950-10-09,1950-10-15
None,Verona,ITA,2,1405.04431152,1950-10-16,1950-10-22
None,Verona,ITA,2,1417.86132812,1950-10-23,1950-11-05
