Rank,Club,Country,Level,Elo,From,To
None,Vicenza,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Vicenza,ITA,1,1732.80151367,1946-09-23,1946-09-29
None,Vicenza,ITA,1,1715.28771973,1946-09-30,1946-10-06
None,Vicenza,ITA,1,1727.11315918,1946-10-07,1946-10-13
None,Vicenza,ITA,1,1721.78063965,1946-10-14,1946-10-20
None,Vicenza,ITA,1,1724.46691895,1946-10-21,1946-10-27
None,Vicenza,ITA,1,1729.74609375,1946-10-28,1946-11-03
None,Vicenza,ITA,1,1742.8848877,1946-11-04,1946-11-10
None,Vicenza,ITA,1,1739.14282227,1946-11-11,1946-11-12
None,Vicenza,ITA,1,1728.24414062,1946-11-13,1946-11-24
None,Vicenza,ITA,1,1712.1529541,1946-11-25,1946-12-07
None,Vicenza,ITA,1,1714.1529541,1946-12-08,1946-12-08
None,Vicenza,ITA,1,1694.91516113,1946-12-09,1946-12-15
None,Vicenza,ITA,1,1690.98950195,1946-12-16,1946-12-22
None,Vicenza,ITA,1,1693.72680664,1946-12-23,1946-12-29
None,Vicenza,ITA,1,1683.76745605,1946-12-30,1947-01-05
None,Vicenza,ITA,1,1676.22839355,1947-01-06,1947-01-12
None,Vicenza,ITA,1,1676.85021973,1947-01-13,1947-01-19
None,Vicenza,ITA,1,1691.20068359,1947-01-20,1947-01-26
None,Vicenza,ITA,1,1699.91503906,1947-01-27,1947-02-02
None,Vicenza,ITA,1,1691.39123535,1947-02-03,1947-02-16
None,Vicenza,ITA,1,1682.78137207,1947-02-17,1947-02-23
None,Vicenza,ITA,1,1686.83325195,1947-02-24,1947-03-02
None,Vicenza,ITA,1,1697.33532715,1947-03-03,1947-03-09
None,Vicenza,ITA,1,1704.02026367,1947-03-10,1947-03-16
None,Vicenza,ITA,1,1714.37524414,1947-03-17,1947-03-23
None,Vicenza,ITA,1,1707.66149902,1947-03-24,1947-03-30
None,Vicenza,ITA,1,1715.51330566,1947-03-31,1947-04-06
None,Vicenza,ITA,1,1726.08337402,1947-04-07,1947-04-13
None,Vicenza,ITA,1,1730.08496094,1947-04-14,1947-04-20
None,Vicenza,ITA,1,1723.32177734,1947-04-21,1947-04-28
None,Vicenza,ITA,1,1726.32177734,1947-04-29,1947-05-04
None,Vicenza,ITA,1,1721.49255371,1947-05-05,1947-05-14
None,Vicenza,ITA,1,1724.49255371,1947-05-15,1947-05-18
None,Vicenza,ITA,1,1715.97949219,1947-05-19,1947-05-25
None,Vicenza,ITA,1,1705.52307129,1947-05-26,1947-06-01
None,Vicenza,ITA,1,1708.90490723,1947-06-02,1947-06-08
None,Vicenza,ITA,1,1711.78564453,1947-06-09,1947-06-15
None,Vicenza,ITA,1,1725.68066406,1947-06-16,1947-06-22
None,Vicenza,ITA,1,1731.77819824,1947-06-23,1947-06-29
None,Vicenza,ITA,1,1734.12219238,1947-06-30,1947-07-06
None,Vicenza,ITA,1,1741.78149414,1947-07-07,1947-09-14
None,Vicenza,ITA,1,1733.18103027,1947-09-15,1947-09-21
None,Vicenza,ITA,1,1723.10009766,1947-09-22,1947-09-28
None,Vicenza,ITA,1,1726.91845703,1947-09-29,1947-10-05
None,Vicenza,ITA,1,1733.39306641,1947-10-06,1947-10-12
None,Vicenza,ITA,1,1730.7734375,1947-10-13,1947-10-19
None,Vicenza,ITA,1,1732.83691406,1947-10-20,1947-10-26
None,Vicenza,ITA,1,1731.16552734,1947-10-27,1947-11-02
None,Vicenza,ITA,1,1716.85717773,1947-11-03,1947-11-15
None,Vicenza,ITA,1,1687.85717773,1947-11-16,1947-11-16
None,Vicenza,ITA,1,1693.29016113,1947-11-17,1947-11-30
None,Vicenza,ITA,1,1688.99597168,1947-12-01,1947-12-07
None,Vicenza,ITA,1,1680.01025391,1947-12-08,1947-12-18
None,Vicenza,ITA,1,1684.01025391,1947-12-19,1947-12-21
None,Vicenza,ITA,1,1677.24072266,1947-12-22,1947-12-28
None,Vicenza,ITA,1,1661.86999512,1947-12-29,1948-01-01
None,Vicenza,ITA,1,1654.49328613,1948-01-02,1948-01-04
None,Vicenza,ITA,1,1648.87402344,1948-01-05,1948-01-11
None,Vicenza,ITA,1,1654.52832031,1948-01-12,1948-01-18
None,Vicenza,ITA,1,1655.57543945,1948-01-19,1948-01-25
None,Vicenza,ITA,1,1647.60229492,1948-01-26,1948-02-01
None,Vicenza,ITA,1,1649.10998535,1948-02-02,1948-02-08
None,Vicenza,ITA,1,1661.50891113,1948-02-09,1948-02-15
None,Vicenza,ITA,1,1666.29748535,1948-02-16,1948-02-29
None,Vicenza,ITA,1,1659.41479492,1948-03-01,1948-03-07
None,Vicenza,ITA,1,1654.67651367,1948-03-08,1948-03-11
None,Vicenza,ITA,1,1636.30187988,1948-03-12,1948-03-14
None,Vicenza,ITA,1,1626.96032715,1948-03-15,1948-03-21
None,Vicenza,ITA,1,1632.14282227,1948-03-22,1948-03-28
None,Vicenza,ITA,1,1628.35083008,1948-03-29,1948-04-05
None,Vicenza,ITA,1,1634.35083008,1948-04-06,1948-04-11
None,Vicenza,ITA,1,1640.05627441,1948-04-12,1948-04-16
None,Vicenza,ITA,1,1637.30102539,1948-04-17,1948-05-02
None,Vicenza,ITA,1,1631.38110352,1948-05-03,1948-05-06
None,Vicenza,ITA,1,1614.02990723,1948-05-07,1948-05-09
None,Vicenza,ITA,1,1611.84643555,1948-05-10,1948-05-17
None,Vicenza,ITA,1,1584.84643555,1948-05-18,1948-05-23
None,Vicenza,ITA,1,1580.36340332,1948-05-24,1948-05-27
None,Vicenza,ITA,1,1576.16357422,1948-05-28,1948-05-30
None,Vicenza,ITA,1,1583.72399902,1948-05-31,1948-06-06
None,Vicenza,ITA,1,1581.01000977,1948-06-07,1948-06-13
None,Vicenza,ITA,1,1564.5,1948-06-14,1948-06-20
None,Vicenza,ITA,1,1569.53771973,1948-06-21,1948-06-27
None,Vicenza,ITA,1,1568.01477051,1948-06-28,1948-07-04
None,Vicenza,ITA,1,1558.08129883,1948-07-05,1948-09-19
None,Vicenza,ITA,1,1561.70996094,1948-09-20,1948-09-26
None,Vicenza,ITA,1,1563.38684082,1948-09-27,1948-10-03
None,Vicenza,ITA,1,1573.07214355,1948-10-04,1948-10-10
None,Vicenza,ITA,1,1558.6237793,1948-10-11,1948-10-17
None,Vicenza,ITA,1,1567.05883789,1948-10-18,1948-10-24
None,Vicenza,ITA,1,1577.9362793,1948-10-25,1948-10-31
None,Vicenza,ITA,1,1580.84973145,1948-11-01,1948-11-04
None,Vicenza,ITA,1,1589.37121582,1948-11-05,1948-11-07
None,Vicenza,ITA,1,1581.3807373,1948-11-08,1948-11-14
None,Vicenza,ITA,1,1586.47851562,1948-11-15,1948-11-21
None,Vicenza,ITA,1,1589.28869629,1948-11-22,1948-11-28
None,Vicenza,ITA,1,1593.01257324,1948-11-29,1948-12-05
None,Vicenza,ITA,1,1609.77001953,1948-12-06,1948-12-12
None,Vicenza,ITA,1,1602.84753418,1948-12-13,1948-12-19
None,Vicenza,ITA,1,1608.67834473,1948-12-20,1948-12-26
None,Vicenza,ITA,1,1611.13330078,1948-12-27,1948-12-30
None,Vicenza,ITA,1,1617.9831543,1948-12-31,1949-01-02
None,Vicenza,ITA,1,1606.90356445,1949-01-03,1949-01-06
None,Vicenza,ITA,1,1610.05749512,1949-01-07,1949-01-09
None,Vicenza,ITA,1,1610.51867676,1949-01-10,1949-01-16
None,Vicenza,ITA,1,1614.6315918,1949-01-17,1949-01-23
None,Vicenza,ITA,1,1616.21618652,1949-01-24,1949-01-30
None,Vicenza,ITA,1,1620.04724121,1949-01-31,1949-02-06
None,Vicenza,ITA,1,1613.53149414,1949-02-07,1949-02-13
None,Vicenza,ITA,1,1598.86071777,1949-02-14,1949-02-20
None,Vicenza,ITA,1,1589.45874023,1949-02-21,1949-03-05
None,Vicenza,ITA,1,1591.45874023,1949-03-06,1949-03-06
None,Vicenza,ITA,1,1584.85314941,1949-03-07,1949-03-13
None,Vicenza,ITA,1,1571.09472656,1949-03-14,1949-03-20
None,Vicenza,ITA,1,1564.32897949,1949-03-21,1949-04-02
None,Vicenza,ITA,1,1576.32897949,1949-04-03,1949-04-03
None,Vicenza,ITA,1,1582.35620117,1949-04-04,1949-04-10
None,Vicenza,ITA,1,1577.22875977,1949-04-11,1949-04-17
None,Vicenza,ITA,1,1571.99487305,1949-04-18,1949-04-24
None,Vicenza,ITA,1,1567.10925293,1949-04-25,1949-05-01
None,Vicenza,ITA,1,1574.99023438,1949-05-02,1949-05-08
None,Vicenza,ITA,1,1571.91662598,1949-05-09,1949-05-15
None,Vicenza,ITA,1,1577.35778809,1949-05-16,1949-05-25
None,Vicenza,ITA,1,1583.35778809,1949-05-26,1949-05-29
None,Vicenza,ITA,1,1587.57336426,1949-05-30,1949-06-05
None,Vicenza,ITA,1,1582.15087891,1949-06-06,1949-06-12
None,Vicenza,ITA,1,1585.5423584,1949-06-13,1949-06-16
None,Vicenza,ITA,1,1581.5423584,1949-06-17,1949-06-19
None,Vicenza,ITA,1,1574.29797363,1949-06-20,1949-06-26
None,Vicenza,ITA,1,1578.46240234,1949-06-27,1949-06-29
None,Vicenza,ITA,1,1490.26989746,1949-06-30,1949-07-02
None,Vicenza,ITA,1,1496.6072998,1949-07-03,1949-07-03
None,Vicenza,ITA,1,1507.33447266,1949-07-04,1949-09-11
None,Vicenza,ITA,2,1509.32641602,1949-09-12,1949-09-18
None,Vicenza,ITA,2,1511.69714355,1949-09-19,1949-09-25
None,Vicenza,ITA,2,1507.93432617,1949-09-26,1949-10-02
None,Vicenza,ITA,2,1502.60803223,1949-10-03,1949-10-09
None,Vicenza,ITA,2,1505.23327637,1949-10-10,1949-10-16
None,Vicenza,ITA,2,1508.76843262,1949-10-17,1949-10-23
None,Vicenza,ITA,2,1503.13659668,1949-10-24,1949-10-30
None,Vicenza,ITA,2,1507.29309082,1949-10-31,1949-11-06
None,Vicenza,ITA,2,1489.78735352,1949-11-07,1949-11-13
None,Vicenza,ITA,2,1486.07299805,1949-11-14,1949-11-20
None,Vicenza,ITA,2,1479.66625977,1949-11-21,1949-11-27
None,Vicenza,ITA,2,1474.51013184,1949-11-28,1949-12-04
None,Vicenza,ITA,2,1470.98852539,1949-12-05,1949-12-08
None,Vicenza,ITA,2,1466.30236816,1949-12-09,1949-12-11
None,Vicenza,ITA,2,1468.97338867,1949-12-12,1949-12-18
None,Vicenza,ITA,2,1461.27722168,1949-12-19,1949-12-26
None,Vicenza,ITA,2,1458.8425293,1949-12-27,1950-01-01
None,Vicenza,ITA,2,1477.91174316,1950-01-02,1950-01-08
None,Vicenza,ITA,2,1480.46520996,1950-01-09,1950-01-15
None,Vicenza,ITA,2,1485.53320312,1950-01-16,1950-01-22
None,Vicenza,ITA,2,1481.39038086,1950-01-23,1950-01-29
None,Vicenza,ITA,2,1476.01953125,1950-01-30,1950-02-05
None,Vicenza,ITA,2,1486.98852539,1950-02-06,1950-02-12
None,Vicenza,ITA,2,1482.88818359,1950-02-13,1950-02-19
None,Vicenza,ITA,2,1485.71533203,1950-02-20,1950-02-26
None,Vicenza,ITA,2,1489.78979492,1950-02-27,1950-03-12
None,Vicenza,ITA,2,1482.26843262,1950-03-13,1950-03-19
None,Vicenza,ITA,2,1488.30029297,1950-03-20,1950-03-26
None,Vicenza,ITA,2,1482.5958252,1950-03-27,1950-04-02
None,Vicenza,ITA,2,1476.52075195,1950-04-03,1950-04-09
None,Vicenza,ITA,2,1473.74938965,1950-04-10,1950-04-16
None,Vicenza,ITA,2,1475.75012207,1950-04-17,1950-04-23
None,Vicenza,ITA,2,1456.30480957,1950-04-24,1950-04-30
None,Vicenza,ITA,2,1460.8782959,1950-05-01,1950-05-07
None,Vicenza,ITA,2,1457.0625,1950-05-08,1950-05-14
None,Vicenza,ITA,2,1449.6484375,1950-05-15,1950-05-21
None,Vicenza,ITA,2,1453.2253418,1950-05-22,1950-05-28
None,Vicenza,ITA,2,1447.76208496,1950-05-29,1950-06-04
None,Vicenza,ITA,2,1452.19567871,1950-06-05,1950-06-11
None,Vicenza,ITA,2,1447.70544434,1950-06-12,1950-06-14
None,Vicenza,ITA,2,1420.76708984,1950-06-15,1950-06-16
None,Vicenza,ITA,2,1405.38378906,1950-06-17,1950-06-18
None,Vicenza,ITA,2,1403.78051758,1950-06-19,1950-06-25
None,Vicenza,ITA,2,1411.52685547,1950-06-26,1950-09-10
None,Vicenza,ITA,2,1409.27600098,1950-09-11,1950-09-17
None,Vicenza,ITA,2,1404.55505371,1950-09-18,1950-10-01
None,Vicenza,ITA,2,1403.02746582,1950-10-02,1950-10-08
None,Vicenza,ITA,2,1426.58569336,1950-10-09,1950-10-15
None,Vicenza,ITA,2,1430.1829834,1950-10-16,1950-10-22
None,Vicenza,ITA,2,1434.16772461,1950-10-23,1950-10-29
None,Vicenza,ITA,2,1437.94958496,1950-10-30,1950-11-05
None,Vicenza,ITA,2,1434.97827148,1950-11-06,1950-11-12
None,Vicenza,ITA,2,1415.57836914,1950-11-13,1950-11-19
None,Vicenza,ITA,2,1427.63867188,1950-11-20,1950-11-26
None,Vicenza,ITA,2,1421.41430664,1950-11-27,1950-12-03
None,Vicenza,ITA,2,1436.51989746,1950-12-04,1950-12-10
