Rank,Club,Country,Level,Elo,From,To
None,Adanaspor,TUR,1,1196.0826416,1971-07-01,1971-08-22
None,Adanaspor,TUR,1,1204.68225098,1971-08-23,1971-08-29
None,Adanaspor,TUR,1,1210.06152344,1971-08-30,1971-09-05
None,Adanaspor,TUR,1,1216.52978516,1971-09-06,1971-09-12
None,Adanaspor,TUR,1,1223.53564453,1971-09-13,1971-09-14
None,Adanaspor,TUR,1,1221.75500488,1971-09-15,1971-09-15
None,Adanaspor,TUR,1,1218.37426758,1971-09-16,1971-09-29
None,Adanaspor,TUR,1,1214.16137695,1971-09-30,1971-10-02
None,Adanaspor,TUR,1,1220.25866699,1971-10-03,1971-10-20
None,Adanaspor,TUR,1,1217.78466797,1971-10-21,1971-10-24
None,Adanaspor,TUR,1,1214.38098145,1971-10-25,1971-11-03
None,Adanaspor,TUR,1,1214.1270752,1971-11-04,1971-11-07
None,Adanaspor,TUR,1,1220.34973145,1971-11-08,1971-11-21
None,Adanaspor,TUR,1,1221.859375,1971-11-22,1971-11-28
None,Adanaspor,TUR,1,1209.72314453,1971-11-29,1971-12-11
None,Adanaspor,TUR,1,1207.57287598,1971-12-12,1971-12-19
None,Adanaspor,TUR,1,1203.55822754,1971-12-20,1971-12-26
None,Adanaspor,TUR,1,1200.06872559,1971-12-27,1972-01-01
None,Adanaspor,TUR,1,1194.84423828,1972-01-02,1972-01-09
None,Adanaspor,TUR,1,1203.33630371,1972-01-10,1972-01-16
None,Adanaspor,TUR,1,1203.8996582,1972-01-17,1972-02-19
None,Adanaspor,TUR,1,1209.98022461,1972-02-20,1972-02-27
None,Adanaspor,TUR,1,1217.09020996,1972-02-28,1972-03-05
None,Adanaspor,TUR,1,1221.05090332,1972-03-06,1972-03-12
None,Adanaspor,TUR,1,1223.57263184,1972-03-13,1972-03-19
None,Adanaspor,TUR,1,1215.35046387,1972-03-20,1972-03-26
None,Adanaspor,TUR,1,1222.76062012,1972-03-27,1972-04-02
None,Adanaspor,TUR,1,1218.33374023,1972-04-03,1972-04-09
None,Adanaspor,TUR,1,1225.61791992,1972-04-10,1972-04-15
None,Adanaspor,TUR,1,1222.45898438,1972-04-16,1972-04-23
None,Adanaspor,TUR,1,1225.48535156,1972-04-24,1972-04-30
None,Adanaspor,TUR,1,1227.70056152,1972-05-01,1972-05-07
None,Adanaspor,TUR,1,1219.59753418,1972-05-08,1972-05-14
None,Adanaspor,TUR,1,1235.94995117,1972-05-15,1972-05-21
None,Adanaspor,TUR,1,1241.08300781,1972-05-22,1972-05-28
None,Adanaspor,TUR,1,1244.43811035,1972-05-29,1972-09-10
None,Adanaspor,TUR,1,1240.07299805,1972-09-11,1972-09-13
None,Adanaspor,TUR,1,1230.5715332,1972-09-14,1972-09-14
None,Adanaspor,TUR,1,1229.50280762,1972-09-15,1972-09-17
None,Adanaspor,TUR,1,1216.75390625,1972-09-18,1972-09-24
None,Adanaspor,TUR,1,1213.4329834,1972-09-25,1972-09-27
None,Adanaspor,TUR,1,1212.14233398,1972-09-28,1972-10-01
None,Adanaspor,TUR,1,1204.82629395,1972-10-02,1972-10-08
None,Adanaspor,TUR,1,1203.09558105,1972-10-09,1972-10-15
None,Adanaspor,TUR,1,1201.06799316,1972-10-16,1972-10-29
None,Adanaspor,TUR,1,1195.69091797,1972-10-30,1972-11-05
None,Adanaspor,TUR,1,1203.5567627,1972-11-06,1972-11-12
None,Adanaspor,TUR,1,1201.8260498,1972-11-13,1972-11-19
None,Adanaspor,TUR,1,1215.31274414,1972-11-20,1972-11-26
None,Adanaspor,TUR,1,1213.83532715,1972-11-27,1972-12-03
None,Adanaspor,TUR,1,1199.59936523,1972-12-04,1972-12-17
None,Adanaspor,TUR,1,1196.00561523,1972-12-18,1972-12-23
None,Adanaspor,TUR,1,1189.53881836,1972-12-24,1972-12-31
None,Adanaspor,TUR,1,1194.16748047,1973-01-01,1973-02-04
None,Adanaspor,TUR,1,1204.10668945,1973-02-05,1973-02-11
None,Adanaspor,TUR,1,1207.65649414,1973-02-12,1973-02-18
None,Adanaspor,TUR,1,1210.90649414,1973-02-19,1973-03-04
None,Adanaspor,TUR,1,1216.47192383,1973-03-05,1973-03-11
