Rank,Club,Country,Level,Elo,From,To
None,Ankaraguecue,TUR,1,1194.63989258,1959-07-04,1959-09-12
None,Ankaraguecue,TUR,1,1208.83569336,1959-09-13,1959-09-13
None,Ankaraguecue,TUR,1,1206.01647949,1959-09-14,1959-09-23
None,Ankaraguecue,TUR,1,1261.1895752,1959-09-24,1959-09-27
None,Ankaraguecue,TUR,1,1255.6171875,1959-09-28,1959-10-10
None,Ankaraguecue,TUR,1,1245.21313477,1959-10-11,1959-10-11
None,Ankaraguecue,TUR,1,1252.42834473,1959-10-12,1959-10-24
None,Ankaraguecue,TUR,1,1247.51416016,1959-10-25,1959-10-25
None,Ankaraguecue,TUR,1,1233.43920898,1959-10-26,1959-10-31
None,Ankaraguecue,TUR,1,1226.18725586,1959-11-01,1959-11-01
None,Ankaraguecue,TUR,1,1219.44799805,1959-11-02,1959-11-14
None,Ankaraguecue,TUR,1,1223.9440918,1959-11-15,1959-11-15
None,Ankaraguecue,TUR,1,1215.28308105,1959-11-16,1959-11-19
None,Ankaraguecue,TUR,1,1217.26745605,1959-11-20,1959-11-28
None,Ankaraguecue,TUR,1,1209.20507812,1959-11-29,1959-11-29
None,Ankaraguecue,TUR,1,1207.32641602,1959-11-30,1959-12-03
None,Ankaraguecue,TUR,1,1205.50720215,1959-12-04,1959-12-12
None,Ankaraguecue,TUR,1,1209.7208252,1959-12-13,1959-12-13
None,Ankaraguecue,TUR,1,1208.73864746,1959-12-14,1959-12-19
None,Ankaraguecue,TUR,1,1206.09094238,1959-12-20,1959-12-20
None,Ankaraguecue,TUR,1,1212.0411377,1959-12-21,1959-12-23
None,Ankaraguecue,TUR,1,1205.85473633,1959-12-24,1960-01-02
None,Ankaraguecue,TUR,1,1198.60070801,1960-01-03,1960-01-03
None,Ankaraguecue,TUR,1,1193.9831543,1960-01-04,1960-01-30
None,Ankaraguecue,TUR,1,1197.52954102,1960-01-31,1960-01-31
None,Ankaraguecue,TUR,1,1190.75683594,1960-02-01,1960-02-06
None,Ankaraguecue,TUR,1,1201.30004883,1960-02-07,1960-02-07
None,Ankaraguecue,TUR,1,1182.56738281,1960-02-08,1960-03-05
None,Ankaraguecue,TUR,1,1188.85192871,1960-03-06,1960-03-06
None,Ankaraguecue,TUR,1,1196.31433105,1960-03-07,1960-03-12
None,Ankaraguecue,TUR,1,1203.19226074,1960-03-13,1960-03-13
None,Ankaraguecue,TUR,1,1200.32421875,1960-03-14,1960-03-30
None,Ankaraguecue,TUR,1,1203.12084961,1960-03-31,1960-04-02
None,Ankaraguecue,TUR,1,1216.02575684,1960-04-03,1960-04-09
None,Ankaraguecue,TUR,1,1206.88037109,1960-04-10,1960-04-10
None,Ankaraguecue,TUR,1,1206.42199707,1960-04-11,1960-04-16
None,Ankaraguecue,TUR,1,1202.28857422,1960-04-17,1960-04-17
None,Ankaraguecue,TUR,1,1199.0793457,1960-04-18,1960-04-23
None,Ankaraguecue,TUR,1,1189.7253418,1960-04-24,1960-04-24
None,Ankaraguecue,TUR,1,1187.51391602,1960-04-25,1960-04-27
None,Ankaraguecue,TUR,1,1196.39453125,1960-04-28,1960-05-21
None,Ankaraguecue,TUR,1,1198.59814453,1960-05-22,1960-05-22
None,Ankaraguecue,TUR,1,1219.26367188,1960-05-23,1960-08-28
None,Ankaraguecue,TUR,1,1223.42138672,1960-08-29,1960-09-14
None,Ankaraguecue,TUR,1,1217.33154297,1960-09-15,1960-09-24
None,Ankaraguecue,TUR,1,1212.24206543,1960-09-25,1960-09-25
None,Ankaraguecue,TUR,1,1207.67016602,1960-09-26,1960-09-28
None,Ankaraguecue,TUR,1,1207.43237305,1960-09-29,1960-10-08
