Rank,Club,Country,Level,Elo,From,To
None,Arles-Avignon,FRA,2,1388.98168945,2009-07-01,2009-07-30
None,Arles-Avignon,FRA,2,1389.3984375,2009-07-31,2009-08-06
None,Arles-Avignon,FRA,2,1389.52514648,2009-08-07,2009-08-07
None,Arles-Avignon,FRA,2,1401.24304199,2009-08-08,2009-08-14
None,Arles-Avignon,FRA,2,1407.87353516,2009-08-15,2009-08-18
None,Arles-Avignon,FRA,2,1412.60327148,2009-08-19,2009-08-19
None,Arles-Avignon,FRA,2,1416.51599121,2009-08-20,2009-08-20
None,Arles-Avignon,FRA,2,1418.47741699,2009-08-21,2009-08-21
None,Arles-Avignon,FRA,2,1425.43493652,2009-08-22,2009-08-25
None,Arles-Avignon,FRA,2,1426.25500488,2009-08-26,2009-08-27
None,Arles-Avignon,FRA,2,1425.22509766,2009-08-28,2009-08-28
None,Arles-Avignon,FRA,2,1422.72314453,2009-08-29,2009-09-11
None,Arles-Avignon,FRA,2,1421.56958008,2009-09-12,2009-09-15
None,Arles-Avignon,FRA,2,1419.24743652,2009-09-16,2009-09-16
None,Arles-Avignon,FRA,2,1421.06713867,2009-09-17,2009-09-17
None,Arles-Avignon,FRA,2,1423.04443359,2009-09-18,2009-09-18
None,Arles-Avignon,FRA,2,1417.05163574,2009-09-19,2009-09-25
None,Arles-Avignon,FRA,2,1415.51647949,2009-09-26,2009-09-29
None,Arles-Avignon,FRA,2,1417.34545898,2009-09-30,2009-09-30
None,Arles-Avignon,FRA,2,1415.83166504,2009-10-01,2009-10-01
None,Arles-Avignon,FRA,2,1418.24438477,2009-10-02,2009-10-02
None,Arles-Avignon,FRA,2,1420.31140137,2009-10-03,2009-10-16
None,Arles-Avignon,FRA,2,1426.32556152,2009-10-17,2009-10-20
None,Arles-Avignon,FRA,2,1430.77294922,2009-10-21,2009-10-21
None,Arles-Avignon,FRA,2,1434.58312988,2009-10-22,2009-10-22
None,Arles-Avignon,FRA,2,1435.40551758,2009-10-23,2009-10-23
None,Arles-Avignon,FRA,2,1445.69262695,2009-10-24,2009-10-27
None,Arles-Avignon,FRA,2,1443.90686035,2009-10-28,2009-10-30
None,Arles-Avignon,FRA,2,1446.54638672,2009-10-31,2009-11-03
None,Arles-Avignon,FRA,2,1452.95251465,2009-11-04,2009-11-04
