Rank,Club,Country,Level,Elo,From,To
None,Arouca,POR,1,1424.43139648,2013-07-01,2013-08-01
None,Arouca,POR,1,1423.27832031,2013-08-02,2013-08-08
None,Arouca,POR,1,1425.18725586,2013-08-09,2013-08-18
None,Arouca,POR,1,1419.70092773,2013-08-19,2013-08-20
None,Arouca,POR,1,1417.23071289,2013-08-21,2013-08-22
None,Arouca,POR,1,1419.70947266,2013-08-23,2013-08-25
None,Arouca,POR,1,1413.93273926,2013-08-26,2013-08-28
None,Arouca,POR,1,1413.66137695,2013-08-29,2013-08-29
None,Arouca,POR,1,1405.02453613,2013-08-30,2013-09-01
None,Arouca,POR,1,1414.90686035,2013-09-02,2013-09-15
None,Arouca,POR,1,1427.68273926,2013-09-16,2013-09-17
None,Arouca,POR,1,1429.17407227,2013-09-18,2013-09-18
None,Arouca,POR,1,1430.15344238,2013-09-19,2013-09-19
None,Arouca,POR,1,1428.57580566,2013-09-20,2013-09-20
None,Arouca,POR,1,1423.91503906,2013-09-21,2013-09-28
None,Arouca,POR,1,1426.13293457,2013-09-29,2013-10-01
None,Arouca,POR,1,1422.5333252,2013-10-02,2013-10-02
None,Arouca,POR,1,1418.32983398,2013-10-03,2013-10-03
None,Arouca,POR,1,1417.19189453,2013-10-04,2013-10-06
None,Arouca,POR,1,1415.47705078,2013-10-07,2013-10-22
None,Arouca,POR,1,1411.22387695,2013-10-23,2013-10-23
None,Arouca,POR,1,1409.60998535,2013-10-24,2013-10-24
None,Arouca,POR,1,1407.15319824,2013-10-25,2013-10-26
None,Arouca,POR,1,1400.87487793,2013-10-27,2013-11-03
None,Arouca,POR,1,1402.20776367,2013-11-04,2013-11-05
None,Arouca,POR,1,1399.05773926,2013-11-06,2013-11-06
None,Arouca,POR,1,1399.38513184,2013-11-07,2013-11-07
None,Arouca,POR,1,1396.62158203,2013-11-08,2013-11-24
None,Arouca,POR,1,1390.23608398,2013-11-25,2013-11-26
None,Arouca,POR,1,1387.55883789,2013-11-27,2013-11-27
None,Arouca,POR,1,1389.30761719,2013-11-28,2013-11-28
None,Arouca,POR,1,1393.02233887,2013-11-29,2013-12-01
None,Arouca,POR,1,1386.53662109,2013-12-02,2013-12-06
None,Arouca,POR,1,1395.32165527,2013-12-07,2013-12-10
None,Arouca,POR,1,1397.9440918,2013-12-11,2013-12-11
None,Arouca,POR,1,1395.75805664,2013-12-12,2013-12-12
None,Arouca,POR,1,1390.81030273,2013-12-13,2013-12-15
None,Arouca,POR,1,1382.13427734,2013-12-16,2013-12-22
None,Arouca,POR,1,1401.13146973,2013-12-23,2014-01-12
None,Arouca,POR,1,1411.04321289,2014-01-13,2014-01-18
None,Arouca,POR,1,1407.19909668,2014-01-19,2014-01-31
None,Arouca,POR,1,1412.22094727,2014-02-01,2014-02-09
None,Arouca,POR,1,1415.33837891,2014-02-10,2014-02-16
None,Arouca,POR,1,1418.15539551,2014-02-17,2014-02-20
None,Arouca,POR,1,1416.8392334,2014-02-21,2014-02-22
None,Arouca,POR,1,1421.9152832,2014-02-23,2014-02-27
None,Arouca,POR,1,1426.69714355,2014-02-28,2014-03-03
None,Arouca,POR,1,1411.0012207,2014-03-04,2014-03-09
None,Arouca,POR,1,1409.18237305,2014-03-10,2014-03-13
None,Arouca,POR,1,1416.13000488,2014-03-14,2014-03-16
None,Arouca,POR,1,1425.31860352,2014-03-17,2014-03-20
None,Arouca,POR,1,1427.06188965,2014-03-21,2014-03-23
None,Arouca,POR,1,1419.23156738,2014-03-24,2014-03-30
None,Arouca,POR,1,1427.02075195,2014-03-31,2014-04-03
None,Arouca,POR,1,1429.50061035,2014-04-04,2014-04-06
None,Arouca,POR,1,1425.01672363,2014-04-07,2014-04-10
None,Arouca,POR,1,1418.02587891,2014-04-11,2014-04-13
None,Arouca,POR,1,1416.26318359,2014-04-14,2014-04-17
None,Arouca,POR,1,1427.60913086,2014-04-18,2014-04-24
None,Arouca,POR,1,1429.30163574,2014-04-25,2014-05-01
None,Arouca,POR,1,1431.97583008,2014-05-02,2014-05-04
None,Arouca,POR,1,1438.46276855,2014-05-05,2014-05-10
None,Arouca,POR,1,1431.36108398,2014-05-11,2014-05-14
None,Arouca,POR,1,1431.08215332,2014-05-15,2014-07-31
None,Arouca,POR,1,1434.01196289,2014-08-01,2014-08-07
None,Arouca,POR,1,1434.64111328,2014-08-08,2014-08-18
None,Arouca,POR,1,1437.58605957,2014-08-19,2014-08-20
None,Arouca,POR,1,1440.28820801,2014-08-21,2014-08-21
None,Arouca,POR,1,1433.03283691,2014-08-22,2014-08-23
None,Arouca,POR,1,1430.89501953,2014-08-24,2014-08-26
None,Arouca,POR,1,1433.80932617,2014-08-27,2014-08-28
None,Arouca,POR,1,1434.42626953,2014-08-29,2014-08-31
None,Arouca,POR,1,1428.01318359,2014-09-01,2014-09-13
None,Arouca,POR,1,1438.20825195,2014-09-14,2014-09-16
None,Arouca,POR,1,1431.83154297,2014-09-17,2014-09-17
None,Arouca,POR,1,1432.48083496,2014-09-18,2014-09-18
None,Arouca,POR,1,1425.84924316,2014-09-19,2014-09-21
None,Arouca,POR,1,1437.52026367,2014-09-22,2014-09-28
None,Arouca,POR,1,1428.38305664,2014-09-29,2014-09-30
None,Arouca,POR,1,1427.6427002,2014-10-01,2014-10-01
None,Arouca,POR,1,1423.46533203,2014-10-02,2014-10-02
None,Arouca,POR,1,1424.23718262,2014-10-03,2014-10-05
None,Arouca,POR,1,1422.5682373,2014-10-06,2014-10-21
None,Arouca,POR,1,1423.60339355,2014-10-22,2014-10-22
None,Arouca,POR,1,1422.9967041,2014-10-23,2014-10-23
None,Arouca,POR,1,1419.71411133,2014-10-24,2014-10-25
None,Arouca,POR,1,1414.84741211,2014-10-26,2014-11-02
None,Arouca,POR,1,1415.44140625,2014-11-03,2014-11-04
None,Arouca,POR,1,1416.88598633,2014-11-05,2014-11-05
None,Arouca,POR,1,1427.46630859,2014-11-06,2014-11-06
None,Arouca,POR,1,1427.15539551,2014-11-07,2014-11-07
None,Arouca,POR,1,1420.20446777,2014-11-08,2014-11-25
None,Arouca,POR,1,1423.88098145,2014-11-26,2014-11-26
None,Arouca,POR,1,1420.98095703,2014-11-27,2014-11-27
None,Arouca,POR,1,1419.23815918,2014-11-28,2014-11-29
None,Arouca,POR,1,1422.39428711,2014-11-30,2014-12-07
None,Arouca,POR,1,1410.90344238,2014-12-08,2014-12-09
None,Arouca,POR,1,1409.76074219,2014-12-10,2014-12-10
None,Arouca,POR,1,1407.37060547,2014-12-11,2014-12-11
None,Arouca,POR,1,1411.0916748,2014-12-12,2014-12-13
None,Arouca,POR,1,1406.14929199,2014-12-14,2014-12-21
None,Arouca,POR,1,1415.1940918,2014-12-22,2015-01-04
None,Arouca,POR,1,1405.14978027,2015-01-05,2015-01-11
None,Arouca,POR,1,1412.5982666,2015-01-12,2015-01-18
None,Arouca,POR,1,1406.96801758,2015-01-19,2015-01-25
None,Arouca,POR,1,1403.57727051,2015-01-26,2015-02-01
None,Arouca,POR,1,1399.07006836,2015-02-02,2015-02-08
None,Arouca,POR,1,1400.27026367,2015-02-09,2015-02-15
None,Arouca,POR,1,1396.52148438,2015-02-16,2015-02-18
None,Arouca,POR,1,1397.17480469,2015-02-19,2015-02-19
None,Arouca,POR,1,1395.11218262,2015-02-20,2015-02-22
None,Arouca,POR,1,1403.79577637,2015-02-23,2015-02-26
None,Arouca,POR,1,1403.43334961,2015-02-27,2015-03-01
None,Arouca,POR,1,1406.51013184,2015-03-02,2015-03-08
None,Arouca,POR,1,1404.41552734,2015-03-09,2015-03-10
None,Arouca,POR,1,1409.02661133,2015-03-11,2015-03-15
None,Arouca,POR,1,1408.31359863,2015-03-16,2015-03-22
None,Arouca,POR,1,1417.27758789,2015-03-23,2015-04-03
None,Arouca,POR,1,1412.92944336,2015-04-04,2015-04-10
None,Arouca,POR,1,1404.35900879,2015-04-11,2015-04-15
None,Arouca,POR,1,1409.32946777,2015-04-16,2015-04-19
None,Arouca,POR,1,1421.60498047,2015-04-20,2015-04-21
None,Arouca,POR,1,1413.87817383,2015-04-22,2015-04-26
None,Arouca,POR,1,1401.93151855,2015-04-27,2015-05-03
None,Arouca,POR,1,1406.36108398,2015-05-04,2015-05-10
None,Arouca,POR,1,1404.76904297,2015-05-11,2015-05-17
None,Arouca,POR,1,1398.52661133,2015-05-18,2015-05-23
None,Arouca,POR,1,1389.56506348,2015-05-24,2015-07-30
None,Arouca,POR,1,1389.33203125,2015-07-31,2015-08-06
None,Arouca,POR,1,1382.24145508,2015-08-07,2015-08-16
None,Arouca,POR,1,1398.36914062,2015-08-17,2015-08-18
None,Arouca,POR,1,1400.09765625,2015-08-19,2015-08-20
None,Arouca,POR,1,1403.14343262,2015-08-21,2015-08-23
None,Arouca,POR,1,1419.18310547,2015-08-24,2015-08-26
None,Arouca,POR,1,1414.33312988,2015-08-27,2015-08-27
None,Arouca,POR,1,1414.76611328,2015-08-28,2015-08-30
None,Arouca,POR,1,1418.61755371,2015-08-31,2015-09-12
None,Arouca,POR,1,1416.0501709,2015-09-13,2015-09-15
None,Arouca,POR,1,1416.40722656,2015-09-16,2015-09-16
None,Arouca,POR,1,1416.70532227,2015-09-17,2015-09-17
None,Arouca,POR,1,1413.92834473,2015-09-18,2015-09-20
None,Arouca,POR,1,1415.4675293,2015-09-21,2015-09-27
None,Arouca,POR,1,1415.85839844,2015-09-28,2015-09-29
None,Arouca,POR,1,1418.39819336,2015-09-30,2015-09-30
None,Arouca,POR,1,1423.64404297,2015-10-01,2015-10-01
None,Arouca,POR,1,1422.35510254,2015-10-02,2015-10-04
None,Arouca,POR,1,1428.4777832,2015-10-05,2015-10-20
None,Arouca,POR,1,1429.16333008,2015-10-21,2015-10-21
None,Arouca,POR,1,1424.88269043,2015-10-22,2015-10-22
None,Arouca,POR,1,1433.6328125,2015-10-23,2015-10-25
None,Arouca,POR,1,1430.40893555,2015-10-26,2015-11-01
None,Arouca,POR,1,1433.0513916,2015-11-02,2015-11-03
None,Arouca,POR,1,1434.21447754,2015-11-04,2015-11-04
None,Arouca,POR,1,1435.64245605,2015-11-05,2015-11-05
None,Arouca,POR,1,1419.85681152,2015-11-06,2015-11-08
None,Arouca,POR,1,1416.28881836,2015-11-09,2015-11-24
None,Arouca,POR,1,1409.99938965,2015-11-25,2015-11-25
None,Arouca,POR,1,1407.40661621,2015-11-26,2015-11-26
None,Arouca,POR,1,1412.56884766,2015-11-27,2015-11-29
None,Arouca,POR,1,1413.69067383,2015-11-30,2015-12-06
None,Arouca,POR,1,1419.63220215,2015-12-07,2015-12-08
None,Arouca,POR,1,1417.17907715,2015-12-09,2015-12-09
None,Arouca,POR,1,1413.81115723,2015-12-10,2015-12-10
None,Arouca,POR,1,1415.07128906,2015-12-11,2015-12-12
None,Arouca,POR,1,1407.95202637,2015-12-13,2015-12-19
None,Arouca,POR,1,1422.62121582,2015-12-20,2016-01-02
None,Arouca,POR,1,1426.2890625,2016-01-03,2016-01-06
None,Arouca,POR,1,1433.83251953,2016-01-07,2016-01-09
None,Arouca,POR,1,1437.35791016,2016-01-10,2016-01-17
None,Arouca,POR,1,1427.08947754,2016-01-18,2016-01-23
None,Arouca,POR,1,1425.72961426,2016-01-24,2016-01-31
None,Arouca,POR,1,1425.65039062,2016-02-01,2016-02-07
None,Arouca,POR,1,1441.96264648,2016-02-08,2016-02-14
None,Arouca,POR,1,1451.47473145,2016-02-15,2016-02-16
None,Arouca,POR,1,1453.09643555,2016-02-17,2016-02-18
None,Arouca,POR,1,1450.0267334,2016-02-19,2016-02-21
None,Arouca,POR,1,1464.50061035,2016-02-22,2016-02-24
None,Arouca,POR,1,1464.44030762,2016-02-25,2016-02-25
None,Arouca,POR,1,1460.47021484,2016-02-26,2016-02-27
None,Arouca,POR,1,1462.91235352,2016-02-28,2016-03-06
None,Arouca,POR,1,1469.13037109,2016-03-07,2016-03-09
None,Arouca,POR,1,1472.06030273,2016-03-10,2016-03-10
None,Arouca,POR,1,1470.46911621,2016-03-11,2016-03-13
None,Arouca,POR,1,1475.4810791,2016-03-14,2016-03-17
None,Arouca,POR,1,1484.63818359,2016-03-18,2016-03-19
None,Arouca,POR,1,1479.96887207,2016-03-20,2016-04-02
None,Arouca,POR,1,1484.4342041,2016-04-03,2016-04-05
None,Arouca,POR,1,1483.76623535,2016-04-06,2016-04-07
None,Arouca,POR,1,1482.08959961,2016-04-08,2016-04-08
None,Arouca,POR,1,1481.37854004,2016-04-09,2016-04-13
None,Arouca,POR,1,1480.57836914,2016-04-14,2016-04-14
None,Arouca,POR,1,1478.89709473,2016-04-15,2016-04-16
None,Arouca,POR,1,1477.58959961,2016-04-17,2016-04-24
None,Arouca,POR,1,1486.63293457,2016-04-25,2016-05-01
None,Arouca,POR,1,1497.50708008,2016-05-02,2016-05-09
None,Arouca,POR,1,1499.57849121,2016-05-10,2016-05-14
None,Arouca,POR,1,1496.93688965,2016-05-15,2016-07-28
None,Arouca,POR,1,1501.1270752,2016-07-29,2016-08-04
None,Arouca,POR,1,1502.44775391,2016-08-05,2016-08-14
None,Arouca,POR,1,1489.29504395,2016-08-15,2016-08-17
None,Arouca,POR,1,1488.52539062,2016-08-18,2016-08-18
None,Arouca,POR,1,1483.25830078,2016-08-19,2016-08-21
None,Arouca,POR,1,1491.61474609,2016-08-22,2016-08-23
None,Arouca,POR,1,1502.07714844,2016-08-24,2016-08-25
None,Arouca,POR,1,1499.38146973,2016-08-26,2016-08-28
None,Arouca,POR,1,1486.41162109,2016-08-29,2016-09-09
None,Arouca,POR,1,1484.22729492,2016-09-10,2016-09-13
None,Arouca,POR,1,1481.75061035,2016-09-14,2016-09-14
None,Arouca,POR,1,1479.01586914,2016-09-15,2016-09-15
None,Arouca,POR,1,1478.06274414,2016-09-16,2016-09-18
None,Arouca,POR,1,1465.69250488,2016-09-19,2016-09-26
None,Arouca,POR,1,1467.15625,2016-09-27,2016-09-27
None,Arouca,POR,1,1466.09399414,2016-09-28,2016-09-28
None,Arouca,POR,1,1462.82202148,2016-09-29,2016-09-29
None,Arouca,POR,1,1461.45080566,2016-09-30,2016-10-02
None,Arouca,POR,1,1463.52746582,2016-10-03,2016-10-18
None,Arouca,POR,1,1463.61303711,2016-10-19,2016-10-19
None,Arouca,POR,1,1467.96032715,2016-10-20,2016-10-20
None,Arouca,POR,1,1468.4041748,2016-10-21,2016-10-22
