Rank,Club,Country,Level,Elo,From,To
None,Belenenses,POR,1,1424.7598877,1939-01-08,1939-01-08
None,Belenenses,POR,1,1439.79797363,1939-01-09,1939-01-15
None,Belenenses,POR,1,1451.4342041,1939-01-16,1939-01-22
None,Belenenses,POR,1,1435.62658691,1939-01-23,1939-01-29
None,Belenenses,POR,1,1446.72570801,1939-01-30,1939-02-05
None,Belenenses,POR,1,1458.83312988,1939-02-06,1939-02-06
None,Belenenses,POR,1,1443.44775391,1939-02-07,1939-02-19
None,Belenenses,POR,1,1425.44775391,1939-02-20,1939-03-05
None,Belenenses,POR,1,1416.76428223,1939-03-06,1939-03-12
None,Belenenses,POR,1,1404.75244141,1939-03-13,1939-03-19
None,Belenenses,POR,1,1412.99963379,1939-03-20,1939-03-26
None,Belenenses,POR,1,1405.81079102,1939-03-27,1939-04-02
None,Belenenses,POR,1,1396.24572754,1939-04-03,1939-04-09
None,Belenenses,POR,1,1398.49780273,1939-04-10,1939-04-16
None,Belenenses,POR,1,1393.73181152,1939-04-17,1939-04-23
None,Belenenses,POR,1,1403.11755371,1939-04-24,1940-01-14
None,Belenenses,POR,1,1406.13464355,1940-01-15,1940-01-21
None,Belenenses,POR,1,1417.96057129,1940-01-22,1940-02-04
None,Belenenses,POR,1,1411.96057129,1940-02-05,1940-02-11
None,Belenenses,POR,1,1406.16760254,1940-02-12,1940-02-18
None,Belenenses,POR,1,1413.95581055,1940-02-19,1940-02-25
None,Belenenses,POR,1,1421.63867188,1940-02-26,1940-03-03
None,Belenenses,POR,1,1422.04602051,1940-03-04,1940-03-10
None,Belenenses,POR,1,1414.99316406,1940-03-11,1940-03-17
None,Belenenses,POR,1,1420.39672852,1940-03-18,1940-03-21
None,Belenenses,POR,1,1415.23266602,1940-03-22,1940-03-24
None,Belenenses,POR,1,1429.20593262,1940-03-25,1940-03-31
None,Belenenses,POR,1,1430.49743652,1940-04-01,1940-04-07
None,Belenenses,POR,1,1431.14660645,1940-04-08,1940-04-14
None,Belenenses,POR,1,1440.31481934,1940-04-15,1940-04-21
None,Belenenses,POR,1,1447.28161621,1940-04-22,1940-04-28
None,Belenenses,POR,1,1451.42553711,1940-04-29,1940-05-05
None,Belenenses,POR,1,1459.42456055,1940-05-06,1940-05-12
None,Belenenses,POR,1,1456.40734863,1940-05-13,1940-05-19
None,Belenenses,POR,1,1460.65258789,1940-05-20,1940-12-29
None,Belenenses,POR,1,1467.97509766,1940-12-30,1941-01-01
None,Belenenses,POR,1,1463.046875,1941-01-02,1941-01-05
None,Belenenses,POR,1,1468.41894531,1941-01-06,1941-01-19
None,Belenenses,POR,1,1480.43005371,1941-01-20,1941-01-26
None,Belenenses,POR,1,1471.75976562,1941-01-27,1941-02-02
None,Belenenses,POR,1,1467.95043945,1941-02-03,1941-02-09
None,Belenenses,POR,1,1473.3269043,1941-02-10,1941-02-23
None,Belenenses,POR,1,1488.09570312,1941-02-24,1941-03-02
None,Belenenses,POR,1,1495.80664062,1941-03-03,1941-03-09
None,Belenenses,POR,1,1487.82226562,1941-03-10,1941-03-23
None,Belenenses,POR,1,1487.93737793,1941-03-24,1941-03-30
None,Belenenses,POR,1,1491.44665527,1941-03-31,1941-04-02
None,Belenenses,POR,1,1506.90844727,1941-04-03,1941-04-06
None,Belenenses,POR,1,1510.41467285,1941-04-07,1942-01-04
None,Belenenses,POR,1,1527.41467285,1942-01-05,1942-01-18
None,Belenenses,POR,1,1532.82824707,1942-01-19,1942-01-25
None,Belenenses,POR,1,1543.20251465,1942-01-26,1942-02-01
None,Belenenses,POR,1,1548.51245117,1942-02-02,1942-02-08
None,Belenenses,POR,1,1534.07922363,1942-02-09,1942-02-15
None,Belenenses,POR,1,1529.76269531,1942-02-16,1942-02-22
None,Belenenses,POR,1,1531.65527344,1942-02-23,1942-03-01
None,Belenenses,POR,1,1526.22314453,1942-03-02,1942-03-08
None,Belenenses,POR,1,1518.59912109,1942-03-09,1942-03-15
None,Belenenses,POR,1,1505.515625,1942-03-16,1942-03-22
None,Belenenses,POR,1,1507.7142334,1942-03-23,1942-03-29
None,Belenenses,POR,1,1519.53845215,1942-03-30,1942-04-05
None,Belenenses,POR,1,1521.10021973,1942-04-06,1942-04-12
None,Belenenses,POR,1,1542.7166748,1942-04-13,1942-04-19
None,Belenenses,POR,1,1526.12548828,1942-04-20,1942-04-26
None,Belenenses,POR,1,1524.41967773,1942-04-27,1942-05-03
None,Belenenses,POR,1,1527.24658203,1942-05-04,1942-05-10
None,Belenenses,POR,1,1522.17333984,1942-05-11,1942-05-17
None,Belenenses,POR,1,1533.52453613,1942-05-18,1942-05-24
None,Belenenses,POR,1,1530.31945801,1942-05-25,1942-05-31
None,Belenenses,POR,1,1535.4708252,1942-06-01,1942-06-07
None,Belenenses,POR,1,1530.73706055,1942-06-08,1942-06-14
None,Belenenses,POR,1,1540.62854004,1942-06-15,1943-01-10
None,Belenenses,POR,1,1549.52172852,1943-01-11,1943-01-17
None,Belenenses,POR,1,1552.2298584,1943-01-18,1943-01-24
None,Belenenses,POR,1,1561.74816895,1943-01-25,1943-01-31
None,Belenenses,POR,1,1563.40136719,1943-02-01,1943-02-07
None,Belenenses,POR,1,1569.96582031,1943-02-08,1943-02-14
None,Belenenses,POR,1,1564.55786133,1943-02-15,1943-02-21
None,Belenenses,POR,1,1575.84008789,1943-02-22,1943-02-28
None,Belenenses,POR,1,1577.01977539,1943-03-01,1943-03-07
None,Belenenses,POR,1,1580.19006348,1943-03-08,1943-03-14
None,Belenenses,POR,1,1570.28100586,1943-03-15,1943-03-21
None,Belenenses,POR,1,1552.38208008,1943-03-22,1943-03-28
None,Belenenses,POR,1,1554.82043457,1943-03-29,1943-04-04
None,Belenenses,POR,1,1567.23974609,1943-04-05,1943-04-11
None,Belenenses,POR,1,1570.1986084,1943-04-12,1943-04-25
None,Belenenses,POR,1,1578.14257812,1943-04-26,1943-05-02
None,Belenenses,POR,1,1574.7265625,1943-05-03,1943-05-09
None,Belenenses,POR,1,1583.47827148,1943-05-10,1943-05-16
None,Belenenses,POR,1,1584.30297852,1943-05-17,1943-11-28
None,Belenenses,POR,1,1582.07470703,1943-11-29,1943-12-05
None,Belenenses,POR,1,1583.10424805,1943-12-06,1943-12-12
None,Belenenses,POR,1,1586.67980957,1943-12-13,1943-12-19
None,Belenenses,POR,1,1582.0501709,1943-12-20,1943-12-26
None,Belenenses,POR,1,1583.41589355,1943-12-27,1944-01-02
None,Belenenses,POR,1,1590.50793457,1944-01-03,1944-01-09
None,Belenenses,POR,1,1594.97229004,1944-01-10,1944-01-16
None,Belenenses,POR,1,1598.87548828,1944-01-17,1944-01-23
None,Belenenses,POR,1,1603.63208008,1944-01-24,1944-01-30
None,Belenenses,POR,1,1595.18688965,1944-01-31,1944-02-06
None,Belenenses,POR,1,1572.14758301,1944-02-07,1944-02-13
None,Belenenses,POR,1,1562.04772949,1944-02-14,1944-02-20
None,Belenenses,POR,1,1541.18896484,1944-02-21,1944-02-27
None,Belenenses,POR,1,1544.54370117,1944-02-28,1944-03-05
None,Belenenses,POR,1,1545.85327148,1944-03-06,1944-03-12
None,Belenenses,POR,1,1529.70703125,1944-03-13,1944-03-19
None,Belenenses,POR,1,1523.28991699,1944-03-20,1944-03-26
None,Belenenses,POR,1,1524.7890625,1944-03-27,1944-11-26
None,Belenenses,POR,1,1528.16796875,1944-11-27,1944-12-03
None,Belenenses,POR,1,1530.80529785,1944-12-04,1944-12-10
None,Belenenses,POR,1,1523.47033691,1944-12-11,1944-12-17
None,Belenenses,POR,1,1511.56506348,1944-12-18,1944-12-24
None,Belenenses,POR,1,1506.79626465,1944-12-25,1944-12-31
None,Belenenses,POR,1,1512.38989258,1945-01-01,1945-01-07
None,Belenenses,POR,1,1500.90612793,1945-01-08,1945-01-14
None,Belenenses,POR,1,1508.58422852,1945-01-15,1945-01-21
None,Belenenses,POR,1,1514.32958984,1945-01-22,1945-01-28
None,Belenenses,POR,1,1532.7310791,1945-01-29,1945-02-04
None,Belenenses,POR,1,1538.4440918,1945-02-05,1945-02-11
None,Belenenses,POR,1,1540.8302002,1945-02-12,1945-02-18
None,Belenenses,POR,1,1553.01147461,1945-02-19,1945-02-25
None,Belenenses,POR,1,1554.25708008,1945-02-26,1945-03-18
None,Belenenses,POR,1,1559.52880859,1945-03-19,1945-03-25
None,Belenenses,POR,1,1556.31115723,1945-03-26,1945-04-01
None,Belenenses,POR,1,1559.1496582,1945-04-02,1945-04-08
None,Belenenses,POR,1,1560.55957031,1945-04-09,1945-05-10
None,Belenenses,POR,1,1557.55957031,1945-05-11,1945-05-27
None,Belenenses,POR,1,1552.55957031,1945-05-28,1945-12-09
None,Belenenses,POR,1,1557.47436523,1945-12-10,1945-12-16
None,Belenenses,POR,1,1559.26147461,1945-12-17,1945-12-23
None,Belenenses,POR,1,1561.97680664,1945-12-24,1945-12-30
None,Belenenses,POR,1,1565.87316895,1945-12-31,1946-01-06
None,Belenenses,POR,1,1567.07226562,1946-01-07,1946-01-13
None,Belenenses,POR,1,1576.64672852,1946-01-14,1946-01-20
None,Belenenses,POR,1,1568.6973877,1946-01-21,1946-01-27
None,Belenenses,POR,1,1563.66882324,1946-01-28,1946-02-03
None,Belenenses,POR,1,1565.74401855,1946-02-04,1946-02-10
None,Belenenses,POR,1,1553.60009766,1946-02-11,1946-02-24
None,Belenenses,POR,1,1555.37402344,1946-02-25,1946-03-03
None,Belenenses,POR,1,1561.49328613,1946-03-04,1946-03-10
None,Belenenses,POR,1,1565.30969238,1946-03-11,1946-03-17
None,Belenenses,POR,1,1571.55944824,1946-03-18,1946-03-31
None,Belenenses,POR,1,1573.8137207,1946-04-01,1946-04-07
None,Belenenses,POR,1,1578.08239746,1946-04-08,1946-04-16
None,Belenenses,POR,1,1585.08239746,1946-04-17,1946-04-21
None,Belenenses,POR,1,1586.33227539,1946-04-22,1946-04-28
None,Belenenses,POR,1,1592.75744629,1946-04-29,1946-05-05
