Rank,Club,Country,Level,Elo,From,To
None,Benevento,ITA,2,1407.64440918,2016-07-01,2016-07-28
None,Benevento,ITA,2,1408.12597656,2016-07-29,2016-08-04
None,Benevento,ITA,2,1411.34313965,2016-08-05,2016-08-17
None,Benevento,ITA,2,1412.05505371,2016-08-18,2016-08-18
None,Benevento,ITA,2,1412.47351074,2016-08-19,2016-08-23
None,Benevento,ITA,2,1402.78503418,2016-08-24,2016-08-25
None,Benevento,ITA,2,1402.78527832,2016-08-26,2016-08-27
None,Benevento,ITA,2,1411.68310547,2016-08-28,2016-09-04
None,Benevento,ITA,2,1417.07763672,2016-09-05,2016-09-10
None,Benevento,ITA,2,1430.03833008,2016-09-11,2016-09-13
None,Benevento,ITA,2,1433.14477539,2016-09-14,2016-09-14
None,Benevento,ITA,2,1431.3807373,2016-09-15,2016-09-15
None,Benevento,ITA,2,1428.89978027,2016-09-16,2016-09-17
None,Benevento,ITA,2,1429.20471191,2016-09-18,2016-09-20
None,Benevento,ITA,2,1424.79150391,2016-09-21,2016-09-24
None,Benevento,ITA,2,1446.05102539,2016-09-25,2016-09-27
None,Benevento,ITA,2,1448.54956055,2016-09-28,2016-09-28
None,Benevento,ITA,2,1451.5826416,2016-09-29,2016-09-29
None,Benevento,ITA,2,1445.03942871,2016-09-30,2016-10-01
None,Benevento,ITA,2,1450.37414551,2016-10-02,2016-10-09
None,Benevento,ITA,2,1442.43078613,2016-10-10,2016-10-15
None,Benevento,ITA,2,1436.00012207,2016-10-16,2016-10-18
None,Benevento,ITA,2,1437.59191895,2016-10-19,2016-10-19
None,Benevento,ITA,2,1433.01342773,2016-10-20,2016-10-20
None,Benevento,ITA,2,1436.41247559,2016-10-21,2016-10-22
None,Benevento,ITA,2,1434.06689453,2016-10-23,2016-10-25
None,Benevento,ITA,2,1427.70739746,2016-10-26,2016-10-29
None,Benevento,ITA,2,1434.71386719,2016-10-30,2016-11-01
None,Benevento,ITA,2,1434.61328125,2016-11-02,2016-11-02
None,Benevento,ITA,2,1432.06176758,2016-11-03,2016-11-03
None,Benevento,ITA,2,1432.81188965,2016-11-04,2016-11-07
None,Benevento,ITA,2,1441.17102051,2016-11-08,2016-11-13
None,Benevento,ITA,2,1447.1138916,2016-11-14,2016-11-19
None,Benevento,ITA,2,1456.83276367,2016-11-20,2016-11-22
None,Benevento,ITA,2,1460.89294434,2016-11-23,2016-11-23
None,Benevento,ITA,2,1459.41772461,2016-11-24,2016-11-24
None,Benevento,ITA,2,1452.0682373,2016-11-25,2016-11-26
None,Benevento,ITA,2,1451.11047363,2016-11-27,2016-12-05
None,Benevento,ITA,2,1456.5736084,2016-12-06,2016-12-06
None,Benevento,ITA,2,1460.48010254,2016-12-07,2016-12-07
None,Benevento,ITA,2,1461.06652832,2016-12-08,2016-12-08
None,Benevento,ITA,2,1463.13305664,2016-12-09,2016-12-09
None,Benevento,ITA,2,1457.16088867,2016-12-10,2016-12-10
None,Benevento,ITA,2,1455.63354492,2016-12-11,2016-12-18
None,Benevento,ITA,2,1451.16491699,2016-12-19,2016-12-24
None,Benevento,ITA,2,1445.64916992,2016-12-25,2016-12-30
None,Benevento,ITA,2,1450.19128418,2016-12-31,2017-01-21
None,Benevento,ITA,2,1441.66955566,2017-01-22,2017-01-28
None,Benevento,ITA,2,1454.04711914,2017-01-29,2017-02-03
None,Benevento,ITA,2,1458.0645752,2017-02-04,2017-02-11
None,Benevento,ITA,2,1462.45275879,2017-02-12,2017-02-15
None,Benevento,ITA,2,1461.66589355,2017-02-16,2017-02-16
None,Benevento,ITA,2,1471.26196289,2017-02-17,2017-02-18
None,Benevento,ITA,2,1478.23608398,2017-02-19,2017-02-22
None,Benevento,ITA,2,1480.76501465,2017-02-23,2017-02-23
None,Benevento,ITA,2,1472.77746582,2017-02-24,2017-02-24
None,Benevento,ITA,2,1461.47851562,2017-02-25,2017-02-28
None,Benevento,ITA,2,1454.69165039,2017-03-01,2017-03-05
None,Benevento,ITA,2,1450.70837402,2017-03-06,2017-03-07
None,Benevento,ITA,2,1449.73339844,2017-03-08,2017-03-09
None,Benevento,ITA,2,1446.06640625,2017-03-10,2017-03-11
None,Benevento,ITA,2,1443.69274902,2017-03-12,2017-03-14
None,Benevento,ITA,2,1444.23718262,2017-03-15,2017-03-16
None,Benevento,ITA,2,1442.88781738,2017-03-17,2017-03-17
None,Benevento,ITA,2,1433.99353027,2017-03-18,2017-03-25
None,Benevento,ITA,2,1418.20153809,2017-03-26,2017-04-01
None,Benevento,ITA,2,1433.40209961,2017-04-02,2017-04-04
None,Benevento,ITA,2,1437.60913086,2017-04-05,2017-04-08
None,Benevento,ITA,2,1430.62878418,2017-04-09,2017-04-11
None,Benevento,ITA,2,1436.94665527,2017-04-12,2017-04-17
None,Benevento,ITA,2,1428.38671875,2017-04-18,2017-04-19
None,Benevento,ITA,2,1430.24865723,2017-04-20,2017-04-21
None,Benevento,ITA,2,1426.24987793,2017-04-22,2017-04-25
None,Benevento,ITA,2,1415.1640625,2017-04-26,2017-05-01
None,Benevento,ITA,2,1420.69433594,2017-05-02,2017-05-03
None,Benevento,ITA,2,1424.39367676,2017-05-04,2017-05-06
None,Benevento,ITA,2,1425.1887207,2017-05-07,2017-05-09
None,Benevento,ITA,2,1425.79528809,2017-05-10,2017-05-13
None,Benevento,ITA,2,1434.01269531,2017-05-14,2017-05-18
None,Benevento,ITA,2,1448.39294434,2017-05-19,2017-05-23
None,Benevento,ITA,2,1454.85437012,2017-05-24,2017-05-27
None,Benevento,ITA,2,1460.51220703,2017-05-28,2017-05-30
None,Benevento,ITA,2,1466.23083496,2017-05-31,2017-06-03
None,Benevento,ITA,2,1463.0871582,2017-06-04,2017-06-04
None,Benevento,ITA,2,1464.48352051,2017-06-05,2017-06-08
None,Benevento,ITA,2,1475.48693848,2017-06-09,2017-07-01
None,Benevento,ITA,1,1475.48693848,2017-07-02,2017-07-27
None,Benevento,ITA,1,1476.26757812,2017-07-28,2017-08-03
None,Benevento,ITA,1,1476.96618652,2017-08-04,2017-08-16
None,Benevento,ITA,1,1478.56555176,2017-08-17,2017-08-17
None,Benevento,ITA,1,1479.51391602,2017-08-18,2017-08-20
None,Benevento,ITA,1,1475.71411133,2017-08-21,2017-08-22
None,Benevento,ITA,1,1477.06982422,2017-08-23,2017-08-24
None,Benevento,ITA,1,1477.18505859,2017-08-25,2017-08-26
None,Benevento,ITA,1,1469.05737305,2017-08-27,2017-09-10
None,Benevento,ITA,1,1463.91345215,2017-09-11,2017-09-12
None,Benevento,ITA,1,1461.70166016,2017-09-13,2017-09-13
None,Benevento,ITA,1,1458.79406738,2017-09-14,2017-09-14
None,Benevento,ITA,1,1470.08068848,2017-09-15,2017-09-17
None,Benevento,ITA,1,1468.40625,2017-09-18,2017-09-20
None,Benevento,ITA,1,1464.3848877,2017-09-21,2017-09-24
None,Benevento,ITA,1,1456.73522949,2017-09-25,2017-09-26
None,Benevento,ITA,1,1457.25366211,2017-09-27,2017-09-27
None,Benevento,ITA,1,1458.79614258,2017-09-28,2017-09-28
None,Benevento,ITA,1,1461.48547363,2017-09-29,2017-10-01
None,Benevento,ITA,1,1458.24584961,2017-10-02,2017-10-16
None,Benevento,ITA,1,1453.12451172,2017-10-17,2017-10-17
None,Benevento,ITA,1,1451.37841797,2017-10-18,2017-10-18
None,Benevento,ITA,1,1453.63598633,2017-10-19,2017-10-19
None,Benevento,ITA,1,1456.48083496,2017-10-20,2017-10-22
None,Benevento,ITA,1,1449.10449219,2017-10-23,2017-10-25
None,Benevento,ITA,1,1445.09753418,2017-10-26,2017-10-29
None,Benevento,ITA,1,1440.39343262,2017-10-30,2017-10-31
None,Benevento,ITA,1,1443.00842285,2017-11-01,2017-11-01
None,Benevento,ITA,1,1438.54125977,2017-11-02,2017-11-02
None,Benevento,ITA,1,1437.87158203,2017-11-03,2017-11-05
None,Benevento,ITA,1,1437.46313477,2017-11-06,2017-11-19
None,Benevento,ITA,1,1431.66357422,2017-11-20,2017-11-21
None,Benevento,ITA,1,1433.51672363,2017-11-22,2017-11-22
None,Benevento,ITA,1,1430.84765625,2017-11-23,2017-11-23
None,Benevento,ITA,1,1436.42456055,2017-11-24,2017-11-27
None,Benevento,ITA,1,1434.9095459,2017-11-28,2017-12-03
None,Benevento,ITA,1,1440.37854004,2017-12-04,2017-12-05
None,Benevento,ITA,1,1442.12097168,2017-12-06,2017-12-06
None,Benevento,ITA,1,1437.39331055,2017-12-07,2017-12-07
None,Benevento,ITA,1,1429.83850098,2017-12-08,2017-12-10
None,Benevento,ITA,1,1425.27001953,2017-12-11,2017-12-17
None,Benevento,ITA,1,1417.72668457,2017-12-18,2017-12-23
None,Benevento,ITA,1,1413.85864258,2017-12-24,2017-12-30
None,Benevento,ITA,1,1424.53344727,2017-12-31,2018-01-06
None,Benevento,ITA,1,1436.60107422,2018-01-07,2018-01-21
None,Benevento,ITA,1,1430.06689453,2018-01-22,2018-01-28
None,Benevento,ITA,1,1426.28479004,2018-01-29,2018-02-04
None,Benevento,ITA,1,1424.7668457,2018-02-05,2018-02-11
