(76, 4, 36, 'gini', 'weighted', 'log2') 0.0010579276584172063
(26, 24, 27, 'entropy', 'weighted', 'log2') -0.0025564318738101536
(11, 8, 34, 'gini', 'weighted', 'log2') -0.003687788958389978
(55, 4, None, 'entropy', 'weighted', 'log2') -0.004162132752992446
(80, 10, 22, 'gini', 'weighted', 'sqrt') -0.005142779439760664
(36, 28, 14, 'entropy', 'weighted', 'sqrt') -0.008379629629629647
(124, 4, 30, 'gini', 'weighted', 'log2') -0.008612999728039186
(14, 26, 24, 'gini', 'weighted', 'sqrt') -0.009418003807451733
(56, 49, 35, 'gini', 'weighted', 'log2') -0.009589115646258502
(38, 18, None, 'gini', 'weighted', 'log2') -0.010043513734022307
(49, 5, 38, 'gini', 'weighted', 'log2') -0.011468988030467918
(12, 45, 30, 'gini', 'weighted', 'sqrt') -0.011547457166168097
(86, 30, 40, 'entropy', 'weighted', 'log2') -0.011677998368234974
(18, 25, 22, 'gini', 'weighted', 'log2') -0.012665941240478821
(21, 17, 27, 'entropy', 'weighted', 'sqrt') -0.013022306855277454
(16, 49, 24, 'gini', 'weighted', 'log2') -0.013108512374218121
(119, 32, 10, 'entropy', 'weighted', 'log2') -0.013149306499864052
(53, 24, 28, 'entropy', 'weighted', 'log2') -0.01351645363067725
(13, 40, 13, 'entropy', 'weighted', 'log2') -0.01472124014141964
(14, 4, 32, 'gini', 'weighted', 'log2') -0.014944217687074835
(14, 50, 32, 'entropy', 'weighted', 'log2') -0.015122415669205667
(68, 44, 24, 'gini', 'weighted', 'log2') -0.015273320641827633
(20, 44, 26, 'entropy', 'weighted', 'log2') -0.017455782312925244
(44, 5, 23, 'gini', 'weighted', 'log2') -0.0174972737186478
(58, 42, 40, 'entropy', 'weighted', 'log2') -0.017884144683165636
(120, 23, 16, 'gini', 'weighted', 'log2') -0.018511969532100218
(58, 35, 33, 'gini', 'weighted', 'log2') -0.01863438520130583
(86, 49, 34, 'gini', 'weighted', 'log2') -0.01866739189556708
(51, 24, 38, 'entropy', 'weighted', 'log2') -0.018890097932535425
(90, 43, 16, 'gini', 'weighted', 'log2') -0.01950217627856381
(84, 14, 13, 'gini', 'weighted', 'sqrt') -0.01970356268697311
(139, 45, 17, 'gini', 'weighted', 'log2') -0.02041338047321199
(135, 50, 30, 'gini', 'weighted', 'log2') -0.02052774755168664
(93, 17, 32, 'entropy', 'weighted', 'sqrt') -0.0206608648354637
(109, 39, 12, 'gini', 'weighted', 'log2') -0.02078052760402508
(119, 44, 14, 'gini', 'weighted', 'log2') -0.02085667663856416
(88, 30, 29, 'entropy', 'weighted', 'log2') -0.021115039434321452
(29, 34, 12, 'entropy', 'weighted', 'log2') -0.021279259662493253
(18, 48, 32, 'gini', 'weighted', 'log2') -0.02138971988033728
(96, 43, 20, 'gini', 'weighted', 'log2') -0.02150244964616238
(141, 26, 27, 'gini', 'weighted', 'log2') -0.02155561599129729
(53, 44, 23, 'gini', 'weighted', 'log2') -0.021569214033179285
(36, 36, 11, 'entropy', 'weighted', 'log2') -0.021574653249932043
